Time Stamp,Location,Weight,Biomass,Comment
01.05.2025 13:36,L15L03,2.6911,4,"2 GONOPUS, HOT,  ANOP, ANOP STEIN."
01.05.2025 13:30,L15L09,0.0082,3,3 Cockroaches
01.05.2025 13:35,L15L04,0.0107,6,"5 TETR SOL , 1 COMP MYST"
01.05.2025 13:03,L15L06,0.0014,1,ANOP STEN
01.05.2025 12:55,O18L05,0.0045,4,4 TETR SOL
01.05.2025 12:50,O18L10,0.0023,2,TETR SOL
01.05.2025 13:31,L15L08,0.0038,5,TETR SOL
01.05.2025 12:51,O18L09,0.0234,5,"1 EURY SPP., 1 SEED WEEVIL. 1 Anop cus, 1 TETR SOL."
01.05.2025 12:54,O18L06,0.0277,8,"1 CAMP FULV, 5 TETR GRAND, 1 ANOP STEN"
01.05.2025 11:04,J15L07,0.01,1,1 TETR SOL
01.05.2025 11:06,J15L06,0.0864,1,1 STIPS
01.05.2025 11:12,J15L01,0.0014,2,"1 ANOP STEN, 1 MONO ESHA"
01.05.2025 12:57,O18L04,0.0936,4,4 ZOPH SUBC
01.05.2025 12:52,O18L08,0.026,2,TETR SOL
01.05.2025 12:53,O18L07,0.0066,3,TETR SOL
01.05.2025 11:01,J15L09,0.1251,1,
01.05.2025 11:07,J15L05,0.0088,1,
01.05.2025 12:59,O18L02,0.106,6,"2 TETR SOL, 4 ZOPH SUB"
01.05.2025 12:58,O18L03,0.0509,3,"2 TETR SOL,1  ZOPH SUBC"
01.05.2025 11:09,J15L03,0,0,
01.05.2025 11:08,J15L04,0.0022,1,1 ANOP STEN
01.05.2025 11:02,J15L08,0,0,
01.05.2025 11:00,J15L10,0,0,
01.05.2025 11:11,J15L02,0.0007,1,1 ANOP STEN
01.05.2025 13:00,O18L01,0,0,
02.05.2025 09:43,L15L01,0.014,1,1 HODO MOSS
02.05.2025 09:35,L15L09,0,0,
01.05.2025 12:58,O18L03,0.0037,3,
02.05.2025 09:41,L15L03,0.7091,2,"1 GONOPUS SPP, 1 SEED WEEVIL"
02.05.2025 09:39,L15L05,0.0033,1,1 CAMP MUCU
02.05.2025 08:59,O18L09,0.021,1,
02.05.2025 09:40,L15L04,0.0035,2,2 CAMP MUCU
02.05.2025 09:05,O18L03,0.0926,3,
02.05.2025 09:02,O18L06,0.0023,1,1 TETR GRAND
02.05.2025 09:00,O18L08,0,0,
02.05.2025 09:03,O18L05,0.0466,6,"2 CAMP MUCU, 2 TETR SOL"
02.05.2025 09:07,O18L01,0.0277,2,"1 ZOPH ARCAN, 1 SEED BEET"
02.05.2025 09:04,O18L04,0,0,
02.05.2025 09:01,O18L07,0.0104,2, 1 CREM PERI
02.05.2025 08:05,J13L01,0.0361,1,
02.05.2025 08:58,O18L10,0,0,
02.05.2025 09:06,O18L02,0.0018,1,
02.05.2025 08:02,J13L03,0,0,
02.05.2025 07:57,J13L07,0.0012,1,1 TETR GRAND
02.05.2025 08:01,J13L04,0.0488,7,"4 CAMP MUCU, 2 MONO SOL."
02.05.2025 07:56,J13L08,0.025,5,1 MEGA SPP.
02.05.2025 07:54,J13L10,0.0045,2,"1 ANOP STEIN, 1 MONO SOL"
02.05.2025 08:04,J13L02,0,0,
02.05.2025 08:00,J13L05,0.0172,3, 1 ANOP STEIN. 1 MONO SOL
02.05.2025 07:59,J13L06,0.02,2,"1 ZOPH SUBC, 1 PHEI CAPE."
02.05.2025 07:55,J13L09,0.0561,4,"2 CAMP MUCU, 1 MONO SOL "
01.05.2025 16:43,L17L02,0.0069,1,1 TETR SOLI
01.05.2025 16:36,L17L08,0.0047,8,"2 TETR SOLI, 1 PHEI CAPE, 1 TERT INEZ, 3 HISP"
01.05.2025 16:35,L17L09,0.0078,2, 2 CAMP MUC
01.05.2025 16:41,L17L04,0.0011,10,"2 OCYM BARB, TETRA INEZ 1, 7 TETR SOLI"
01.05.2025 16:42,L17L03,0.0035,7,"2 ANOP CUST, 5 TETR ANGU"
01.05.2025 16:38,L17L06,0.008,1,1 TETRA INEZ
01.05.2025 16:34,L17L10,0.0652,11,"1 ZOPH SUBC, 3  ANOP STEIN, 1 HISP, 1 MONO SOL "
01.05.2025 16:39,L17L05,0.003,6,"2 MONO HAVI, 2 TETR SOLI, 1 HIST."
01.05.2025 16:37,L17L07,0.0302,7,ZOPH SUBC 1. TETR SOLI 2. MONO SOL 1. 2 HISP
01.05.2025 17:57,L15L05,0.0125,2,"1 HODO MOSS, 1 COMP FULV"
01.05.2025 17:52,L15L09,0.0004,1,
01.05.2025 16:44,L17L07,0.0432,1,
01.05.2025 17:53,L15L08,0.0004,1,1 TETR GRAND
01.05.2025 17:56,L15L06,0,0,
01.05.2025 18:02,L15L01,0,0,
01.05.2025 17:51,L15L10,0.0005,1,1 COMP MYST
01.05.2025 17:58,L15L04,0.0814,2,2 TETR GRAND
01.05.2025 17:59,L15L03,0.0012,3,3 TETR GRAND
01.05.2025 18:01,L15L02,0,0,
01.05.2025 17:55,L15L07,0.1158,1,1 SOMATICUS
01.05.2025 17:13,O18L03,0.0002,1,1 TETR SOLI
