Timestamp,Ref.,Weight,Number, 
2/7/24 14:03,D15L09,0.0141,6,
2/7/24 14:05,D15L08,0.0222,13,
2/7/24 13:27,P15L01,0,0,
2/7/24 14:09,D15L05,0,0,
2/7/24 14:10,D15L04,0,0,
2/7/24 14:06,D15L07,0.0445,5,
2/7/24 13:24,P15L03,0.0024,1,
2/7/24 13:18,P15L08,0.0011,1,
2/7/24 13:26,P15L02,0.0263,1,
2/7/24 13:19,P15L07,0,0,
2/7/24 12:51,Q17L02,0.0014,1,
2/7/24 13:21,P15L06,0.0025,1,
2/7/24 13:15,P15L10,0,0,
2/7/24 12:43,Q17L07,0,0,
2/7/24 12:41,Q17L08,0,0,
2/7/24 12:48,Q17L04,0.0346,3,
2/7/24 12:44,Q17L06,0.0381,1,
2/7/24 12:40,Q17L09,0.0223,1,
2/7/24 13:23,P15L04,0.0169,10,
2/7/24 13:17,P15L09,0.0399,3,
2/7/24 13:22,P15L05,0,0,
2/7/24 12:52,Q17L01,0,0,
2/7/24 12:49,Q17L03,0.0016,2,
2/7/24 12:46,Q17L05,0.0203,1,
2/7/24 12:39,Q17L10,0,0,
2/7/24 11:02,H15L08,0.0011,2,
2/7/24 12:00,K18L02,0.0043,3,
2/7/24 12:01,K18L01,0.0011,1,
2/7/24 11:48,K18L10,0,0,
2/7/24 11:51,K18L08,0.0117,6,
2/7/24 14:14,D15L01,0,0,
2/7/24 14:07,D15L06,0.0025,4,
2/7/24 14:11,D15L03,0.0019,3,
2/7/24 14:13,D15L02,0,0,
2/7/24 11:01,H15L09,0,0,
2/7/24 11:04,H15L07,0.0012,1,
2/7/24 11:09,H15L04,0,0,
2/7/24 11:52,K18L07,0.0044,6,
2/7/24 11:54,K18L06,0.0028,6,
2/7/24 14:02,D15L10,0.0123,2,
2/7/24 11:57,K18L04,0.0016,3,
2/7/24 11:58,K18L03,0.0025,4,
2/7/24 11:56,K18L05,0.0136,12,
2/7/24 11:00,H15L10,0,0,
2/7/24 11:49,K18L09,0.0006,1,
2/7/24 11:10,H15L03,0.0012,1,
2/7/24 11:12,H15L02,0.0121,3,
2/7/24 11:13,H15L01,0.0351,12,
2/7/24 11:06,H15L06,0,0,
2/7/24 11:07,H15L05,0.0009,2,
2/7/24 17:53,D15L08,0.0019,2,
2/7/24 17:50,D15L10,0,0,
2/7/24 18:02,D15L01,0,0,
2/7/24 16:25,Q17L10,0.0041,1,
2/7/24 17:57,D15L05,0,0,
2/7/24 17:55,D15L06,0.0088,3,
2/7/24 16:30,Q17L06,0,0,
2/7/24 16:26,Q17L09,0,0,
2/7/24 15:02,H15L08,0,0,
2/7/24 16:37,Q17L01,0.0122,1,
2/7/24 15:00,H15L10,0,0,
2/7/24 15:07,H15L05,0,0,
2/7/24 15:04,H15L07,0.005,2,
2/7/24 15:01,H15L09,0,0,
2/7/24 15:08,H15L04,0,0,
2/7/24 16:35,Q17L02,0.0015,2,
2/7/24 15:10,H15L02,0.0021,1,
2/7/24 16:28,Q17L08,0,0,
2/7/24 16:33,Q17L04,0.0006,1,
2/7/24 16:35,Q17L03,0.1447,2,
2/7/24 15:12,H15L01,0.0513,16,
2/7/24 15:09,H15L03,0.0213,12,
2/7/24 15:05,H15L06,0,0,
2/7/24 16:32,Q17L05,0.0648,1,
2/7/24 16:29,Q17L07,0.0906,1,
2/7/24 17:09,P15L05,0,0,
2/7/24 17:59,D15L03,0.043,1,
2/7/24 17:51,D15L09,0.0229,12,
2/7/24 17:06,P15L08,0,0,
2/7/24 17:08,P15L06,0.0166,1,
2/7/24 18:01,D15L02,0.0079,1,
2/7/24 17:12,P15L02,0,0,
2/7/24 17:54,D15L07,0.0024,3,
2/7/24 15:46,K18L05,0.0785,15,
2/7/24 17:05,P15L09,0.0989,1,
2/7/24 17:07,P15L07,0.1204,4,
2/7/24 17:11,P15L03,0.0111,3,
2/7/24 17:58,D15L04,0,0,
2/7/24 15:51,K18L01,0.0461,3,
2/7/24 15:42,K18L08,0.0157,10,
2/7/24 15:48,K18L03,0.0248,3,
2/7/24 15:50,K18L02,0.1009,4,
2/7/24 15:47,K18L04,0.1341,7,
2/7/24 15:39,K18L10,0,0,
2/7/24 15:40,K18L09,0.0009,1,
2/7/24 17:03,P15L10,0,0,
2/7/24 17:13,P15L01,0,0,
2/7/24 15:43,K18L07,0.0445,8,
2/7/24 15:44,K18L06,0.0033,5,
2/7/24 17:10,P15L04,0.0012,1,
2/7/24 19:36,K18L08,0.0087,6,
2/7/24 21:37,D15L08,0,0,
2/7/24 21:37,D15L09,0,0,
2/7/24 21:41,D15L04,0,0,
2/7/24 21:42,D15L03,0.0023,1,
2/7/24 21:40,D15L05,0,0,
2/7/24 21:39,D15L06,1.2948,2,
2/7/24 21:47,D15L01,0,0,
2/7/24 19:43,K18L01,0,0,
2/7/24 19:39,K18L05,0.0042,2,
2/7/24 19:42,K18L02,0.0036,2,
2/7/24 19:33,K18L10,0,0,
2/7/24 19:37,K18L07,0,0,
2/7/24 19:38,K18L06,1.0243,1,
2/7/24 19:05,H15L04,0,0,
2/7/24 19:02,H15L08,0,0,
2/7/24 19:03,H15L06,0,0,
2/7/24 19:01,H15L09,0.0071,1,
2/7/24 19:34,K18L09,0.0043,3,
2/7/24 19:40,K18L04,0.0023,2,
2/7/24 19:41,K18L03,0.0021,2,
2/7/24 19:00,H15L10,0,0,
2/7/24 19:07,H15L02,0.0245,3,
2/7/24 20:57,P15L08,0,0,
2/7/24 19:08,H15L01,0,0,
2/7/24 21:36,D15L10,0,0,
2/7/24 19:04,H15L05,0.0013,1,
2/7/24 19:06,H15L03,0.0094,1,
2/7/24 19:02,H15L07,0.0006,1,
2/7/24 21:45,D15L02,0,0,
2/7/24 21:00,P15L05,0,0,
2/7/24 20:55,P15L10,0.0361,1,
2/7/24 21:38,D15L07,0,0,
2/7/24 20:59,P15L06,0.0889,2,
