Timestamp,Ref,Weight,Number
2/8/23 11:00,P15L01,0,NA
2/8/23 11:00,P15L01,0,NA
2/8/23 11:01,P15L02,0.0025,NA
2/8/23 11:02,P15L03,0,NA
2/8/23 11:04,P15L04,0,NA
2/8/23 11:05,P15L05,0.0005,NA
2/8/23 11:06,P15L06,0,NA
2/8/23 11:07,P15L07,0,NA
2/8/23 11:08,P15L08,0,NA
2/8/23 11:09,P15L09,0.0071,NA
2/8/23 11:10,P15L10,0,NA
2/8/23 11:25,Q17L10,0.0759,NA
2/8/23 11:34,Q17L01,0,NA
2/8/23 11:35,Q17L02,0.0069,NA
2/8/23 11:36,Q17L03,0.027,NA
2/8/23 11:38,Q17L04,0.0012,NA
2/8/23 11:39,Q17L05,0,NA
2/8/23 11:40,Q17L06,0,NA
2/8/23 11:41,Q17L04,0.007,NA
2/8/23 11:43,Q17L08,0.0058,NA
2/8/23 11:44,Q17L09,0.0054,NA
2/8/23 12:16,K18L01,0.0004,NA
2/8/23 12:18,K18L02,0.0127,NA
2/8/23 12:19,K18L03,0.0057,NA
2/8/23 12:20,K18L04,0.3196,NA
2/8/23 12:21,K18L05,0.1117,NA
2/8/23 12:22,K18L06,0.0108,NA
2/8/23 12:23,K18L07,0.0034,NA
2/8/23 12:24,K18L08,0.001,NA
2/8/23 12:25,K18L09,0.0095,NA
2/8/23 12:26,K18L10,0.0034,NA
2/8/23 12:50,D15L01,0,NA
2/8/23 12:51,D15L02,0,NA
2/8/23 12:52,D15L03,0,NA
2/8/23 12:53,D15L04,0,NA
2/8/23 12:54,D15L05,0,NA
2/8/23 12:55,D15L06,0,NA
2/8/23 12:56,D15L07,0,NA
2/8/23 12:57,D15L08,0.0083,NA
2/8/23 12:58,D15L09,0.0041,NA
2/8/23 12:59,D15L10,0.0014,NA
2/8/23 13:03,P15L04,0.0503,NA
2/8/23 13:04,H15L01,0,NA
2/8/23 13:06,H15L02,0,NA
2/8/23 13:07,H15L03,0.0033,NA
2/8/23 13:08,H15L04,0,NA
2/8/23 13:09,H15L05,0.0009,NA
2/8/23 13:10,H15L06,0,NA
2/8/23 13:11,H15L07,0,NA
2/8/23 13:12,H15L08,0,NA
2/8/23 13:14,H15L09,0,NA
2/8/23 13:15,H15L10,0.0043,NA
2/8/23 15:01,P15L02,0.0072,NA
2/8/23 15:02,P15L03,0.01,NA
2/8/23 15:04,P15L05,0.0045,NA
2/8/23 15:05,P15L06,0.0735,NA
2/8/23 15:06,P15L07,0,NA
2/8/23 15:07,P15L08,0.0212,NA
2/8/23 15:08,P15L09,0,NA
2/8/23 15:09,P15L10,0.0012,NA
2/8/23 15:35,Q17L01,0,NA
2/8/23 15:36,Q17L02,0,NA
2/8/23 15:37,Q17L03,0,NA
2/8/23 15:38,Q17L04,0.0033,NA
2/8/23 15:40,Q17L05,0.0185,NA
2/8/23 15:41,Q17L06,0.0131,NA
2/8/23 15:42,Q17L07,0.0006,NA
2/8/23 15:43,Q17L08,0.0203,NA
2/8/23 15:45,Q17L09,0.0023,NA
2/8/23 15:46,Q17L10,0.0391,NA
2/8/23 16:18,K18L01,0.0075,NA
2/8/23 16:19,K18L02,0.0213,NA
2/8/23 16:20,K18L03,0,NA
2/8/23 16:21,K18L04,0.0289,NA
2/8/23 16:22,K18L05,0.0033,NA
2/8/23 16:23,K18L06,0.0126,NA
2/8/23 16:24,K18L07,0.0045,NA
2/8/23 16:25,K18L08,0.0009,NA
2/8/23 16:26,K18L09,0.0395,NA
2/8/23 16:27,K18L10,0.0022,NA
2/8/23 17:01,H15L04,0,NA
2/8/23 17:03,H15L05,0.0022,NA
2/8/23 17:14,H15L02,0.0065,NA
2/8/23 17:16,H15L04,0.0064,NA
2/8/23 17:17,H15L06,0,NA
2/8/23 17:19,H15L08,0.0426,NA
2/8/23 19:00,P15L01,0.1092,NA
2/8/23 19:01,P15L02,0.0033,NA
2/8/23 19:02,P15L03,0.0607,NA
2/8/23 19:03,P15L04,0,NA
