Timestamp,Ref.,Weight,Number,,,,,,,,,
3/1/24 11:00,J13L05,0.0143,6,,,,,,,,,
3/1/24 11:01,J13L06,0.0380,11,,,,,,,,,
3/1/24 11:03,J13L07,0.0114,6,,,,,,,,,
3/1/24 11:06,J13L08,0.0000,0,,,,,,,,,
3/1/24 11:08,J13L09,0.0690,4,,,,,,,,,
3/1/24 11:10,J13L10,0.0000,0,,,,,,,,,
3/1/24 11:15,J13L04,0.0354,16,,,,,,,,,
3/1/24 11:16,J13L03,0.0129,4,,,,,,,,,
3/1/24 11:18,J13L02,0.2884,6,,,,,,,,,
3/1/24 11:20,J13L01,0.0318,22,,,,,,,,,
3/1/24 11:35,L15L05,8.5165,12,,,,,,,,,
3/1/24 11:36,L15L06,0.0037,6,,,,,,,,,
3/1/24 11:38,L15L07,0.0000,0,,,,,,,,,
3/1/24 11:39,L15L08,0.0098,11,,,,,,,,,
3/1/24 11:42,L15L09,0.0357,1,,,,,,,,,
3/1/24 11:43,L15L10,0.0000,0,,,,,,,,,
3/1/24 11:45,L15L04,4.5890,26,,,,,,,,,
3/1/24 11:46,L15L03,8.4310,17,,7,,,,,,,
3/1/24 11:48,L15L01,3.0408,13,,,,,,,,,
3/1/24 11:49,L15L02,11.9260,9,,,,,,,,,
3/1/24 12:24,O18L05,1.5795,14,,,,,,,,,
3/1/24 12:27,O18L06,0.2008,6,,,,,,,,,
3/1/24 12:28,O18L07,0.0061,1,,,,,,,,,
3/1/24 12:30,O18L08,0.0235,6,,,,,,,,,
3/1/24 12:30,O18L09,1.1336,2,,,,,,,,,
3/1/24 12:36,O18L10,0.0034,1,,,,,,,,,
3/1/24 12:40,O18L04,0.0036,1,,,,,,,,,
3/1/24 12:41,O18L03,0.0000,0,,,,,,,,,
3/1/24 12:42,O18L02,0.0305,6,,,,,,,,,
3/1/24 12:45,O18L01,0.0802,1,,,,,,,,,
3/1/24 13:11,L17L05,0.0965,7,,,,,,,,,
3/1/24 13:13,L17L06,0.0000,0,,,,,,,,,
3/1/24 13:14,L17L07,0.0000,0,,,,,,,,,
3/1/24 13:16,L17L08,0.0212,13,,,,,,,,,
3/1/24 13:17,L17L09,0.0000,0,,,,,,,,,
3/1/24 13:18,L17L10,1.1041,17,,,,,,,,,
3/1/24 13:22,L17L04,0.0151,14,,,,,,,,,
3/1/24 13:24,L17L03,0.0072,7,,,,,,,,,
3/1/24 13:27,L17L01,1.7511,5,,,,,,,,,
3/1/24 13:28,L17L02,0.0233,10,,,,,,,,,
3/1/24 13:45,J15L05,0.0541,10,,,,,,,,,
3/1/24 13:46,J15L06,2.4187,3,,,,,,,,,
3/1/24 13:48,J15L07,0.3106,8,,,,,,,,,
3/1/24 13:50,J15L08,0.0663,5,,,,,,,,,
3/1/24 13:51,J15L09,0.0000,0,,,,,,,,,
3/1/24 13:53,J15L10,0.0073,2,,,,,,,,,
3/1/24 13:55,J15L04,0.0000,0,,,,,,,,,
3/1/24 13:56,J15L03,0.0119,13,,,,,,,,,
3/1/24 13:58,J15L02,0.0201,13,,,,,,,,,
3/1/24 13:59,J15L01,0.0652,14,,,,,,,,,
3/1/24 15:00,J13L05,0.0070,1,,,,,,,,,
3/1/24 15:03,J13L06,0.0000,0,,,,,,,,,
3/1/24 15:05,J13L07,0.0140,9,,,,,,,,,
3/1/24 15:06,J13L08,0.0000,0,,,,,,,,,
3/1/24 15:08,J13L09,0.0020,2,,,,,,,,,
3/1/24 15:10,J13L10,0.0000,0,,,,,,,,,
3/1/24 15:13,J13L04,0.0026,4,,,,,,,,,
3/1/24 15:15,J13L03,0.0000,0,,,,,,,,,
3/1/24 15:16,J13L02,0.0000,0,,,,,,,,,
3/1/24 15:19,J13L01,0.1099,5,,,,,,,,,
3/1/24 15:48,L15L05,0.0036,1,,,,,,,,,
3/1/24 15:50,L15L06,0.0067,6,,,,,,,,,
3/1/24 15:51,L15L07,0.0000,0,,,,,,,,,
3/1/24 15:53,L15L08,0.0000,0,,,,,,,,,
3/1/24 15:54,L15L09,0.0000,0,,,,,,,,,
3/1/24 15:56,L15L10,0.0026,4,,,,,,,,,
3/1/24 15:59,L15L04,0.0000,0,,,,,,,,,
3/1/24 16:02,L15L03,0.0000,0,,,,,,,,,
3/1/24 16:03,L15L02,0.0535,4,,,,,,,,,
3/1/24 16:06,L15L01,0.0358,7,,,,,,,,,
3/1/24 16:29,O18L05,0.0425,1,,,,,,,,,
3/1/24 16:32,O18L06,0.0045,3,,,,,,,,,
3/1/24 16:33,O18L07,0.0000,0,,,,,,,,,
3/1/24 16:35,O18L08,0.0000,0,,,,,,,,,
3/1/24 16:36,O18L09,0.0037,3,,PORCUPINE ON SIGHT,,,,,,,
3/1/24 16:37,O18L10,0.0000,0,,,,,,,,,
3/1/24 16:40,O18L04,0.1017,5,,,,,,,,,
3/1/24 16:41,O18L03,0.0000,0,,,,,,,,,
3/1/24 16:43,O18L02,0.0000,0,,,,,,,,,
3/1/24 16:45,O18L01,0.0000,0,,,,,,,,,
3/1/24 17:08,L17L05,0.0116,6,,,,,,,,,
3/1/24 17:10,L17L06,0.0166,9,,,,,,,,,
3/1/24 17:11,L17L07,0.0661,7,,,,,,,,,
3/1/24 17:13,L17L08,0.0000,0,,,,,,,,,
3/1/24 17:14,L17L09,0.0000,0,,,,,,,,,
3/1/24 17:16,L17L10,0.0000,0,,,,,,,,,
3/1/24 17:19,L17L04,0.0166,11,,,,,,,,,
3/1/24 17:20,L17L03,0.0000,0,,,,,,,,,
3/1/24 17:22,L17L02,0.0000,0,,,,,,,,,
3/1/24 17:23,L17L01,0.0000,0,,,,,,,,,
3/1/24 17:47,J15L05,0.0000,0,,,,,,,,,
3/1/24 17:49,J15L06,0.0220,1,,,,,,,,,
3/1/24 17:51,J15L07,0.1330,4,,,,,,,,,
