Timestamp,Ref.,Weight,Number,,,,,
6/3/24 09:47,J15L10,0.0013,1,,,,,
6/3/24 09:45,J15L09,0.052,2,,,,,
6/3/24 09:44,J15L08,0.0131,2,,,,,
6/3/24 09:43,J15L07,0.0273,27,,,,,
6/3/24 09:42,J15L06,0.0016,1,,,,,
6/3/24 09:41,J15L05,0.036,2,,,,,
6/3/24 09:39,J15L03,0.0041,3,,,,,
6/3/24 09:39,J15L04,0.0227,3,,,,,
6/3/24 09:37,J15L02,0.0083,3,,,,,
6/3/24 09:36,J15L01,0.0188,7,,,,,
6/3/24 09:14,L15L10,0.188,6,,,,,
6/3/24 09:13,L15L09,0.0105,4,,,,,
6/3/24 09:12,L15L08,0.0248,22,,,,,
6/3/24 09:10,L15L07,0.0574,6,,,,,
6/3/24 09:09,L15L06,0.0057,11,,,,,
6/3/24 09:08,L15L05,0.0552,3,,,,,
6/3/24 09:07,L15L04,0.0047,1,,,,,
6/3/24 09:06,L15L03,0.0168,2,,,,,
6/3/24 09:04,L15L02,0.2544,2,,,,,
6/3/24 09:02,L15L01,0,0,,,,,
6/3/24 08:30,O18L10,0.0014,2,,,,,
6/3/24 08:29,O18L09,0,0,,,,,
6/3/24 08:28,O18L08,0,0,,,,,
6/3/24 08:26,O18L07,0.0059,1,,,,,
6/3/24 08:24,O18L06,0.0608,1,,,,,
6/3/24 08:23,O18L05,0,0,,,,,
6/3/24 08:22,O18L04,0.0025,1,,,,,
6/3/24 08:21,O18L03,0.0031,1,,,,,
6/3/24 08:19,O18L02,0.0016,1,,,,,
6/3/24 08:17,O18L01,0.0179,6,,,,,
6/3/24 07:51,L17L10,0.0325,4,,,,,
6/3/24 07:50,L17L09,1.0652,2,,,,,
6/3/24 07:49,L17L08,0.0249,2,,,,,
6/3/24 07:48,L17L07,1.8879,5,,,,,
6/3/24 07:47,L17L06,0.0012,2,,,,,
6/3/24 07:46,L17L05,0.0477,8,,,,,
6/3/24 07:45,L17L04,0.0668,4,,,,,
6/3/24 07:44,L17L03,1.0976,1,,,,,
6/3/24 07:41,L17L02,1.0377,3,,,,,
6/3/24 07:40,L17L01,0.0628,8,,,,,
6/3/24 07:10,J13L10,0.0227,4,,,,,
6/3/24 07:09,J13L09,0.0183,1,,,,,
6/3/24 07:08,J13L08,0.0032,2,,,,,
6/3/24 07:07,J13L07,0.002,7,,,,,
6/3/24 07:06,J13L06,0.0008,2,,,,,
6/3/24 07:04,J13L05,0.0816,6,,,,,
6/3/24 07:03,J13L04,0.024,3,,,,,
6/3/24 07:02,J13L02,0.0048,1,,,,,
6/3/24 07:02,J13L03,0.0138,4,,,,,
6/3/24 07:00,J13L01,0.0023,4,,,,,
5/3/24 21:20,J15L10,0.0001,1,,,,,
5/3/24 21:19,J15L09,0.0282,1,,,,,
5/3/24 21:18,J15L08,0.0238,1,,,,,
5/3/24 21:17,J15L07,0.0301,23,,,,,
5/3/24 21:16,J15L06,0,0,,,,,
5/3/24 21:15,J15L05,0.0045,2,,,,,
5/3/24 21:14,J15L04,0,0,,,,,
5/3/24 21:13,J15L02,0.005,1,,,,,
5/3/24 21:13,J15L03,0,0,,,,,
5/3/24 21:12,J15L01,0.0334,8,,,,,
5/3/24 20:54,L15L10,0.0078,1,,,,,
5/3/24 20:53,L15L09,0.0015,4,,,,,
5/3/24 20:52,L15L08,0.0206,22,,,,,
5/3/24 20:50,L15L06,0.0274,42,,,,,
5/3/24 20:49,L15L05,0,0,,,,,
5/3/24 20:48,L15L04,0.0012,1,,,,,
5/3/24 20:47,L15L03,0.0081,1,,,,,
5/3/24 20:46,L15L02,0.0512,8,,,,,
5/3/24 20:44,L15L01,0.0159,6,,,,,
5/3/24 20:21,L15L07,0.004,4,,,,,
5/3/24 20:17,O18L10,0.0017,1,,,,,
5/3/24 20:16,O18L09,0.0059,2,,,,,
5/3/24 20:15,O18L08,0.007,1,,,,,
5/3/24 20:14,O18L07,0.0007,2,,,,,
5/3/24 20:12,O18L06,0,0,,,,,
5/3/24 20:11,O18L05,0.0474,3,,,,,
5/3/24 20:10,O18L04,0.0053,1,,,,,
5/3/24 20:09,O18L03,0.0174,12,,,,,
5/3/24 20:08,O18L02,0.0023,2,,,,,
5/3/24 20:07,O18L01,0.0172,3,,,,,
5/3/24 19:48,L17L10,0.0098,2,,,,,
5/3/24 19:46,L17L09,0.0899,15,,,,,
5/3/24 19:45,L17L08,0.0387,2,,,,,
5/3/24 19:44,L17L07,0.0133,3,,,,,
5/3/24 19:42,L17L06,0.0182,11,,,,,
5/3/24 19:41,L17L05,0.0039,1,,,,,
5/3/24 19:39,J13L04,0.0075,1,,,,,
5/3/24 19:39,L17L04,0.0075,1,,,,,
5/3/24 19:38,L17L03,0.498,5,,,,,
5/3/24 19:37,L17L02,0.0052,3,,,,,
5/3/24 19:36,L17L01,0.0194,5,,,,,
5/3/24 19:11,J13L10,0,0,,,,,
5/3/24 19:10,J13L09,0.0058,2,,,,,
5/3/24 19:08,J13L08,0.0003,1,,,,,
5/3/24 19:07,J13L07,0.0394,10,,,,,
5/3/24 19:06,J13L06,0.0138,4,,,,,
5/3/24 19:05,J13L05,0.0059,2,,,,,
5/3/24 19:04,J13L04,0.0113,3,,,,,
5/3/24 19:03,J13L03,0.0119,1,,,,,
5/3/24 19:01,J13L02,0.0077,2,,,,,
5/3/24 19:00,J13L01,0.0209,3,,,,,
5/3/24 17:44,J15L10,0.0032,1,,,,,
5/3/24 17:42,J15L09,0,0,,,,,
5/3/24 17:40,J15L08,0,0,,,,,
5/3/24 17:38,J15L07,0.0127,13,,,,,
5/3/24 17:37,J15L06,0.023,6,,,,,
5/3/24 17:36,J15L05,0,0,,,,,
5/3/24 17:34,J15L04,0.0198,5,,,,,
5/3/24 17:33,J15L03,0.0124,5,,,,,
5/3/24 17:31,J15L02,0.001,1,,,,,
5/3/24 17:30,J15L01,0.0022,3,,,,,
5/3/24 17:21,O18L02,0,0,,,,,
5/3/24 17:15,L15L10,0,0,,,,,
5/3/24 17:14,L15L09,0.0202,5,,,,,
5/3/24 17:12,L15L08,0.0247,7,,,,,
5/3/24 17:11,L15L07,0.014,5,,,,,
5/3/24 17:09,L15L06,0.0068,6,,,,,
5/3/24 17:08,L15L05,0,0,,,,,
5/3/24 17:06,L15L04,0.018,8,,,,,
5/3/24 17:05,L15L03,0.0173,12,,,,,
5/3/24 17:03,L15L02,0.0477,26,,,,,
5/3/24 17:01,L15L01,0.027,8,,,,,
5/3/24 15:59,L17L10,0.0319,9,,,,,
5/3/24 15:58,L17L09,0.0162,4,,,,,
5/3/24 15:57,L17L08,0.0287,8,,,,,
5/3/24 15:56,L17L07,0.0581,22,,,,,
5/3/24 15:54,L17L06,0.0431,16,,,,,
5/3/24 15:53,L17L05,0.0116,4,,,,,
5/3/24 15:52,L17L04,0.0263,10,,,,,
5/3/24 15:50,L17L03,0.022,7,,,,,
5/3/24 15:49,L17L02,0.0288,6,,,,,
5/3/24 15:47,L17L01,0.0279,10,,,,,
5/3/24 15:34,O18L10,0.0236,4,,,,,
5/3/24 15:32,O18L09,0.004,1,,,,,
5/3/24 15:31,O18L08,0.0165,3,,,,,
5/3/24 15:29,O18L07,0.0155,2,,,,,
5/3/24 15:27,O18L06,0.0311,1,,,,,
5/3/24 15:26,O18L05,0.0125,5,,,,,
5/3/24 15:24,O18L04,0,0,,,,,
5/3/24 15:23,O18L03,0.0084,15,,,,,
5/3/24 15:20,O18L01,0.0191,10,,,,,
5/3/24 15:12,J13L10,0.0045,1,,,,,
5/3/24 15:09,J13L09,0.0086,2,,,,,
5/3/24 15:08,J13L06,0.0457,4,,,,,
5/3/24 15:08,J13L08,0.037,5,,,,,
5/3/24 15:07,J13L07,0.0279,14,,,,,
5/3/24 15:05,J13L05,0.0405,11,,,,,
5/3/24 15:03,J13L03,0.0722,11,,,,,
5/3/24 15:01,J13L02,0.0107,5,,,,,
5/3/24 15:00,J13L01,0.0112,6,,,,,
5/3/24 13:46,J15L10,0.1344,4,,,,,
5/3/24 13:44,J15L09,0.0633,1,,,,,
5/3/24 13:42,J15L08,0.0146,2,,,,,
5/3/24 13:41,J15L07,0.0445,15,,,,,
5/3/24 13:39,J15L06,0.0547,8,,,,,
5/3/24 13:38,J15L05,0.1142,12,,,,,
5/3/24 13:36,J15L04,0.0098,3,,,,,
5/3/24 13:35,J15L03,0.0355,10,,,,,
5/3/24 13:33,J15L02,0.0374,13,,,,,
5/3/24 13:32,J15L01,0.0292,12,,,,,
5/3/24 13:15,L15L10,0.0489,6,,,,,
5/3/24 13:13,L15L09,0.025,3,,,,,
5/3/24 13:11,L15L08,0.0732,22,,,,,
5/3/24 13:09,L15L07,0.0245,7,,,,,
5/3/24 13:08,L15L06,0.0481,34,,,,,
5/3/24 13:06,L15L05,0.0808,9,,,,,
5/3/24 13:05,L15L04,0.0284,17,,,,,
5/3/24 13:03,L15L03,1.106,15,,,,,
5/3/24 13:02,L15L02,0.0327,12,,,,,
5/3/24 13:01,L15L01,0.0746,18,,,,,
5/3/24 12:33,O18L10,0.0096,4,,,,,
5/3/24 12:31,O18L09,0.0225,2,,,,,
5/3/24 12:29,O18L08,0.0135,2,,,,,
5/3/24 12:27,O18L07,0.0445,3,,,,,
5/3/24 12:25,O18L06,0.0284,5,,,,,
5/3/24 12:23,O18L05,0.0171,8,,,,,
5/3/24 12:22,O18L04,0,0,,,,,
5/3/24 12:20,O18L03,0.0335,23,,,,,
5/3/24 12:18,O18L02,0.0945,15,,,,,
5/3/24 12:16,O18L01,0.0418,11,,,,,
5/3/24 11:56,L17L10,0.0277,14,,,,,
5/3/24 11:54,L17L09,0.0099,5,,,,,
5/3/24 11:52,L17L08,0.0133,5,,,,,
5/3/24 11:51,L17L07,0.0287,11,,,,,
5/3/24 11:49,L17L06,0.0695,64,,,,,
5/3/24 11:47,L17L05,0.0413,17,,,,,
5/3/24 11:46,L17L04,0.0092,5,,,,,
5/3/24 11:44,L17L03,0.1013,21,,,,,
5/3/24 11:43,L17L02,0.0234,20,,,,,
5/3/24 11:40,L17L01,0.0257,41,,,,,
5/3/24 11:13,J13L10,0.0026,2,,,,,
5/3/24 11:12,J13L09,0,0,,,,,
5/3/24 11:11,J13L08,0.0021,4,,,,,
5/3/24 11:10,J13L07,0.0328,5,,,,,
5/3/24 11:08,J13L06,0.062,4,,,,,
5/3/24 11:07,J13L05,0.0216,11,,,,,
5/3/24 11:05,J13L04,0.4644,16,,,,,
5/3/24 11:04,J13L03,0.1318,13,,,,,
5/3/24 11:02,J13L02,0.074,13,,,,,
5/3/24 11:00,J13L01,0.032,9,,,,,
