Timestamp,Ref.,Weight,Number,,,,,,,
9/4/24 21:50,K18L03,0.0086,3,,,,,,,
9/4/24 17:42,H15L07,0.0701,4,,,,,,,
9/4/24 21:01,D15L05,0.0186,5,,,,,,,
9/4/24 21:05,D15L03,0.0079,1,,,,,,,
9/4/24 21:41,K18L08,0.0307,22,,,,,,,
9/4/24 17:39,H15L10,0.0309,2,,,,,,,
9/4/24 20:57,D15L07,0.0694,6,,,,,,,
9/4/24 20:51,D15L10,0.0077,2,,,,,,,
9/4/24 21:38,K18L10,0.0356,2,,,,,,,
9/4/24 21:39,K18L09,0.0093,4,,,,,,,
9/4/24 20:55,D15L08,0.0328,10,,,,,,,
9/4/24 21:03,D15L04,0.0083,1,,,,,,,
9/4/24 22:38,H15L03,0.0113,4,,,,,,,
9/4/24 21:54,K18L01,0.0001,1,,,,,,,
9/4/24 12:48,D15L02,0.0157,12,,,,,,,
9/4/24 21:43,K18L07,0.0072,1,,,,,,,
9/4/24 22:36,H15L04,0.0196,2,,,,,,,
9/4/24 21:52,K18L02,0.0194,2,,,,,,,
9/4/24 21:47,K18L05,1.3038,2,,,,,,,
9/4/24 12:44,D15L05,0.0143,1,,,,,,,
9/4/24 21:48,K18L04,0.0416,17,,,,,,,
9/4/24 12:36,D15L10,0.0247,3,,,,,,,
9/4/24 12:40,D15L07,0.1741,5,,,,,,,
9/4/24 12:38,D15L09,0.052,3,,,,,,,
9/4/24 13:33,K18L01,0.042,9,,,,,,,
9/4/24 12:49,D15L01,0.0079,2,,,,,,,
9/4/24 21:45,K18L06,0.0108,12,,,,,,,
9/4/24 12:39,D15L08,0.0254,23,,,,,,,
9/4/24 11:41,Q17L09,0.0031,3,,,,,,,
9/4/24 14:15,H15L01,0.0249,32,,,,,,,
9/4/24 11:49,Q17L03,0.0164,1,,,,,,,
9/4/24 11:43,Q17L07,0.005,16,,,,,,,
9/4/24 11:46,Q17L05,0.0111,4,,,,,,,
10/4/24 07:03,P15L08,0.043,3,,,,,,,
9/4/24 11:40,Q17L10,0.0318,1,,,,,,,
10/4/24 07:15,P15L01,0.23,1,,,,,,,
10/4/24 08:51,D15L07,0.4179,2,,,,,,,
9/4/24 11:11,P15L02,0.0053,2,,,,,,,
9/4/24 11:50,Q17L02,0.0083,4,,,,,,,
9/4/24 14:01,H15L09,0.0069,4,,,,,,,
9/4/24 11:06,P15L06,0.0045,1,,,,,,,
9/4/24 14:04,H15L07,0.011,3,,,,,,,
9/4/24 14:00,H15L10,0.0097,2,,,,,,,
10/4/24 07:06,P15L06,0.0072,1,,,,,,,
10/4/24 08:57,D15L03,0.0044,1,,,,,,,
10/4/24 07:08,P15L05,0.0069,4,,,,,,,
9/4/24 11:45,Q17L06,0.0249,4,,,,,,,
10/4/24 08:54,D15L05,0.0625,3,,,,,,,
9/4/24 14:07,H15L05,0.011,6,,,,,,,
10/4/24 07:13,P15L02,0.01,4,,,,,,,
10/4/24 07:11,P15L03,0.0059,3,,,,,,,
10/4/24 07:09,P15L04,0.0057,1,,,,,,,
10/4/24 08:52,D15L06,0.0056,1,,,,,,,
10/4/24 07:02,P15L09,0.0275,2,,,,,,,
9/4/24 16:41,D15L02,0.0081,2,,,,,,,
9/4/24 17:45,H15L05,0.0116,4,,,,,,,
9/4/24 15:01,P15L09,0.2252,1,,,,,,,
9/4/24 19:02,P15L08,0.0002,5,,,,,,,
9/4/24 19:05,P15L06,0.0011,5,,,,,,,
9/4/24 17:47,H15L03,0.0013,3,,,,,,,
9/4/24 17:49,H15L02,0.0167,6,,,,,,,
9/4/24 22:34,H15L05,0.0005,2,,,,,,,
9/4/24 22:29,H15L08,0.0002,1,,,,,,,
9/4/24 22:41,H15L01,0.0015,3,,,,,,,
9/4/24 17:50,H15L01,0.0024,2,,,,,,,
9/4/24 22:27,H15L09,0.0022,2,,,,,,,
9/4/24 17:41,H15L08,0.0013,1,,,,,,,
9/4/24 15:48,Q17L02,0.0053,3,,,,,,,
9/4/24 15:47,Q17L03,0.046,2,,,,,,,
9/4/24 15:46,Q17L04,0.0007,2,,,,,,,
9/4/24 19:59,Q17L01,0.0063,1,,,,,,,
9/4/24 15:40,Q17L08,0.0032,1,,,,,,,
9/4/24 19:56,Q17L03,0.1109,3,,,,,,,
9/4/24 15:38,Q17L10,0.0062,2,,,,,,,
9/4/24 19:57,Q17L02,0.0015,3,,,,,,,
9/4/24 19:54,Q17L04,0.0038,4,,,,,,,
9/4/24 19:51,Q17L06,0.0019,1,,,,,,,
9/4/24 15:50,Q17L01,0.0202,2,,,,,,,
9/4/24 19:48,Q17L08,0.0014,1,,,,,,,
9/4/24 15:43,Q17L06,0.0086,2,,,,,,,
9/4/24 13:22,K18L08,0.0277,16,,,,,,,
9/4/24 13:31,K18L02,0.0232,3,,,,,,,
9/4/24 14:13,H15L02,0.0138,5,,,,,,,
9/4/24 14:11,H15L03,0.0297,6,,,,,,,
9/4/24 14:09,H15L04,0.0249,11,,,,,,,
9/4/24 13:30,K18L03,0.0179,6,,,,,,,
9/4/24 14:03,H15L08,0.01,5,,,,,,,
9/4/24 13:24,K18L07,0.0631,15,,,,,,,
9/4/24 13:27,K18L05,0.0063,2,,,,,,,
9/4/24 13:19,K18L10,0.2781,1,,,,,,,
9/4/24 22:31,H15L07,0.0136,5,,,,,,,
9/4/24 13:25,K18L06,0.0317,22,,,,,,,
9/4/24 14:05,H15L06,0.0072,3,,,,,,,
9/4/24 13:28,K18L04,0.0178,13,,,,,,,
9/4/24 13:21,K18L09,0.0054,1,,,,,,,
9/4/24 15:12,P15L01,0.003,2,,,,,,,
9/4/24 19:04,P15L07,0.0056,2,,,,,,,
9/4/24 15:02,P15L08,0.0009,1,,,,,,,
9/4/24 19:10,P15L03,0.0208,1,,,,,,,
9/4/24 15:10,P15L02,0.0002,1,,,,,,,
9/4/24 15:05,P15L06,0.0029,2,,,,,,,
9/4/24 15:08,P15L04,0.0074,4,,,,,,,
9/4/24 15:07,P15L05,0.0071,6,,,,,,,
9/4/24 15:00,P15L10,0.0056,2,,,,,,,
9/4/24 19:00,P15L10,0.0015,1,,,,,,,
9/4/24 15:09,P15L03,0.0088,7,,,,,,,
9/4/24 19:07,P15L05,0.0035,9,,,,,,,
9/4/24 19:08,P15L04,0.0022,4,,,,,,,
10/4/24 09:42,K18L01,0.0043,1,,,,,,,
9/4/24 16:37,D15L05,0.0176,1,,,,,,,
9/4/24 17:00,K18L10,0.0147,5,,,,,,,
9/4/24 16:42,D15L01,0,0,,,,,,,
9/4/24 17:16,K18L01,0.012,2,,,,,,,
9/4/24 16:35,D15L07,0.005,2,,,,,,,
9/4/24 16:36,D15L06,0.01,1,,,,,,,
9/4/24 16:32,D15L09,0.0061,9,,,,,,,
9/4/24 17:08,K18L07,0.0644,9,,,,,,,
9/4/24 16:33,D15L08,0.0064,5,,,,,,,
9/4/24 17:05,K18L09,0.0038,1,,,,,,,
9/4/24 17:13,K18L03,0.0139,4,,,,,,,
9/4/24 17:07,K18L08,0.0124,7,,,,,,,
9/4/24 17:12,K18L04,0.0705,20,,,,,,,
9/4/24 17:11,K18L05,0.0131,4,,,,,,,
9/4/24 17:10,K18L06,0.013,13,,,,,,,
9/4/24 16:38,D15L04,0,0,,,,,,,
10/4/24 10:13,H15L09,0.0083,6,,,,,,,
9/4/24 16:31,D15L10,0.0102,1,,,,,,,
9/4/24 17:14,K18L02,0.0161,3,,,,,,,
9/4/24 11:07,P15L05,0.044,4,,,,,,,
9/4/24 11:00,P15L10,0.011,3,,,,,,,
9/4/24 11:09,P15L04,0.0097,6,,,,,,,
9/4/24 11:10,P15L03,0.0067,2,,,,,,,
9/4/24 11:51,Q17L01,0.0401,6,,,,,,,
9/4/24 11:48,Q17L04,0.0052,4,,,,,,,
9/4/24 11:02,P15L09,0.0049,5,,,,,,,
9/4/24 11:03,P15L08,0.0137,4,,,,,,,
10/4/24 07:51,Q17L08,0.0434,2,,,,,,,
