Timestamp,Ref.,Weight,Number,,,,,,,,
12/11/24 11:38,L17L04,0.0015,2,,,,,,,,
12/11/24 11:41,L17L02,0.0048,5,,,,,,,,
12/11/24 11:40,L17L03,0.0061,4,,,,,,,,
12/11/24 11:42,L17L01,0.0665,16,,,,,,,,
12/11/24 11:36,L17L06,0.0078,6,,,,,,,,
12/11/24 11:37,L17L05,0.0135,3,,,,,,,,
12/11/24 11:31,L17L09,0.0032,5,,,,,,,,
12/11/24 11:34,L17L08,0.0074,3,,,,,,,,
12/11/24 11:35,L17L07,0.0046,1,,,,,,,,
12/11/24 12:16,O18L03,0.0747,1,,,,,,,,
12/11/24 12:08,O18L10,0.0431,2,,,,,,,,
12/11/24 12:09,O18L09,0.1461,2,,,,,,,,
12/11/24 12:13,O18L06,0.0708,3,,,,,,,,
12/11/24 12:12,O18L07,0.0158,4,,,,,,,,
12/11/24 12:15,O18L04,0.0085,4,,,,,,,,
12/11/24 12:18,O18L02,0.0044,1,,,,,,,,
12/11/24 11:04,L15L07,0.0037,2,,,,,,,,
12/11/24 11:11,L15L01,0.0055,5,,,,,,,,
12/11/24 11:09,L15L03,0.0007,1,,,,,,,,
12/11/24 11:01,L15L09,0.0525,6,,,,,,,,
12/11/24 11:00,L15L10,0.0292,1,,,,,,,,
12/11/24 11:10,L15L02,0.0016,2,,,,,,,,
12/11/24 11:06,L15L05,0.0782,1,,,,,,,,
12/11/24 11:05,L15L06,0.0167,3,,,,,,,,
12/11/24 11:08,L15L04,0.0324,7,,,,,,,,
12/11/24 11:03,L15L08,0.0137,19,,,,,,,,
12/11/24 13:04,J15L04,0.0103,5,,,,,,,,
12/11/24 12:59,J15L08,0.0151,4,,,,,,,,
12/11/24 13:05,J15L03,0.0009,3,,,,,,,,
12/11/24 12:57,J15L09,0.0028,1,,,,,,,,
12/11/24 13:02,J15L05,0.0222,3,,,,,,,,
12/11/24 13:01,J15L06,0.0072,1,,,,,,,,
12/11/24 13:06,J15L02,0.0009,1,,,,,,,,
12/11/24 13:07,J15L01,0.0015,1,,,,,,,,
12/11/24 13:27,J13L09,0.0124,2,,,,,,,,
12/11/24 13:37,J13L01,0.0078,2,,,,,,,,
12/11/24 13:26,J13L10,0.0015,1,,,,,,,,
12/11/24 13:32,J13L05,0.0013,1,,,,,,,,
12/11/24 13:30,J13L07,0.0119,4,,,,,,,,
12/11/24 13:31,J13L06,0.0031,15,,,,,,,,
12/11/24 13:34,J13L04,0.0081,1,,,,,,,,
12/11/24 13:35,J13L03,0.0025,1,,,,,,,,
12/11/24 13:36,J13L02,0.0347,1,,,,,,,,
12/11/24 19:42,L17L01,0.0404,1,,,,,,,,
