Time Stamp,Location,Weight,Biomass
18/3/25 11:00,L17L10,0.0404,2
18/3/25 11:02,L17L09,0,0
18/3/25 11:03,L17L08,0.0232,1
18/3/25 11:04,L17L07,0.0419,16
18/3/25 11:05,L17L06,0.0428,3
18/3/25 11:07,L17L05,0.1168,8
18/3/25 11:08,L17L04,0.075,8
18/3/25 11:09,L17L03,0,0
18/3/25 11:11,L17L02,0,0
18/3/25 11:12,L17L01,0,0
18/3/25 11:43,O18L10,0.3381,7
18/3/25 11:45,O18L09,0.0548,5
18/3/25 11:46,O18L08,0.0217,2
18/3/25 11:47,O18L07,0.1943,14
18/3/25 11:48,O18L06,0.0586,2
18/3/25 11:49,O18L05,0.0062,5
18/3/25 11:50,O18L04,0.0107,4
18/3/25 11:51,O18L03,0.0271,7
18/3/25 11:52,O18L02,0.021,14
18/3/25 11:53,O18L01,0.0324,2
18/3/25 12:27,L15L10,0.0053,3
18/3/25 12:28,L15L09,0.0965,4
18/3/25 12:29,L15L08,0.0153,7
18/3/25 12:30,L15L07,0,0
18/3/25 12:32,L15L06,0.1576,22
18/3/25 12:33,L15L05,0.0878,21
18/3/25 12:34,L15L04,0.0261,3
18/3/25 12:35,L15L03,0.0836,24
18/3/25 12:37,L15L02,0.0083,3
18/3/25 12:38,L15L01,0.0096,1
18/3/25 12:57,J13L10,0.3756,2
18/3/25 12:58,J13L09,0.0711,5
18/3/25 12:59,J13L08,0,0
18/3/25 13:01,J13L07,0.0282,4
18/3/25 13:02,J13L06,0.0381,3
18/3/25 13:03,J13L05,0,0
18/3/25 13:04,J13L04,0.0093,7
18/3/25 13:05,J13L03,0.0123,4
18/3/25 13:06,J13L02,0.0331,3
18/3/25 13:07,J13L01,0.0368,7
18/3/25 13:25,J15L10,0.0024,1
18/3/25 13:26,J15L09,0,0
18/3/25 13:28,J15L08,0.2796,4
18/3/25 13:29,J15L07,0.0174,9
18/3/25 13:31,J15L06,0,0
18/3/25 13:32,J15L05,0.0125,3
18/3/25 13:33,J15L04,0.0049,2
18/3/25 13:34,J15L03,0.0302,85
18/3/25 13:35,J15L02,0.0058,45
18/3/25 13:36,J15L01,0.0056,8
18/3/25 15:00,L17L10,0.0328,6
18/3/25 15:01,L17L09,0.0187,13
18/3/25 15:02,L17L08,0.0125,4
18/3/25 15:04,L17L07,0.0173,4
18/3/25 15:05,L17L06,0.2395,36
18/3/25 15:06,L17L05,0.0195,5
18/3/25 15:08,L17L04,0.1721,
18/3/25 15:09,L17L03,0.1714,5
18/3/25 15:11,L17L02,0.0235,2
18/3/25 15:12,L17L01,0.0518,6
18/3/25 15:42,O18L10,0.0098,2
18/3/25 15:43,O18L09,0.0026,1
18/3/25 15:45,O18L08,0.0125,2
18/3/25 15:46,O18L07,0.0799,
18/3/25 15:47,O18L06,0.1364,4
18/3/25 15:48,O18L05,0.0068,2
18/3/25 15:50,O18L04,0.0273,3
18/3/25 15:51,O18L03,0.0281,7
18/3/25 15:52,O18L02,0,0
18/3/25 15:54,O18L01,0.0154,1
18/3/25 16:24,L15L10,0.0251,2
18/3/25 16:25,L15L09,0.00987,4
18/3/25 16:27,L15L08,0.0012,1
18/3/25 16:28,L15L07,0.0041,4
18/3/25 16:29,L15L06,0.0134,5
18/3/25 16:31,L15L05,0.0958,16
18/3/25 16:32,L15L04,0.0558,15
18/3/25 16:33,L15L03,0.0385,8
18/3/25 16:35,L15L02,0.0036,2
18/3/25 16:36,L15L01,0.0235,1
18/3/25 16:56,J13L10,0,0
18/3/25 16:58,J13L09,0.2226,1
18/3/25 17:01,J13L08,0.0151,1
18/3/25 17:02,J13L07,0.1126,11
18/3/25 17:03,J13L06,0.0986,6
