Time Stam,Location,Weight,Biomass,COMMENTS
18/8/25 15:29,J15L07,0,0,
18/8/25 15:28,J15L08 D,0.0048,1,1 SMALL UNKNOWN BEETLE
18/8/25 15:33,J15L03,0.0031,3,"1 OCYM BARB, 2 TETR SERI"
18/8/25 15:32,J15L04 D,0,0,
18/8/25 15:20,J15L10 D,0,0,
18/8/25 15:36,J15L01,0.0136,1,1 UNKNOWN HEMIPTERA (PHONOCTONUS)
18/8/25 15:35,J15L02 D,0.0084,1,1 OCYM BARB
18/8/25 15:27,J15L09,0,0,
18/8/25 15:30,J15L06 D,0,0,
18/8/25 15:31,J15L05,0.0728,1,1 ZOPH SUBC
18/8/25 16:15,O18L06 D,0,0,
18/8/25 16:12,O18L09,0,0,
18/8/25 16:10,O18L10 D,0,0,
18/8/25 16:13,O18L08 D,0.0612,2,2 ZOPH SUBC
18/8/25 16:22,O18L01,0,0,
18/8/25 16:19,O18L03,0.0146,3,"1 PHEI TENU, 1 TETR SOLI, 1 OCYM BARB"
18/8/25 16:21,O18L02 D,0,0,
18/8/25 16:18,O18L04 D,0.0034,1,1 TETR SOLI
18/8/25 16:14,O18L07,0.0135,2,"1 MEGA ANALI, 1 OCYM BARB"
18/8/25 16:16,O18L05,0.0034,11,11 PHE TENU
19/8/25 07:02,J13L08 D,0.0035,2,"1 UNKNOWN SPIDER, 1 CAMP SPP."
19/8/25 07:00,J13L09,0.1098,2,"1 UNKNOWN SPIDER, 1 UNKNOWN TENEBRIONID WITH LIGHT BROWN BODY AND DARK BROWN HEAD (SPP 1)."
19/8/25 07:14,J13L01,0,0,
19/8/25 07:05,J13L06 D,0.0317,1,1 STIPS
19/8/25 07:07,J13L05,0.0092,4,4 MTE
19/8/25 07:00,J13L10 D,0.0368,1,1 UNKNOWN BROWN TENEBRIONID 
19/8/25 07:03,J13L07,0.0093,6,6 PHEI TENU
19/8/25 07:11,J13L03,0,0,
19/8/25 07:08,J13L04 D,0.0713,3,"1 CAMP MACU, 1 STIPS, 1 MITE"
19/8/25 07:12,J13L02 D,0,0,
19/8/25 08:31,O18L10 D,0,0,
19/8/25 08:34,O18L08 D,0,0,
19/8/25 08:39,O18L05,0,0,
19/8/25 08:40,O18L04 D,0.0175,2,"1 UNKNOWN SPIDER, 1 UNKNOWN SMALL BLACK BEETLE"
19/8/25 08:44,O18L02 D,0,0,
19/8/25 08:35,O18L06 D,0,0,
19/8/25 08:36,O18L07,0,0,
19/8/25 08:33,O18L09,0.0209,1,1 UNKNOWN SPIDER
19/8/25 08:46,O18L01,0,0,
19/8/25 08:42,O18L03,0.0077,1,1 UNKNOWN SPIDER
18/8/25 20:14,O18L08 D,0.0002,1,1 TETR SERI
18/8/25 20:16,O15L06 D,0.0102,5,"4 TETR SOLI, 1 UNKNOWN SMALL BLACK BEETLE"
18/8/25 20:13,O15L09,0.0066,1,1 UNKNOWN SMALL BLACK BEETLE
18/8/25 20:15,O18L07,0.0011,2,"1 TETR SOLI, 1 MITE"
18/8/25 20:20,O18L02 D,0.0132,2,"1 MEGA ANALI, 1 CAMP SPP. "
18/8/25 20:17,O18L05,0.0023,1,1 PHEI TENU
18/8/25 20:19,O18L03,0.0146,2,"1 TETR SOLI, 1 CAMP MACU"
18/8/25 20:21,O18L01,0,0,
18/8/25 20:18,O18L04 D,0,0,
18/8/25 20:11,O18L10 D,0.0099,1,1 UNKNOWN SMALL BLACK BEETLE
19/8/25 09:24,L17L04 D,0.0011,2,"1 TETR PERI, 1 MITE"
19/8/25 09:26,L17L02 D,0.0008,1,"1 UNKNOWN SMALL, BROWN WITH BLACK MARK BEETLE"
19/8/25 09:18,L17L08 D,0,0,
19/8/25 09:21,L17L06 D,0.0332,1,1 STIPS
19/8/25 09:15,L17L10 D,0.0006,1,1 UNKNOWN WHIT HEMIPTERA WITH WINGS
19/8/25 09:28,L17L01,0.0003,1,1 DORY HELV
19/8/25 09:25,L17L03,0,0,
19/8/25 09:16,L17L09,0,0,
19/8/25 09:22,L17L05,0,0,
19/8/25 09:19,L17L07,0,0,
19/8/25 10:04,L15L02 D,0.0004,1,1 TETR SOLI
19/8/25 09:57,L15L07,0.0414,2,"1 STIPS, 1 UNKNOWN BEETLE"
19/8/25 10:06,L15L01,0,0,
19/8/25 09:54,L15L10 D,0,0,
19/8/25 09:58,L15L06 D,0,0,
19/8/25 10:01,L15L04 D,0,0,
19/8/25 09:55,L15L09,0.2601,1,1 UNKNOWN SPIDER
19/8/25 10:00,L15L05,0,0,
19/8/25 10:03,L15L03,0.0589,2,"1 UNKNOWN SPIDER, 1 CAMP MACU"
19/8/25 09:56,L15L08 D,0.0195,5,"3 TETR SOLI, 1 UNKNOWN SPIDER, 1 LARVAE"
18/8/25 19:23,J15L08 D,0,0,
18/8/25 19:30,J15L03,0.0065,1,1 ANOP CUST
18/8/25 19:24,J15L07,0.0004,1,1 OCYM BARB
18/8/25 19:26,J15L05,0.0065,1,1 CREAM-WHITE MOTH
18/8/25 19:25,J15L06 D,0,0,
18/8/25 19:27,J15L04 D,0.0214,3,"1 CAMP FULV, 1 UNKNOWN BLACK BEETLE, 1 PHEI TENU"
18/8/25 19:21,J15L10 D,0,0,
18/8/25 19:22,J15L09,0,0,
18/8/25 19:32,J15L01,0,0,
18/8/25 19:32,J15L02 D,0.0103,1,1 CAMP MACU
18/8/25 15:06,J13L04 D,0.0745,2,"1 ZOPH SUBC, 1 Dolichomutilla sycorax"
18/8/25 15:02,J13L08 D,0,0,
18/8/25 15:07,J13L03,0,0,
