Timestamp,Ref.,Weight,Number,,,,,,
20/8/24 12:40,O18L03,0.0023,4,,,,,,
20/8/24 12:42,O18L01,0.0014,4,,,,,,
20/8/24 11:08,J13L04,0.0051,6,,,,,,
20/8/24 13:49,L15L04,0.0132,3,,,,,,
20/8/24 13:53,L15L01,0.0311,3,,,,,,
20/8/24 12:36,O18L06,0.0191,4,,,,,,
20/8/24 12:41,O18L02,0.0237,4,,,,,,
20/8/24 12:31,O18L10,0.1236,1,,,,,,
20/8/24 13:19,L17L04,0.0031,1,,,,,,
20/8/24 13:11,L17L10,0.0217,2,,,,,,
20/8/24 11:05,J13L06,0.0018,1,,,,,,
20/8/24 13:16,L17L06,0.0042,1,,,,,,
20/8/24 11:09,J13L03,0.0751,1,,,,,,
20/8/24 12:39,O18L04,0.0008,1,,,,,,
20/8/24 13:20,L17L03,0.0004,1,,,,,,
20/8/24 13:45,L15L07,0.0165,2,,,,,,
20/8/24 13:50,L15L03,0.1181,2,,,,,,
20/8/24 11:45,J15L02,0.0007,1,,,,,,
20/8/24 13:48,L15L05,0.0027,1,,,,,,
20/8/24 11:39,J15L07,0.0209,1,,,,,,
20/8/24 13:47,L15L06,0.0061,1,,,,,,
20/8/24 11:40,J15L06,0.0011,2,,,,,,
20/8/24 13:52,L15L02,0.0703,3,,,,,,
20/8/24 11:43,J15L03,0.0137,1,,,,,,
20/8/24 13:42,L15L10,0.2091,1,,,,,,
20/8/24 13:21,L17L02,0,0,,,,,,
20/8/24 12:33,O18L08,0,0,,,,,,
20/8/24 13:17,L17L05,0,0,,,,,,
20/8/24 12:32,O18L09,0,0,,,,,,
20/8/24 11:01,J13L09,0,0,,,,,,
20/8/24 11:04,J13L07,0,0,,,,,,
20/8/24 12:37,O18L05,0,0,,,,,,
20/8/24 13:12,L17L09,0,0,,,,,,
20/8/24 11:12,J13L01,0,0,,,,,,
20/8/24 11:00,J13L10,0,0,,,,,,
20/8/24 13:15,L17L07,0,0,,,,,,
20/8/24 12:35,O18L07,0,0,,,,,,
20/8/24 13:22,L17L01,0,0,,,,,,
20/8/24 13:44,L15L08,0,0,,,,,,
20/8/24 11:03,J13L08,0,0,,,,,,
20/8/24 11:07,J13L05,0,0,,,,,,
20/8/24 13:14,L17L08,0,0,,,,,,
20/8/24 11:11,J13L02,0,0,,,,,,
20/8/24 11:36,J15L09,0,0,,,,,,
20/8/24 11:46,J15L01,0,0,,,,,,
20/8/24 11:37,J15L08,0,0,,,,,,
20/8/24 11:41,J15L05,0,0,,,,,,
20/8/24 11:42,J15L04,0,0,,,,,,
20/8/24 13:43,L15L09,0,0,,,,,,
20/8/24 11:35,J15L10,0,0,,,,,,
20/8/24 21:35,L15L03,0.0073,1,,,,,,
20/8/24 21:00,L17L01,0.0288,1,,,,,,
20/8/24 20:59,L17L02,0.0709,2,,,,,,
20/8/24 20:54,L17L06,0.0134,2,,,,,,
20/8/24 21:34,L15L04,0.0074,2,,,,,,
20/8/24 16:57,L17L03,0.0069,1,,,,,,
20/8/24 16:18,O18L08,0.0027,1,,,,,,
20/8/24 21:36,L15L02,0.0174,3,,,,,,
20/8/24 16:19,O18L07,0.0493,3,,,,,,
20/8/24 20:56,L17L05,0.0306,1,,,,,,
20/8/24 16:53,L17L06,0.0067,1,,,,,,
20/8/24 16:16,O18L10,0.0143,2,,,,,,
20/8/24 20:52,L17L08,0.0029,1,,,,,,
20/8/24 16:26,O18L01,0.0138,2,,,,,,
20/8/24 16:54,L17L05,0.0077,1,,,,,,
20/8/24 16:25,O18L02,0.0278,4,,,,,,
20/8/24 17:19,L15L08,0.0013,2,,,,,,
20/8/24 16:24,O18L03,0.0135,3,,,,,,
20/8/24 16:59,L17L01,0.0112,2,,,,,,
20/8/24 16:48,L17L10,0.1337,3,,,,,,
20/8/24 16:23,O18L04,0.0273,3,,,,,,
20/8/24 21:31,L15L06,0.0341,2,,,,,,
20/8/24 15:42,J15L03,0.0768,2,,,,,,
20/8/24 16:17,O18L09,0.0113,2,,,,,,
20/8/24 15:38,J15L06,0.0136,2,,,,,,
20/8/24 17:22,L15L06,0.0641,3,,,,,,
20/8/24 15:40,J15L04,0.0161,2,,,,,,
20/8/24 17:27,L15L02,0.0398,1,,,,,,
20/8/24 15:36,J15L08,0.0378,1,,,,,,
20/8/24 19:29,J15L08,0.0278,1,,,,,,
20/8/24 17:28,L15L01,0.0181,2,,,,,,
20/8/24 19:01,J13L09,0.0129,1,,,,,,
20/8/24 17:18,L15L09,0.0378,1,,,,,,
20/8/24 17:23,L15L05,0.2605,3,,,,,,
20/8/24 17:24,L15L04,0.0107,2,,,,,,
20/8/24 19:04,J13L06,0.0149,3,,,,,,
20/8/24 15:39,J15L05,0.0253,4,,,,,,
20/8/24 19:08,J13L03,0.0093,2,,,,,,
