Timestamp,Ref.,Weight,Number,,,,
24/9/24 13:06,Q17L08,0.0024,1,,,,
24/9/24 13:08,Q17L07,0.0163,1,,,,
24/9/24 13:15,Q17L01,0.0234,1,,,,
24/9/24 13:09,Q17L06,0.0027,14,,,,
24/9/24 13:14,Q17L02,0.0082,3,,,,
24/9/24 13:13,Q17L03,0.0379,4,,,,
24/9/24 13:05,Q17L09,0.0285,3,,,,
24/9/24 13:12,Q17L04,0.0018,1,,,,
24/9/24 12:32,P15L08,0.0187,1,,,,
24/9/24 12:37,P15L04,0.0059,9,,,,
24/9/24 12:33,P15L07,0.0178,2,,,,
24/9/24 12:35,P15L05,0.0023,1,,,,
24/9/24 11:51,K18L02,0.0095,6,,,,
24/9/24 11:48,K18L05,0.0131,20,,,,
24/9/24 11:43,K18L08,0.0026,2,,,,
24/9/24 11:46,K18L06,0.0091,5,,,,
24/9/24 11:50,K18L03,0.0049,4,,,,
24/9/24 11:45,K18L07,0.0036,5,,,,
24/9/24 11:52,K18L01,0.0085,4,,,,
24/9/24 11:49,K18L04,0.0015,1,,,,
24/9/24 11:10,H15L02,0.0026,1,,,,
24/9/24 11:01,H15L09,0.0174,1,,,,
24/9/24 11:03,H15L08,0.0042,2,,,,
24/9/24 11:07,H15L05,0.0039,1,,,,
24/9/24 11:11,H15L01,0.0011,1,,,,
24/9/24 11:09,H15L03,0.0034,1,,,,
24/9/24 13:57,D15L08,0.0035,1,,,,
24/9/24 13:55,D15L10,0.0566,2,,,,
24/9/24 13:59,D15L07,0.0069,2,,,,
24/9/24 14:00,D15L06,0.0126,3,,,,
24/9/24 14:06,D15L01,0.0122,3,,,,
24/9/24 12:41,P15L01,0.0158,7,,,,
24/9/24 14:05,D15L02,0,0,,,,
24/9/24 11:04,H15L07,0,0,,,,
24/9/24 11:00,H15L10,0,0,,,,
24/9/24 11:05,H15L06,0,0,,,,
24/9/24 11:08,H15L04,0,0,,,,
24/9/24 13:10,Q17L05,0,0,,,,
24/9/24 13:04,Q17L10,0,0,,,,
24/9/24 14:02,D15L04,0,0,,,,
24/9/24 13:56,D15L09,0,0,,,,
24/9/24 11:41,K18L10,0,0,,,,
24/9/24 11:42,K18L09,0,0,,,,
24/9/24 12:29,P15L10,0,0,,,,
24/9/24 12:30,P15L09,0,0,,,,
24/9/24 12:34,P15L06,0,0,,,,
24/9/24 12:39,P15L02,0,0,,,,
24/9/24 14:04,D15L03,0,0,,,,
24/9/24 12:38,P15L03,0,0,,,,
24/9/24 14:01,D15L05,0,0,,,,
24/9/24 18:09,D15L06,0.0035,1,,,,
24/9/24 18:12,D15L03,0.0079,1,,,,
24/9/24 18:07,D15L08,0.0058,3,,,,
24/9/24 17:17,Q17L05,0.0585,1,,,,
24/9/24 18:13,D15L02,0.0058,2,,,,
24/9/24 17:21,Q17L01,0.0061,1,,,,
24/9/24 15:09,H15L02,0.0024,1,,,,
24/9/24 18:05,D15L10,0.0181,4,,,,
24/9/24 17:12,Q17L09,0.0062,1,,,,
24/9/24 18:08,D15L07,0.0191,5,,,,
24/9/24 15:04,H15L06,1.9789,1,,,,
24/9/24 18:17,D15L01,0.0664,6,,,,
24/9/24 15:00,H15L10,0.0053,1,,,,
24/9/24 17:16,Q17L06,0.0355,3,,,,
24/9/24 15:02,H15L08,0.0068,1,,,,
24/9/24 16:38,P15L04,0.0056,8,,,,
24/9/24 15:46,K18L02,0.0073,2,,,,
24/9/24 15:44,K18L05,0.0038,1,,,,
24/9/24 15:39,K18L09,0.0135,2,,,,
24/9/24 15:37,K18L10,0.0062,1,,,,
24/9/24 15:41,K18L07,0.0023,2,,,,
24/9/24 15:47,K18L01,0.0148,7,,,,
24/9/24 15:42,K18L06,0.0025,2,,,,
24/9/24 16:34,P15L08,0.0132,2,,,,
24/9/24 16:41,P15L01,0.0865,1,,,,
24/9/24 15:46,K18L03,0.0049,1,,,,
24/9/24 17:11,Q17L10,0.0055,1,,,,
24/9/24 17:20,Q17L02,0.0039,1,,,,
24/9/24 15:45,K18L04,0.0044,1,,,,
24/9/24 16:37,P15L05,0.0019,1,,,,
24/9/24 16:33,P15L09,0.0108,3,,,,
24/9/24 16:32,P15L10,0.0071,1,,,,
24/9/24 16:36,P15L06,0.0096,2,,,,
24/9/24 19:58,K18L01,0.0017,3,,,,
24/9/24 16:40,P15L02,0.0288,6,,,,
24/9/24 19:48,K18L08,0.0032,2,,,,
24/9/24 16:35,P15L07,0.0056,1,,,,
24/9/24 19:56,K18L03,0.0061,2,,,,
