Timestamp,Ref.,Weight,Number
24/10/23 11:00,P15L07,0.0000,0
24/10/23 11:01,P15L08,0.0107,1
24/10/23 11:02,P15L09,0.0215,1
24/10/23 11:03,P15L10,0.0573,4
24/10/23 11:06,P15L06,0.0294,3
24/10/23 11:07,P15L05,0.0285,25
24/10/23 11:09,P15L04,0.0000,0
24/10/23 11:10,P15L03,0.0391,3
24/10/23 11:12,P15L02,0.0000,0
24/10/23 11:13,P15L01,0.0000,0
24/10/23 11:48,Q17L07,0.0000,0
24/10/23 11:49,Q17L08,0.0000,0
24/10/23 11:51,Q17L09,0.0000,0
24/10/23 11:52,Q17L10,0.0000,0
24/10/23 11:54,Q17L06,0.0211,1
24/10/23 11:55,Q17L05,0.0167,1
24/10/23 11:57,Q17L04,0.0000,0
24/10/23 11:58,Q17L03,0.0081,1
24/10/23 12:00,Q17L02,0.0000,0
24/10/23 12:01,Q17L01,0.0000,0
24/10/23 12:45,K18L07,0.0095,1
24/10/23 12:46,K18L08,0.0084,1
24/10/23 12:48,K18L09,0.0000,0
24/10/23 12:50,K18L10,0.0739,3
24/10/23 12:53,K18L06,0.0000,0
24/10/23 12:54,K18L05,0.0162,1
24/10/23 12:57,K18L04,0.0292,2
24/10/23 12:58,K18L03,0.0422,2
24/10/23 13:00,K18L02,0.0178,1
24/10/23 13:01,K18L01,0.0149,3
24/10/23 13:31,D15L07,0.0000,0
24/10/23 13:32,D15L08,0.0000,0
24/10/23 13:34,D15L09,0.0000,0
24/10/23 13:35,D15L10,0.0000,0
24/10/23 13:37,D15L06,0.0000,0
24/10/23 13:38,D15L05,0.0000,0
24/10/23 13:39,D15L04,0.0253,2
24/10/23 13:41,D15L03,0.0000,0
24/10/23 13:42,D15L02,0.0076,1
24/10/23 13:44,D15L01,0.0761,8
24/10/23 13:48,H15L07,0.0000,0
24/10/23 13:49,H15L08,0.0222,1
24/10/23 13:51,H15L09,0.0397,1
24/10/23 13:52,H15L10,0.0000,0
24/10/23 13:55,H15L06,0.0000,0
24/10/23 13:56,H15L05,0.0000,0
24/10/23 13:58,H15L04,0.0411,2
24/10/23 13:59,H15L03,0.0541,2
24/10/23 14:01,H15L02,0.0330,1
24/10/23 14:02,H15L01,0.0000,0
24/10/23 15:00,P15L07,0.0088,4
24/10/23 15:01,P15L08,0.0000,0
24/10/23 15:03,P15L09,0.0000,0
24/10/23 15:05,P15L10,0.0000,0
24/10/23 15:07,P15L06,0.0000,0
24/10/23 15:08,P15L05,0.0000,0
24/10/23 15:10,P15L04,0.0000,0
24/10/23 15:11,P15L03,0.0076,3
24/10/23 15:13,P15L02,0.0064,2
24/10/23 15:14,P15L01,0.0081,5
24/10/23 15:41,Q17L07,0.0074,3
24/10/23 15:42,Q17L08,0.0000,0
24/10/23 15:44,Q17L09,0.0019,1
24/10/23 15:45,Q17L10,0.0075,2
24/10/23 15:48,Q17L06,0.0000,0
24/10/23 15:49,Q17L05,0.0013,3
24/10/23 15:51,Q17L04,0.0011,1
24/10/23 15:52,Q17L03,0.0000,0
24/10/23 15:54,Q17L02,0.0011,1
24/10/23 15:55,Q17L01,0.0073,2
24/10/23 16:30,K18L07,0.0000,0
24/10/23 16:31,K18L08,0.0055,2
24/10/23 16:33,K18L09,0.0018,1
24/10/23 16:34,K18L10,0.0233,2
24/10/23 16:37,K18L06,0.0145,3
24/10/23 16:38,K18L05,0.0035,2
24/10/23 16:40,K18L04,0.0000,0
24/10/23 16:41,K18L03,0.0212,9
