Time Stamp,Location,Weight,Biomass,COMMENTS
28/5/25 11:00,L17L10,0,0,0
28/5/25 11:01,L17L09,0,0,
28/5/25 11:02,L17L08,0,0,
28/5/25 11:03,L17L07,0.2039,4,"1 TETR SOLI, 1 ZOPH SUBC, 1 SPIDER, 1 WEEVIL"
28/5/25 11:04,L17L06,0,0,
28/5/25 11:05,L17L05,0.0010,7,"6 PHEI TENU, 1 TETR SOLI"
28/5/25 11:06,L17L04,0.0038,8,"1 BERYTIDAE, 1 FLYING HEMIPTERA, 6 TETR SOLI"
28/5/25 11:07,L17L03,0,0,
28/5/25 11:08,L17L02,0.9295,10,"1 GONO DIPL, 1 TETR SOLI, 6 PHEI TENU, 1 SPIDER, 1 ANT-LION"
28/5/25 11:09,L17L01,0,0,
28/5/25 11:36,O18L10,0,0,
28/5/25 11:37,O18L09,0.0005,3,"2 OCYM BARB, 1"
28/5/25 11:38,O18L08,0,0,
28/5/25 11:39,O18L07,0.0284,12,"2 CAMP FULV, 7 TETR SERI, 3 TETR SOLI"
28/5/25 11:40,O18L06,0,0,
28/5/25 11:41,O18L05,0.0044,7,"1 TETR SOLI, 3 TETR SERI, "
28/5/25 11:42,O18L04,0.0028,1,1 SPIDER
28/5/25 11:43,O18L03,0.0349,3,"2 TETR SOLI, 1 ZOPH SUBC"
28/5/25 11:44,O18L02,0.1370,10,"1 EURYCHORA, 1 MEGA ANAL, 6 TETR SOLI, 1 ONTHOPHAGUS CONVEXUS, 1 ANT-LION"
28/5/25 11:45,O18L01,0.0072,7,"1 CAMP FULV, 4 TETR SOLI, 1 ANOP STEIN, 1 "
28/5/25 12:13,L15L09,0,0,
28/5/25 12:18,L15L10,0.0111,1,1 COLEOPTERA LARVAE
28/5/25 12:20,L15L08,0.0048,6,6 TETR SERI
28/5/25 12:21,L15L07,0.0012,1,
28/5/25 12:22,L15L06,0.9216,1,1 PASS FORT
28/5/25 12:23,L15L05,0.1908,1,1 STIPS
28/5/25 12:24,L15L04,0.0716,3,"1 LEPI CAPE, 1 TETR SOLI, 1 STIPS"
28/5/25 12:25,L15L03,0.0095,8,"2 OCYM BARB, 1 CAMP FULV, 2 TETR SOLI, 1 ANOP STEIN, "
28/5/25 12:26,L15L02,0,0,
28/5/25 12:49,J13L10,0.0060,7,"1 MEGA ANAL, 4 PHEI TENU, 1 SPIDER, 1"
28/5/25 12:50,J13L09,0.0025,4,4 TETR SOLI
28/5/25 12:51,J13L08,0.0032,3,3 TETR SOLI
28/5/25 12:52,J13L07,0.0300,1,1 ZOPH SUBC
28/5/25 12:53,J13L06,0.0042,1,1 COLEOPTERA LARVAE
28/5/25 12:54,J13L05,0.5095,8,"1 ZOPH SUBS, 6 MESS CAPE, 1 TETR SOLI"
28/5/25 12:55,J13L04,0,0,
28/5/25 12:56,J13L03,0.1703,2,"1 EURYCHORA, 1 ZOPH SUBC, 1 TETR SOLI"
28/5/25 12:57,J13L02,0,0,
28/5/25 12:58,J13L01,0,0,
28/5/25 13:20,J15L10,0.0389,1,1 ZOPH SUBC
28/5/25 13:21,J15L09,0,0,
28/5/25 13:22,J15L08,0,0,
28/5/25 13:23,J15L07,0,0,
28/5/25 13:24,J15L06,0.0275,1,1 ZOPH SUBC
28/5/25 13:25,J15L05,0.7497,1,1 LEPIDOPTERA LARVAE
28/5/25 13:27,J15L03,0.0007,2,2 LEPI CAPE
28/5/25 13:28,J15L02,0,0,
28/5/25 13:29,J15L01,0.0070,7,"1 MESS CAPE, 3 PHEI CAPE, 1 WEEVIL, 1 COCKROACH-LIKE BEETLE, 1 EURYCHORA-LIKE BEETLE"
28/5/25 15:00,L17L10,0.0362,2,"1 ZOPH SUBC, 1 SHIELD BEETLE"
28/5/25 15:01,L17L09,0.0342,1,1 ZOPH SUBS
28/5/25 15:02,L17L08,0.0577,1,1 ZOPH SUBC
28/5/25 15:03,L17L07,0.0015,2,2 TETR SOLI
28/5/25 15:04,L17L06,0.0857,4,"1 OCYM BARB, 2 ZOPH SUBC, 1 BLACK SHILD BEETLE"
28/5/25 15:05,L17L05,0.0229,4,"1 OCYM BARB, 1 MESS CAPE, 1 SMALL SHIELD BUG, 1 BIG SHIELD BUG"
28/5/25 15:06,L17L04,0.0599,8,"1 OCYM BARB, 1 ZOPH SUBC, 1 TURTLE STINK BUG, 1 TETR SOLI, 4 5PHEIDOLE SPP."
28/5/25 15:07,L17L03,0.0462,5,"1 SPIDER, 1 OCYM BARB, 1 TETR SOLI, 1 PHEI CAPE, 1 ZOPH SUBC"
28/5/25 15:08,L17L02,0.0375,1,1 ZOPH SUBC
28/5/25 15:09,L17L01,0.0385,1,1 ZOPH SUBC
28/5/25 15:36,O18L10,0,0,
28/5/25 15:37,O18L09,0.0008,6,"4 TETR SOLI, 1 "
28/5/25 15:38,O18L08,0,0,
28/5/25 15:39,O18L07,0.0022,3,3 TETR SOLI
28/5/25 15:40,O18L06,0.0990,8,"2 ZOPH SUBC, 1 WEEVIL, 4 TETR SOLI, 1 TURTLE STINK BUG"
28/5/25 15:41,O18L05,0.0457,14,"1 PHEI TENU, 1 ZOPH SUBC, 2 TETR SOLI, 6 TAPINOLEPIS TRIMENNI, 3 TETR SERI, STRANGLATILLA"
28/5/25 15:42,O18L04,0,0,
28/5/25 15:43,O18L03,0.0487,2,"1 ZOPH SUBC, 1"
28/5/25 15:44,O18L02,0.0004,2,"1 LEAFHOPPER, 1 SMALL FLY"
28/5/25 15:45,O18L01,0.0118,2,"1 ZOPH SUBC, 1 TETR SOLI"
28/5/25 16:16,L15L10,0,0,
28/5/25 16:17,L15L09,0.0371,2,"1 ZOPH SUBC, 1 SPIDER"
28/5/25 16:18,L15L08,0.0054,5,5 TETR SERI
28/5/25 16:19,L15L07,0.0350,1,1 ZOPH SUBC
28/5/25 16:20,L15L06,0,0,
28/5/25 16:21,L15L05,0.0041,8,
