Timestamp,Ref,Weight,Number,Notes
30/8/23 12:32,J13L01,0.0005,1,
30/8/23 12:33,J13L02,0,0,
30/8/23 12:40,J13L09,0,0,
30/8/23 12:04,L15L04,0,0,
30/8/23 12:08,L15L08,0.009,3,
30/8/23 12:07,L15L07,0.012,5,
30/8/23 12:09,L15L09,0.0036,2,
30/8/23 11:34,L17L04,0.0035,2,
30/8/23 11:33,L17L03,0.0019,1,
30/8/23 11:32,L17L02,0.0047,1,
30/8/23 11:31,L17L01,0.0015,2,
30/8/23 13:08,J15L08,0,0,
30/8/23 13:05,J15L05,0.0285,6,5 COPPERBACK 
30/8/23 13:03,J15L03,0.0005,2,
30/8/23 13:04,J15L04,0.0044,1,
30/8/23 13:07,J15L07,0.064,9,
30/8/23 13:06,J15L06,0.0146,2,
30/8/23 13:10,J15L10,0.007,1,
30/8/23 13:02,J15L02,0,0,
30/8/23 13:01,J15L01,0.0058,1,
30/8/23 12:03,L15L03,0.0087,4,
30/8/23 12:01,L15L02,0.0028,1,
30/8/23 12:00,L15L01,0.067,2,
30/8/23 12:05,L15L05,0.0488,4,
30/8/23 12:35,J13L04,0.0254,7,
30/8/23 12:36,J13L05,0,0,
30/8/23 12:37,J13L06,0,0,
30/8/23 12:38,J13L07,0.0073,4,
30/8/23 12:39,J13L08,0.0054,3,
30/8/23 11:36,L17L06,0.0036,2,
30/8/23 11:35,L17L05,0,0,
30/8/23 11:37,L17L07,0.0236,4,
30/8/23 11:38,L17L08,0,0,
30/8/23 11:39,L17L09,0,0,
30/8/23 11:40,L17L10,0.0608,2,
30/8/23 11:08,O18L09,0,0,
30/8/23 11:07,O18L08,0.0028,2,
30/8/23 11:06,O18L07,0.024,1,
30/8/23 11:05,O18L06,0.0834,4,
30/8/23 11:00,O18L01,0.0585,6,
30/8/23 11:01,O18L02,0.0087,6,
30/8/23 11:02,O18L03,0.0086,5,
30/8/23 11:03,O18L04,0.0035,2,
30/8/23 11:04,O18L05,0.0185,1,
30/8/23 11:09,O18L10,0.0362,4,
30/8/23 12:06,L15L06,0,0,
30/8/23 12:41,J13L10,0.0008,4,
30/8/23 12:10,L15L10,0.0227,1,
30/8/23 13:09,J15L09,0,0,
30/8/23 12:34,J13L03,0.0012,1,
30/8/23 17:04,J15L03,0.0016,1,
30/8/23 17:08,J15L07,0.0009,1,
30/8/23 17:09,J15L08,0,0,
30/8/23 17:10,J15L09,0,0,
30/8/23 17:11,J15L10,0.002,1,
30/8/23 17:07,J15L06,0.01,2,
30/8/23 17:05,J15L04,0,0,
30/8/23 17:03,J15L02,0,0,
30/8/23 17:02,J15L01,0.0271,2,
30/8/23 16:46,J13L10,0.057,1,
30/8/23 16:44,J13L08,0.0032,1,
30/8/23 16:40,J13L04,0,0,
30/8/23 16:38,J13L02,0.0024,1,
30/8/23 16:37,J13L01,0,0,
30/8/23 16:45,J13L09,0,0,
30/8/23 16:43,J13L07,0,0,
30/8/23 16:39,J13L03,0.0079,1,
30/8/23 16:41,J13L05,0.0201,3,
30/8/23 16:42,J13L06,0,0,
30/8/23 16:03,L15L04,0.0772,1,
30/8/23 16:04,L15L05,0.1011,5,
30/8/23 16:06,L15L07,0.0013,2,
30/8/23 16:07,L15L08,0,0,
30/8/23 15:08,L15L09,0,0,
30/8/23 16:05,L15L06,0,0,
30/8/23 16:02,L15L03,0.0042,1,
30/8/23 16:01,L15L02,0,0,
30/8/23 16:09,L15L10,0.0187,1,
30/8/23 15:39,L17L09,0.0146,4,
30/8/23 15:36,L17L06,0.0071,5,
30/8/23 15:40,L17L10,0.0514,5,
30/8/23 15:38,L17L08,0.0229,5,
30/8/23 15:37,L17L07,0,0,
30/8/23 15:34,L17L04,0.0045,1,
30/8/23 15:33,L17L03,0.0154,2,
30/8/23 15:32,L17L02,0,0,
30/8/23 15:35,L17L05,0,0,
30/8/23 15:31,L17L01,0.0056,1,
30/8/23 15:06,O18L07,0.0119,2,
30/8/23 15:09,O18L10,0,0,
30/8/23 15:00,O18L01,0,0,
30/8/23 15:02,O18L03,0.0263,5,
30/8/23 15:05,O18L06,0.0147,2,
30/8/23 15:04,O18L05,0.0104,3,
30/8/23 15:03,O18L04,0.0019,3,
30/8/23 15:01,O18L02,0.0112,3,
30/8/23 15:08,O18L09,0.0054,1,
30/8/23 17:06,J15L05,0.013,3,
30/8/23 16:00,L15L01,0.0533,2,
30/8/23 15:07,O18L08,0.0031,1,
30/8/23 21:07,J15L01,0,1,
30/8/23 21:08,J15L02,0,0,
30/8/23 21:11,J15L05,0,0,
30/8/23 21:09,J15L03,0,0,
30/8/23 21:12,J15L06,0,0,
30/8/23 21:15,J15L09,0,0,
30/8/23 21:16,J15L10,0,0,
30/8/23 21:13,J15L07,0,0,
30/8/23 21:14,J15L08,0,0,
30/8/23 21:10,J15L04,0,0,
30/8/23 20:06,L15L01,0.0573,8,
30/8/23 20:07,L15L02,0,0,
30/8/23 20:08,L15L03,0,0,
30/8/23 20:11,L15L06,0,0,
30/8/23 20:10,L15L05,0.018,1,
30/8/23 20:09,L15L04,0,0,
30/8/23 12:14,L15L09,0,0,
30/8/23 12:15,L15L10,0.0354,2,
30/8/23 12:13,L15L08,0.0234,1,
30/8/23 20:12,L15L07,0,0,
30/8/23 20:40,J13L01,0,0,
30/8/23 20:41,J13L02,0,0,
30/8/23 20:42,J13L03,0.0016,1,
30/8/23 20:43,J13L04,0,0,
30/8/23 20:44,J13L05,0,0,
30/8/23 19:04,O18L05,0.003,3,
30/8/23 20:45,J13L06,0,0,
30/8/23 20:46,J13L07,0,0,
30/8/23 20:49,J13L10,0,0,
30/8/23 20:48,J13L09,0,0,
30/8/23 19:40,L17L05,0.055,1,
30/8/23 19:39,L17L04,0.0001,1,
30/8/23 19:38,L17L03,0,0,
30/8/23 19:45,L17L10,0,0,
30/8/23 19:44,L17L09,0.0062,1,
30/8/23 19:43,L17L08,0.0977,5,
30/8/23 20:47,J13L08,0.3255,1,
30/8/23 19:42,L17L07,0,0,
30/8/23 19:09,O18L09,0,0,
30/8/23 19:07,O18L08,0,0,
30/8/23 19:06,O18L07,0.0173,1,
30/8/23 19:05,O18L06,0,0,
30/8/23 19:03,O18L04,0,0,
30/8/23 19:02,O18L03,0.0159,4,
30/8/23 19:01,O18L02,0,0,
30/8/23 19:41,L17L06,0,0,
30/8/23 19:36,L17L01,0.0118,3,
30/8/23 19:37,L17L02,0.0001,1,
30/8/23 19:00,O18L01,0.0015,3,
31/8/23 09:15,J15L10,0,0,
31/8/23 09:13,J15L08,0,0,
31/8/23 09:12,J15L07,0.0002,1,
31/8/23 09:14,J15L09,0,0,
31/8/23 09:06,J15L01,0.0507,1,
31/8/23 09:07,J15L02,0,0,
31/8/23 09:11,J15L06,0,0,
31/8/23 09:09,J15L04,0,0,
31/8/23 09:08,J15L03,0,0,
31/8/23 09:10,J15L05,0.08,4,
31/8/23 08:52,J13L09,0.0058,2,
31/8/23 08:53,J13L10,0,0,
31/8/23 08:51,J13L08,0.0768,2,
31/8/23 08:49,J13L06,0.0125,1,
31/8/23 19:10,O18L10,0,0,
31/8/23 08:44,J13L01,0.0084,2,
31/8/23 08:50,J13L07,0.0057,1,
31/8/23 08:47,J13L04,0.146,3,
31/8/23 08:48,J13L05,0,0,
31/8/23 08:07,L15L03,0.0522,4,
31/8/23 08:14,L15L10,0.041,2,
31/8/23 08:09,L15L05,0.0044,1,
31/8/23 08:08,L15L04,0,0,
31/8/23 08:12,L15L08,0.0079,3,
31/8/23 08:05,L15L01,0.0428,7,
31/8/23 08:11,L15L07,0.0068,1,
31/8/23 08:13,L15L09,0,0,
31/8/23 08:10,L15L06,0,0,
31/8/23 08:06,L15L02,0,0,
31/8/23 07:44,L17L10,0.0882,2,
31/8/23 07:35,L17L02,0.0177,1,
31/8/23 07:40,L17L06,0.0316,1,
31/8/23 07:43,L17L09,0,0,
31/8/23 07:36,L17L03,0,0,
31/8/23 07:34,L17L01,0.0125,1,
31/8/23 07:41,L17L07,0.0668,1,
31/8/23 07:42,L17L08,0,0,
31/8/23 07:38,L17L04,0,0,
31/8/23 07:39,L17L05,0,0,
31/8/23 07:06,O18L07,0.0145,2,
31/8/23 07:02,O18L03,0.0699,1,
31/8/23 07:01,O18L02,0.214,2,
31/8/23 07:00,O18L01,0,0,
31/8/23 07:03,O18L04,0,0,
31/8/23 07:04,O18L05,0.1034,1,
31/8/23 07:08,O18L09,0.0537,2,
31/8/23 07:07,O18L08,0.0304,1,
31/8/23 07:09,O18L10,0.0065,1,
31/8/23 07:05,O18L06,0.0299,1,
31/8/23 13:12,J15L09,0.0026,1,
31/8/23 13:11,J15L08,0,0,
31/8/23 13:08,J15L05,0.0727,11,
31/8/23 13:05,J15L02,0.0031,1,
31/8/23 13:06,J15L03,0.0698,7,
31/8/23 13:07,J15L04,0.0027,1,
31/8/23 13:04,J15L01,0,0,
31/8/23 12:42,J13L03,0,0,
31/8/23 12:40,J13L01,0.0019,2,
31/8/23 13:09,J15L06,0.0008,1,
31/8/23 13:10,J15L07,0.041,2,
31/8/23 13:13,J15L10,0,0,
31/8/23 12:46,J13L07,0,0,
31/8/23 12:48,J13L09,0.0089,2,
31/8/23 12:49,J13L10,0.0003,2,
31/8/23 12:47,J13L08,0.0003,1,
31/8/23 12:43,J13L04,0.006,1,
31/8/23 12:44,J13L05,0,0,
31/8/23 12:45,J13L06,0,0,
31/8/23 12:41,J13L02,0,0,
31/8/23 12:03,L15L01,0.0069,2,
31/8/23 12:07,L15L05,0.138,3,
31/8/23 12:12,L15L10,0.0105,1,
31/8/23 12:09,L15L07,0.0009,2,
31/8/23 12:04,L15L02,0.0672,1,
31/8/23 12:06,L15L04,0.0021,1,
31/8/23 12:11,L15L09,0.0065,2,
31/8/23 12:08,L15L03,0.0025,1,
31/8/23 11:30,L17L01,0.0084,1,
31/8/23 11:31,L17L02,0,0,
31/8/23 12:10,L15L08,0.0052,1,
31/8/23 12:08,L15L06,0,0,
31/8/23 11:38,L17L09,0,0,
31/8/23 11:39,L17L10,0,0,
31/8/23 11:34,L17L05,0,0,
31/8/23 11:33,L17L04,0.0103,2,
31/8/23 11:35,L17L06,0,0,
31/8/23 11:31,L17L03,0,0,
31/8/23 11:36,L17L07,0.001,1,
31/8/23 11:37,L17L08,0,0,
31/8/23 11:02,O18L03,0.027,4,
31/8/23 11:03,O18L04,0,0,
31/8/23 11:05,O18L06,0,0,
31/8/23 11:04,O18L05,0.0013,1,
31/8/23 11:09,O18L10,0,0,
31/8/23 11:06,O18L07,0.0134,1,
31/8/23 11:01,O18L02,0.0072,1,
31/8/23 11:00,O18L01,0.0035,1,
1/9/23 08:44,J13L05,0.3942,3,
1/9/23 07:38,L17L04,0.2907,5,
1/9/23 07:37,L17L03,0.6807,6,
31/8/23 11:08,O18L09,0,0,
31/8/23 11:07,O18L08,0.0088,1,
31/8/23 17:04,J15L03,0,0,
31/8/23 17:05,J15L04,0.0072,2,
31/8/23 17:06,J15L05,0.0197,4,
31/8/23 17:09,J15L08,0,0,
31/8/23 17:08,J15L07,0.0092,3,
31/8/23 17:07,J15L06,0,0,
31/8/23 17:10,J15L09,0,0,
31/8/23 17:02,J15L01,0,0,
31/8/23 17:03,J15L02,0.066,3,
31/8/23 15:08,O18L09,0,0,
31/8/23 17:11,J15L10,0.0065,1,
31/8/23 15:09,O18L10,0.0038,1,
31/8/23 15:07,O18L08,0,0,
31/8/23 15:02,O18L03,0.0045,2,
31/8/23 15:06,O18L07,0.0139,1,
31/8/23 15:05,O18L06,0.1429,4,
31/8/23 15:03,O18L04,0.03,4,
31/8/23 15:04,O18L05,0.0134,3,
31/8/23 15:01,O18L02,0.0057,2,
31/8/23 15:00,O18L01,0.0891,3,
31/8/23 15:49,L17L10,0.0601,3,
31/8/23 15:42,L17L08,0.0138,3,
31/8/23 15:39,L17L06,0,0,
31/8/23 15:41,L17L07,0.0227,4,
31/8/23 15:35,L17L02,0.0045,1,
31/8/23 16:37,J13L01,0.0122,3,
31/8/23 16:39,J13L03,0.0022,1,
31/8/23 16:43,J13L07,0.0032,2,
31/8/23 16:46,J13L10,0.0615,1,
31/8/23 16:03,L15L04,0.0077,1,
31/8/23 16:44,J13L08,0.0071,1,
31/8/23 16:45,J13L09,0.0006,1,
31/8/23 16:41,J13L05,0.0209,4,
31/8/23 16:42,J13L06,0.3215,1,
31/8/23 16:09,L15L10,0.0622,2,
31/8/23 16:06,L15L07,0.015,3,
31/8/23 16:02,L15L03,0.0047,0,
31/8/23 16:40,J13L04,0.0101,3,
31/8/23 16:38,J13L02,0,0,
31/8/23 16:01,L15L02,0,0,
31/8/23 16:05,L15L06,0.0204,4,
31/8/23 16:07,L15L08,0.003,1,
31/8/23 16:04,L15L05,0.1198,4,
31/8/23 16:08,L15L09,0.0193,6,
31/8/23 16:00,L15L01,0.0332,7,
31/8/23 15:34,L17L01,0.0127,3,
31/8/23 15:43,L17L09,0.003,1,
31/8/23 15:38,L17L05,0,0,
31/8/23 15:36,L17L03,0.1094,1,
31/8/23 15:37,L17L04,0.0106,1,
31/8/23 21:21,J15L03,0,0,
31/8/23 21:20,J15L02,0.0106,2,
31/8/23 21:25,J15L07,0,0,
31/8/23 21:23,J15L05,0.0947,3,
31/8/23 21:26,J15L08,0,0,
31/8/23 21:28,J15L10,0,0,
31/8/23 21:27,J15L09,0.0019,1,
31/8/23 21:24,J15L06,0.0356,2,
31/8/23 21:19,J15L01,0.0574,1,
31/8/23 21:22,J15L04,0.0105,1,
31/8/23 20:18,L15L03,0.1402,4,
31/8/23 20:55,J13L03,0,0,
31/8/23 21:03,J13L10,0,0,
31/8/23 20:53,J13L01,0,0,
31/8/23 20:54,J13L02,0,0,
31/8/23 20:57,J13L05,0,0,
31/8/23 20:59,J13L07,0.1006,1,
31/8/23 20:58,J13L06,0,0,
31/8/23 20:25,L15L10,0.1235,2,
31/8/23 20:56,J13L04,0,0,
31/8/23 21:02,J13L09,0.0064,1,
31/8/23 21:00,J13L08,0.2014,1,
31/8/23 20:29,L15L09,0,0,
31/8/23 20:23,L15L08,0,0,
31/8/23 20:17,L15L02,0.0051,1,
31/8/23 20:22,L15L07,0,0,
31/8/23 20:21,L15L06,0,0,
31/8/23 20:20,L15L05,0,0,
31/8/23 20:19,L15L04,0,0,
31/8/23 20:16,L15L01,0.061,12,
31/8/23 19:48,L17L06,0.014,1,
31/8/23 19:47,L17L05,0,0,
31/8/23 19:43,L17L01,0.0019,2,
31/8/23 19:51,L17L09,0,0,
31/8/23 19:46,L17L07,0.0128,2,
31/8/23 19:45,L17L03,0.0343,1,
31/8/23 19:52,L17L10,0.0901,1,
31/8/23 19:44,L17L02,0,0,
31/8/23 19:00,O18L01,0.0931,3,
31/8/23 19:04,O18L05,0.0083,1,
31/8/23 19:01,O18L02,0.0044,3,
31/8/23 19:06,O18L07,0.0018,3,
31/8/23 19:03,O18L04,0,0,
31/8/23 19:07,O18L08,0,0,
31/8/23 19:08,O18L09,0,0,
31/8/23 19:02,O18L03,0.0086,1,
31/8/23 19:09,O18L10,0,0,
31/8/23 19:50,L17L08,0.3554,1,
31/8/23 19:49,L17L07,0.0099,1,
31/8/23 19:05,O18L06,0.0026,1,
1/9/23 09:11,J15L02,0.0196,2,
1/9/23 09:10,J15L01,0.0311,1,
1/9/23 09:13,J15L04,0.0019,1,
1/9/23 09:12,J15L03,0.0259,3,
