"trap_id","latitude","longitude"
"J13L03",-26.97839,21.8145
"L15L04",-26.98958,21.83811
"K18L04",-26.97526,21.87299
"P15L08",-27.02123,21.85152
"L17L08",-26.98484,21.86139
"H15L06",-26.95465,21.82877
"K18L10",-26.97417,21.87289
"J13L07",-26.9777,21.81454
"L17L01",-26.98607,21.8615
"L15L09",-26.98871,21.83817
"J15L05",-26.97319,21.83578
"O18L04",-27.01078,21.88006
"D15L09",-26.95462,21.82704
"K18L07",-26.97473,21.87296
"J15L10",-26.97231,21.83564
"D15L04",-26.95544,21.8267
"O18L08",-27.00999,21.88014
"Q17L08",-27.03035,21.8772
"O18L10",-27.00964,21.88012
"Q17L10",-27.03002,21.87732
"L17L02",-26.98588,21.86149
"H15L03",-26.95518,21.8287
"L15L10",-26.98848,21.8382
"J13L05",-26.97805,21.81454
"L17L10",-26.98446,21.86134
"L17L09",-26.98464,21.86138
"O18L03",-27.01098,21.88002
"H15L10",-26.95395,21.82885
"L15L03",-26.98979,21.83814
"P15L05",-27.02175,21.85154
"K18L05",-26.97508,21.87297
"Q17L04",-27.03103,21.87698
"L17L07",-26.985,21.86139
"L15L08",-26.98888,21.83817
"P15L10",-27.02087,21.85151
"P15L02",-27.02229,21.85149
"H15L02",-26.95537,21.82866
"P15L07",-27.0214,21.85153
"D15L08",-26.95477,21.82698
"J13L09",-26.97733,21.81457
"K18L08",-26.97454,21.87293
"L17L04",-26.98553,21.86145
"D15L05",-26.95526,21.82674
"D15L01",-26.95598,21.82668
"K18L09",-26.97438,21.87292
"H15L09",-26.95413,21.82881
"H15L04",-26.95501,21.82871
"O18L01",-27.01138,21.88008
"Q17L06",-27.03069,21.87708
"J13L10",-26.97721,21.8145
"P15L01",-27.02246,21.85145
"O18L07",-27.01019,21.8801
"Q17L01",-27.03152,21.87679
"J15L09",-26.97249,21.83567
"J15L06",-26.97303,21.83576
"O18L05",-27.01059,21.88006
"O18L06",-27.01038,21.88009
"H15L05",-26.95484,21.82871
"J13L02",-26.97858,21.81447
"K18L02",-26.97562,21.87297
"O18L02",-27.01119,21.88005
"Q17L02",-27.03136,21.87685
"P15L04",-27.02193,21.85153
"Q17L07",-27.03052,21.87714
"D15L03",-26.95561,21.82669
"Q17L03",-27.0312,21.87692
"O18L09",-27.00982,21.88012
"J13L06",-26.97788,21.81454
"J15L01",-26.9739,21.83581
"D15L07",-26.95494,21.8269
"K18L01",-26.97579,21.87299
"L15L01",-26.99014,21.83814
"J13L01",-26.97875,21.81446
"K18L03",-26.97544,21.87297
"J15L02",-26.97373,21.83582
"L17L03",-26.98571,21.86145
"J15L04",-26.97338,21.83579
"Q17L09",-27.0302,21.87727
"H15L08",-26.95431,21.82883
"K18L06",-26.9749,21.87299
"P15L06",-27.02158,21.85154
"L15L07",-26.98907,21.83815
"J15L07",-26.97286,21.83574
"L15L05",-26.98942,21.83813
"J15L03",-26.97353,21.83579
"J13L08",-26.97754,21.81457
"L15L02",-26.98995,21.83812
"P15L09",-27.02106,21.85153
"H15L07",-26.95449,21.82879
"Q17L05",-27.03085,21.87703
"H15L01",-26.95553,21.82868
"D15L02",-26.95579,21.82669
"L17L06",-26.98517,21.86142
"L17L05",-26.98537,21.86143
"D15L06",-26.95507,21.82681
"J15L08",-26.97267,21.83572
"J13L04",-26.97823,21.81452
"P15L03",-27.02211,21.85151
"L15L06",-26.98922,21.83815
