"trap_id","latitude","longitude"
"SQ17L01",-27.03148,21.876915
"SQ17L05",-27.0308167,21.8771817
"SO18L01",-27.0113067,21.8802033
"SO18L05",-27.0104833,21.8801367
"SP15L01",-27.0223333,21.85157
"SP15L05",-27.0216583,21.8516333
"SK18L01",-26.9756967,21.873095
"SK18L05",-26.9749767,21.873125
"SL15L01",-26.9900183,21.8382417
"SL15L05",-26.989325,21.8382733
"SJ13L01",-26.97862,21.814575
"SJ13L05",-26.977775,21.8147067
"SJ15L05",-26.9730417,21.835855
"SJ15L01",-26.9738216,21.8358818
"SH15L01",-26.9553967,21.8287867
"SD15L01",-26.955875,21.82679
"SD15L05",-26.9551867,21.8269067
"SH15L05",-26.9546617,21.8285667
"SL17L05",-26.985285,21.8615233
"SL17L01",-26.9859633,21.86159
