"zone","site","longitude","latitude","camera","day","Number_of_images"
"Intensive","R18",21.889106,-27.03513,137,1970-01-01,1965
"Holistic","N15",21.84876,-27.00802,92,2020-01-01,10
"Natural","F14",21.815647,-26.941833,24,2023-06-07,11
"Natural","G12",21.79933,-26.955728,35,2023-06-07,80
"Natural","F13",21.805893,-26.944169,45,2023-06-07,20
"Natural","F14",21.815647,-26.941833,47,2023-06-07,30
"Natural","F13",21.805893,-26.944169,21,2023-06-08,15
"Natural","F12",21.79616,-26.947053,25,2023-06-08,7
"Natural","G12",21.79933,-26.955728,26,2023-06-08,70
"Natural","G16",21.837886,-26.945003,29,2023-06-08,5
"Natural","J12",21.808349,-26.981532,30,2023-06-08,65
"Natural","H16",21.8406,-26.953997,31,2023-06-08,5
"Natural","J12",21.808349,-26.981532,32,2023-06-08,225
"Natural","G12",21.79933,-26.955728,35,2023-06-08,110
"Natural","G13",21.808879,-26.953115,39,2023-06-08,35
"Natural","G14",21.818823,-26.950555,40,2023-06-08,5
"Natural","H12",21.802108,-26.964166,41,2023-06-08,40
"Natural","H11",21.792692,-26.966995,42,2023-06-08,35
"Natural","H12",21.802108,-26.964166,43,2023-06-08,40
"Natural","G13",21.808879,-26.953115,44,2023-06-08,50
"Natural","F13",21.805893,-26.944169,45,2023-06-08,10
"Natural","G11",21.789799,-26.958188,46,2023-06-08,25
"Natural","F14",21.815647,-26.941833,47,2023-06-08,45
"Natural","G14",21.818823,-26.950555,48,2023-06-08,5
"Natural","I14",21.824361,-26.967547,49,2023-06-08,5
"Natural","I14",21.824361,-26.967547,50,2023-06-08,5
"Natural","G15",21.828164,-26.947857,51,2023-06-08,5
"Natural","F16",21.834837,-26.936421,52,2023-06-08,20
"Natural","E16",21.832154,-26.927787,54,2023-06-08,50
"Natural","I12",21.80494,-26.972864,56,2023-06-08,75
"Natural","I12",21.80494,-26.972864,57,2023-06-08,275
"Natural","F12",21.79616,-26.947053,58,2023-06-08,45
"Natural","E16",21.832154,-26.927787,60,2023-06-08,5
"Natural","F15",21.825792,-26.939428,65,2023-06-08,5
NA,NA,NA,NA,1,2023-06-09,235
"Natural","F13",21.805893,-26.944169,21,2023-06-09,30
"Natural","F14",21.815647,-26.941833,24,2023-06-09,5
