site,land.use,name.line,bucket,MacroHabitat
KRC,low,D15,1,Wooded savanna
KRC,low,D15,2,Wooded savanna
KRC,low,D15,3,Wooded savanna
KRC,low,D15,4,Duneveld
KRC,low,D15,5,Duneveld
KRC,low,D15,6,Duneveld
KRC,low,D15,7,Wooded savanna
KRC,low,D15,8,Wooded savanna
KRC,low,D15,9,Wooded savanna
KRC,low,D15,10,Wooded savanna
KRC,low,H15,1,Calcareous flats
KRC,low,H15,2,Calcareous flats
KRC,low,H15,3,Calcareous flats
KRC,low,H15,4,Calcareous flats
KRC,low,H15,5,Calcareous flats
KRC,low,H15,6,Calcareous flats
KRC,low,H15,7,Calcareous flats
KRC,low,H15,8,Calcareous flats
KRC,low,H15,9,Wooded savanna
KRC,low,H15,10,Wooded savanna
KRC,low,J13,1,Calcareous flats
KRC,low,J13,2,Calcareous flats
KRC,low,J13,3,Calcareous flats
KRC,low,J13,4,Calcareous flats
KRC,low,J13,5,Calcareous flats
KRC,low,J13,6,Calcareous flats
KRC,low,J13,7,Calcareous flats
KRC,low,J13,8,Duneveld
KRC,low,J13,9,Duneveld
KRC,low,J13,10,Duneveld
KRC,low,J15,1,Calcareous flats
KRC,low,J15,2,Calcareous flats
KRC,low,J15,3,Calcareous flats
KRC,low,J15,4,Calcareous flats
KRC,low,J15,5,Duneveld
KRC,low,J15,6,Duneveld
KRC,low,J15,7,Duneveld
KRC,low,J15,8,Duneveld
KRC,low,J15,9,Duneveld
KRC,low,J15,10,Duneveld
JN,medium,K18,1,Calcareous flats
JN,medium,K18,2,Duneveld
JN,medium,K18,3,Duneveld
JN,medium,K18,4,Duneveld
JN,medium,K18,5,Duneveld
JN,medium,K18,6,Duneveld
JN,medium,K18,7,Duneveld
JN,medium,K18,8,Duneveld
JN,medium,K18,9,Duneveld
JN,medium,K18,10,Duneveld
JN,medium,L15,1,Calcareous
JN,medium,L15,2,Calcareous
JN,medium,L15,3,Calcareous
JN,medium,L15,4,Calcareous
JN,medium,L15,5,Calcareous
JN,medium,L15,6,Wooded
JN,medium,L15,7,Wooded
JN,medium,L15,8,Wooded
JN,medium,L15,9,Wooded
JN,medium,L15,10,Wooded
JN,medium,L17,1,Wooded
JN,medium,L17,2,Wooded
JN,medium,L17,3,Wooded
JN,medium,L17,4,Wooded
JN,medium,L17,5,Wooded
JN,medium,L17,6,Wooded
JN,medium,L17,7,Wooded
JN,medium,L17,8,Wooded
JN,medium,L17,9,Wooded
JN,medium,L17,10,Wooded
JS,high,O18,1,Wooded
JS,high,O18,2,Wooded
JS,high,O18,3,Wooded
JS,high,O18,4,Wooded
JS,high,O18,5,Wooded
JS,high,O18,6,Wooded
JS,high,O18,7,Dune
JS,high,O18,8,Dune
JS,high,O18,9,Dune
JS,high,O18,10,Dune
JS,high,Q17,1,Calcareous flats
JS,high,Q17,2,Calcareous flats
JS,high,Q17,3,Calcareous flats
JS,high,Q17,4,Calcareous flats
JS,high,Q17,5,Calcareous flats
JS,high,Q17,6,Calcareous flats
JS,high,Q17,7,Calcareous flats
JS,high,Q17,8,Calcareous flats
JS,high,Q17,9,Calcareous flats
JS,high,Q17,10,Duneveld
JS,high,P15,1,Duneveld
JS,high,P15,2,Duneveld
JS,high,P15,3,Duneveld
JS,high,P15,4,Duneveld
JS,high,P15,5,Duneveld
JS,high,P15,6,Duneveld
JS,high,P15,7,Duneveld
JS,high,P15,8,Duneveld
JS,high,P15,9,Duneveld
JS,high,P15,10,Duneveld
