Time Stamp,Location,Weight,Biomass,COMMENTS
4/9/25 11:30,D15L02 D,0,0,
4/9/25 11:24,D15L06 D,0,0,
4/9/25 11:28,D15L04 D,0,0,
4/9/25 11:22,D15L08 D,0.0106,10,"9 TETR SOLI, 1 SCIO CURS"
4/9/25 11:20,D15L10 D,0,0,
4/9/25 11:29,D15L03,0,0,
4/9/25 11:23,D15L07,0.0075,3,"2 TETR SERI, 1 SCIO CURS"
4/9/25 11:21,D15L09,0,0,
4/9/25 11:31,D15L01,0,0,
4/9/25 11:26,D15L05,0,0,
4/9/25 13:33,K18L03,0.0136,2,"1 UNKNOWN SPIDER, 1 1 OCYM BARB"
4/9/25 13:30,K18L06 D,0.0095,5,"1 OCYM BARB, 1 TETR SOL, 1 TETR SERI, 2 SCIO CURS"
4/9/25 13:32,K18L04 D,0.0005,3,"1 SCIO CURS, 1 TETR SOLI, 1 UNKNOWN ANT"
4/9/25 13:31,K18L05,0.0247,2,"1 UNKNOWN SPIDER, 1 1 CAMP FULV"
4/9/25 13:29,K18L07,0.0326,21,"3 SCIO CURS, 16 TETR SOLI, 1 DOLI SYCR, 1 OCYM BARB"
4/9/25 13:25,K18L10 D,0,0,
4/9/25 13:27,K18L08 D,0.0054,4,"1 UNKOWN SPIDER, 1 OCYM BARB, 1 TETR SOLI, 1 UNKNOWN MITE"
4/9/25 13:35,K18L02 D,0,0,
4/9/25 13:36,K18L01,0.0618,16,"1 SCIO CURS, 6 TETR SOLI, 1 TENEBRIONID WITH DARK BROWN BODY & REDDISH LEGS, 7 TETR SERI, 1 UNKNOWN GREY ANT MUTILLIDAE"
4/9/25 13:26,K18L09,0.0013,2,"1 OCYM BARB, 1 UNKNOWN MITE/SPIDER"
4/9/25 21:40,K18L10 D,0.0498,3,"1 STIPS, 1 CAMP MACU, 1 UNKNOWN BLACK BEETLE"
4/9/25 21:51,K18L01,0.0016,7,"2 TETR SOLI, 5 TETR SERI"
4/9/25 21:49,K18L03,0.0032,2,2 TETR SOLI
4/9/25 21:48,K18L04 D,0.0004,2,"1 TETR SOLI, TETR SERI"
4/9/25 21:45,K18L06 D,0.0228,1,1 UNKNOWN TENEBRIONID
4/9/25 21:40,K18L09,0.003,1,1 CAMP MACU
4/9/25 21:46,K18L05,0,0,
4/9/25 21:44,K18L07,0.6458,10,"9 TETR SOLI, 1 GONO TIBI"
4/9/25 21:41,K18L08 D,0.0249,1,1 TENEBRIONID WITH DARK BROWN BODY & REDDISH LEGS
4/9/25 21:50,K18L02 D,0,0,
5/9/25 08:45,P15L05,0.0011,1,1 CAMP NIVE
5/9/25 08:45,P15L08 D,0.0019,4,4 TETR SERI
5/9/25 08:42,P15L10 D,0.0104,1,TAPINOLEPIS TRIMENI
5/9/25 08:47,P15L06 D,0.0342,23,"19 CAMP NIVE, 4 ANOP CUST"
5/9/25 08:52,P15L02 D,0.0065,2,"1 CAMP MACU, 1 CAMP FULV"
5/9/25 08:49,P15L04 D,0.0285,1,1 RAPH
5/9/25 08:46,P15L07,0.0029,1,1 UNKNOWN SPIDER
5/9/25 08:43,P15L09,0.0822,4,"1 UNKNOWN SPIDER, 1 RAPH, 1 MEGA ANALI, 1 UNKNOWN TENEBRIONID"
5/9/25 08:54,P15L01,0.8333,1,1 GONO TIBI
5/9/25 08:50,P15L03,0.6048,4,"1 PASS FORT, 1 CAMP MACU, 2 PHEI CAPE"
4/9/25 12:09,P15L09,0.0463,4,4 MEGA ANALI
4/9/25 12:14,P15L04 D,0.0195,3,"1 MEGA ANALI, 1 TETR SOLI, 1 SCIO CURS"
4/9/25 12:15,P15L03,0.0292,6,"4 PHEI CAPE, 2 MEGA ANALI"
4/9/25 12:12,P15L06 D,0.0077,27,"26 PHEI CAPE, 1 SCIO CURS"
4/9/25 12:11,P15L07,0.0017,1,1 TETR SERI
4/9/25 12:10,P15L08 D,0.1018,3,"1 ZOPH SUBC, 2 CAMP FULV"
4/9/25 12:18,P15L01,0.1200,4,"2 ZOPH SUBC, 2 PHEI CAPE"
4/9/25 12:16,P15L02 D,0.0127,4,"2 PHEI CAPE, 1 MEGA ANALI, 1 CAMP NIVE"
4/9/25 12:13,P15L05,0.0091,5,"1 CAMP FULV, 4 TETR SOLI"
4/9/25 12:08,P15L10 D,0.0221,2,"1 MEGA ANALI, 1 SCIO CURS"
4/9/25 15:02,H15L07,0.0102,1,1 SCARAB SPP.
4/9/25 15:05,H15L05,0.0212,4,"3 SCIO CURS, 1 CAMP FULV"
4/9/25 15:00,H15L09,0.0025,2,"1 OCYM BARB, 1 UNKNOWN HEMPTERA (HAS WNGS)"
4/9/25 15:06,H15L04 D,0.0123,,"2 SCIO CURS, 1 OCYM BARB, 1 TETR SOLI"
4/9/25 15:01,H15L08 D,0,0,
4/9/25 15:10,H15L01,0.0133,2,"2 SCIO CURS, 1 OCYM BARB, 1 UNKNOWN MEDIUM-SIZED BLACK HYMENOPTERA WITH WINGS"
4/9/25 13:07,H15L03,0.0035,1,1 SCIO CURS
4/9/25 13:03,H15L06 D,0,0,
4/9/25 15:08,H15L02 D,0.0064,2,"1 SCIO CURS, 1 HODO MOSS"
4/9/25 15:00,H15L10 D,0,0,
5/9/25 10:44,K18L01,0.0412,1,"1 TENEBRIONID WITH DARK BROWN BODY & REDDISH LEGS, 1 TETR SERI"
5/9/25 10:39,K18L05,0,0,
5/9/25 10:40,K18L04 D,0.0018,3,"2 TETR SOLI, 1 TETR GRAN"
5/9/25 10:35,K18L08 D,0.0091,3,"1 SCIO CURS,  TETR SOLI"
5/9/25 10:42,K18L03,0.0003,1,1 UNKNOWN BROWN HYMENOPTERA
5/9/25 10:43,K18L02 D,0.0005,1,1 TETR SOLI
5/9/25 10:33,K18L09,0.2060,2,"1 STIPS, 1 TIBI ACNO"
5/9/25 10:31,K18L10 D,0.0401,3,"1 STIPS, 1 CAMP MACU, 1 UNKNOWN GREY WEEVIL"
5/9/25 10:36,K18L07,0.0036,4,4 TETR SOLI
5/9/25 10:37,K18L06 D,0,0,
4/9/25 19:07,H15L03,0.0002,1,1 OCYM BARB
4/9/25 19:00,H15L09,0.0005,2,"1 CREM MELA, 1 PHEI CAPE"
4/9/25 19:01,H15L08 D,0,0,
4/9/25 19:04,H15L06 D,0,0,
4/9/25 19:06,H15L04 D,0,0,
4/9/25 19:03,H15L07,0,0,
4/9/25 19:09,H15L01,0,0,
4/9/25 19:05,H15L05,0,0,
4/9/25 19:08,H15L02 D ,0,0,
4/9/25 19:00,H15L10 D,0.0005,1,1 PHEI TENU
