Timestamp,Ref.,Weight,Number,,,,
5/11/24 11:56,Q17L04,0.0584,1,,,,
5/11/24 11:49,Q17L09,0.0117,1,,,,
5/11/24 11:57,Q17L03,0.0128,3,,,,
5/11/24 11:48,Q17L10,0.0101,3,,,,
5/11/24 11:59,Q17L01,0.0053,3,,,,
5/11/24 11:50,Q17L08,0.0809,1,,,,
5/11/24 11:09,K18L04,0.0041,2,,,,
5/11/24 11:01,K18L09,0.0044,2,,,,
5/11/24 11:06,K18L06,0.0058,3,,,,
5/11/24 11:03,K18L08,0.0227,15,,,,
5/11/24 11:07,K18L05,0.0057,2,,,,
5/11/24 11:04,K18L07,0.0076,7,,,,
5/11/24 11:00,K18L10,0.0102,1,,,,
5/11/24 11:10,K18L03,0.0136,8,,,,
5/11/24 12:45,P15L03,0.0055,1,,,,
5/11/24 12:42,P15L04,0.0097,3,,,,
5/11/24 12:39,P15L06,0.0058,1,,,,
5/11/24 12:35,P15L09,0.0344,6,,,,
5/11/24 12:41,P15L05,0.0108,2,,,,
5/11/24 12:45,P15L02,0.0109,1,,,,
5/11/24 12:37,P15L08,0.0106,1,,,,
5/11/24 13:51,H15L06,0.0132,1,,,,
5/11/24 13:53,H15L05,0.0151,2,,,,
5/11/24 13:55,H15L03,0.0757,2,,,,
5/11/24 13:50,H15L07,0.0078,2,,,,
5/11/24 13:47,H15L09,0.0136,4,,,,
5/11/24 13:39,D15L01,0.0245,5,,,,
5/11/24 13:29,D15L08,0.0088,2,,,,
5/11/24 13:27,D15L10,0.0152,11,,,,
5/11/24 13:38,D15L02,0.0037,1,,,,
5/11/24 17:28,D15L01,0.0172,5,,,,
5/11/24 17:18,D15L09,0.0061,3,,,,
5/11/24 17:22,D15L06,0.0061,1,,,,
6/11/24 09:37,D15L07,0.0102,2,,,,
6/11/24 09:34,D15L09,0.0399,1,,,,
5/11/24 17:27,D15L02,0.0063,2,,,,
5/11/24 21:29,D15L07,0.0629,3,,,,
5/11/24 21:25,D15L10,0.0342,1,,,,
5/11/24 17:26,D15L03,0.0081,3,,,,
