Time Stam;Location;Weight;Biomass;COMMENTS
6/10/25 11:18;H15L01;0.008;1;1 CAMP FULV
6/10/25 11:15;H15L06 D;0;0;
6/10/25 11:18;H15L02 D;0;0;
6/10/25 11:16;H15L05;0;0;
6/10/25 11:15;H15L07;0;0;
6/10/25 11:14;H15L08 D;0;0;
6/10/25 11:13;H15L09;0.0155;1;1 SCIO CURS
6/10/25 11:17;H15L03;0;0;
6/10/25 11:13;H15L10 D;0.0091;2;1 SCIO CURS, 1 TETR SOLI
6/10/25 11:16;H15L04 D;0;0;
7/10/25 7:03;D15L07;0;0;
7/10/25 7:07;D15L02 D;0;0;
7/10/25 7:05;D15L05;0;0;
7/10/25 7:07;D15L03;0;0;
7/10/25 7:04;D15L06 D;0;0;
7/10/25 7:03;D15L08 D;0.0028;2;2 TETR SOLI
7/10/25 7:07;D15L01;0.0113;1;1 UNKNOWN SPIDER
7/10/25 7:03;D15L09;0.0004;1;1 PHEI TENU
7/10/25 7:02;D15L10 D;0;0;
7/10/25 7:04;D15L04 D;0.0401;1;SPARRMANIA SPP., (CHAFER)
6/10/25 15:45;K18L01;0.0084;2;1 SCIO CURS, 1 OCYM BARB
6/10/25 15:43;K18L03;0.0166;5;1 SCIO CURS, 2 OCYM BARB, 1 UNKNOWN SPIDER, 1 SCARAB
6/10/25 15:43;K18L04 D;0.0314;8;2 SCIO CURS, 6 OCYM BARB
6/10/25 15:42;K18L06 D;0.0227;6;2 SCIO CURS, 3 OCYM BARB, 1 CAMP NIVE
6/10/25 15:42;K18L05;0.0591;26;25 OCYM BARB, 1 SMALL YELLOW CHAFER
6/10/25 15:38;K18L10 D;0.0144;3;3 OCYM BARB
6/10/25 15:40;K18L08 D;0.3190;3;1 TETR SERI, 1 CAMP FULV, 1 LARGE WEEVIL
6/10/25 15:41;K18L07;0.1435;9;1 SCIO CURS, 1 ZOPH SUBC, 3 CAMP FULV, 1 TETR SERI, 1 TETR SOLI, 1 ZOPH ACAR, 1 OCYM BARB
6/10/25 15:44;K18L02 D;0.0209;52;2 SCIO CURS, 2 OCYM BARB, 17 TETR SERI, 31 LEPI CAPE
6/10/25 15:39;K18L09;0.0124;4;4 OCYM BARB
6/10/25 12:23;Q17L02 D;0.0954;15;1 MEGA ANALI, 1 CAMP FULV, 1 ZOPH SUBC, 11 TETR SOLI, 1 TETR GRAN
6/10/25 16:14;Q17L08 D;0.0171;3;1 CAMP FULV, 1 TETR SOLI, 1 OCYM BARB
6/10/25 16:17;Q17L04 D;0.0154;1;1 UNKNOWN TRUE BUG (GREY WITH BLACK MARKS)
6/10/25 12:19;Q17L07;0.0127;1;1 MEGA ANALI
6/10/25 16:19;Q17L02 D;0.0151;6;2 CAMP FULV, 1 PSEUDO-SCORPION, 1 TETR SERI, 1 UNKNOWN FLYING TRUE BUG, 1 UNKNOWN ANT
6/10/25 16:18;Q17L03;0;0;
6/10/25 16:13;Q17L09;0.0008;3;1 TETR SOLI, 2 TETR SERI
6/10/25 16:15;Q17L06 D;0.0086;4;1 SCIO CURS, 1 TETR SOLI, 2 TETR SERI
6/10/25 12:18;Q17L09;0.0364;4;1 LARVAE, 1 MEGA ANALI, 1 SCIO CURS, 1 BEETLE LARVAE
6/10/25 16:16;Q17L05;0.0814;6;2 CAMP FULV, 1 ZOPH SUBC, 1 SCIO CURS, 1 OCYM BARB, 1 UNKNOWN SMALL BLACK BEETLE
6/10/25 16:15;Q17L07;0.0180;4;3 OCYM BARB, 1 MEGA ANAL
