Time Stamp;Location;Weight;Biomass;COMMENTS
2011/05/25 13:11;J13L01;0;0;
2006/11/25 10:57;J13L01;0;0;
2011/05/25 17:28;J13L01;0;0;
2011/05/25 20:29;J13L01;0;0;
2011/05/25 13:10;J13L02 D;0;0;
2011/05/25 17:26;J13L02 D;0;0;
2011/05/25 21:28;J13L02 D;0;0;
2006/11/25 10:54;J13L02 D;0;0;
2011/05/25 17:25;J13L03;0;0;
2011/05/25 13:09;J13L03;0;0;
2011/05/25 20:26;J13L03;0;0;
2006/11/25 10:52;J13L03;2.315;2;2x Gonogenia immer
2011/05/25 13:08;J13L04 D;0;0;
2011/05/25 17:23;J13L04 D;0;0;
2005/11/25 21:25;J13L04 D;0.0071;1;1x C. mac
2006/11/25 10:48;J13L04 D;0.2860;3;1x C. fulv, 2X Graphipterus amabilis
2011/05/25 13:07;J13L05;0;0;
2005/11/25 21:24;J13L05;0.0046;7;7x Tetra.
2006/11/25 10:44;J13L05;0.1394;51;1X C. fulv, 1x C. mac, 47 x T. solidum, 1 x Anopol, 1x Zodariid
2005/11/25 17:22;J13L05;0.0195;8;4x Ocy barb, 1x C.fulv, 3x Tetra solid
2011/05/25 21:23;J13L06 D;0;0;
2005/11/25 17:21;J13L06 D;0.005;1;1x Z. arcana
2005/11/25 13:06;J13L06 D;0.0072;1;1x Penta *same as above
2006/11/25 10:41;J13L06 D;0.0103;1;1x Cutea
2005/11/25 13:05;J13L07;0.0095;1;1x C. fulvo
2005/11/25 17:19;J13L07;0.0842;3;2x C. fulvo, 1x Graph. Amabilis
2005/11/25 21:21;J13L07;0.1587;2;1x C. mac, 1x Graph. Marg
2006/11/25 10:39;J13L07;28.5775;7;1x Spirostr, 2x Cyphol als, 1x Graph amab, 2x C. fulv, 1x Graph marg.
2011/05/25 13:04;J13L08 D;0;0;
2005/11/25 17:18;J13L08 D;0.0039;7;7x Tetra. Solid
2005/11/25 21:20;J13L08 D;0.0046;5;1x Zoo arcana, 4x Tetra solid
2006/11/25 10:36;J13L08 D;2.6177;33;1x P. raud, 1x C. mac, 30x tetra soli, 1x wasp
2011/05/25 13:03;J13L09;0;0;
2011/05/25 21:19;J13L09;0;0;
2005/11/25 17:17;J13L09;0.0076;1;1x Ibala bilinea
2006/11/25 10:34;J13L09;0.5711;2;2x Cypho als
2011/05/25 13:01;J13L10 D;0;0;
2011/05/25 17:15;J13L10 D;0;0;
2005/11/25 21:17;J13L10 D;0.0078;1;1x C. mac
2006/11/25 10:32;J13L10 D;0.0661;6;6x C. mac
2006/11/25 10:11;J15L01;0.0017;1;1x Messor cap
2005/11/25 12:49;J15L01;0.002;1;1x Ocy. Barb
2005/11/25 21:00;J15L01;0.0029;2;2x Ocy. Barb
2005/11/25 16:55;J15L01;0.1044;2;2x Zoo sub
2005/11/25 12:48;J15L02 D;0;0;
2011/05/25 16:54;J15L02 D;0;0;
2006/11/25 09:59;J15L02 D;3.0637;4;2x Anth cinc, 1 x Zeria mor, 1x Gnaphos
2011/05/25 20:59;J15L02 D;0.0415;14;5x C. mac, 2x Anopolepis, 1x Lepsiota cap, 6x Mono esharre
2005/11/25 12:47;J15L03;0;0;
2006/11/25 10:04;J15L03;0.0294;3;3X C.mac
2005/11/25 20:58;J15L03;0.0113;2;1x C. mac, 1x Odo imm.
2005/11/25 16:53;J15L03;0.0719;3;1x Ocy barb, 1x Zoo sub, 1x Zoo kalah
2005/11/25 12:46;J15L04 D;0;0;
2005/11/25 16:51;J15L04 D;0.0027;1;1x Tened adult
2005/11/25 20:56;J15L04 D;0.21;1;1x Tened larva
2006/11/25 10:02;J15L04 D;0.0833;8;2x Cockroach *unknown grey with white edging, 4 C. mac, 1x C. fulv, 1x Odo imm
2005/11/25 12:45;J15L05;0;0;
2011/05/25 16:50;J15L05;0;0;
2006/11/25 09:59;J15L05;0.0082;2;1x C. mac, 1x Anop stein
2011/05/25 20:55;J15L05;0;0;
2005/11/25 12:44;J15L06 D;0;0;
2006/11/25 09:56;J15L06 D;0;0;
2005/11/25 16:49;J15L06 D;0.0092;2;1x Ibala okoro, 1x C. fulvo
2005/11/25 20:54;J15L06 D;0.0339;3;1x Zoo subcor, 1x Mega ana, 1x Wasp
2005/11/25 12:43;J15L07;0;0;
2006/11/25 09:54;J15L07;0.0731;8;2XCimichora, 1x Anopolepis, 1x Z. arcana, 1x C. mac, 1x Ibala bilean, 1 x Zodariidae
2005/11/25 20:53;J15L07;0.1068;26;25x Anopolep., 1x Zodariid
2011/05/25 16:48;J15L07;0;0;
2011/05/25 20:51;J15L08 D;0;0;
2005/11/25 12:42;J15L08 D;0.0111;1;1x Penta *same as above
2006/11/25 09:51;J15L08 D;0.465;4;1x P. kuan, 3x Zoophosis *new sp possible
2011/05/25 16:47;J15L08 D;0;0;
2011/05/25 20:50;J15L09;0;0;
2005/11/25 12:41;J15L09;0.012;1;1x Asemesthes lineatus
2006/11/25 09:50;J15L09;2.2374;1;1x Anth cinc, 
2011/05/25 16:46;J15L09;0;0;
2011/05/25 20:49;J15L10 D;0;0;
2005/11/25 12:40;J15L10 D;0;0;
2005/11/25 16:44;J15L10 D;0.0082;1;1x Ibala okoro
2006/11/25 09:48;J15L10 D;0.0298;2;1x Zoo arca, 1x Dipt *Therevidae
2005/11/25 11:10;L15L01;0;0;
2006/11/25 07:25;L15L01;0.0241;4;1x Tetra. Sol, 1x Z. arcana, 2x C. mac
2005/11/25 19:07;L15L01;0.0147;2;1x C. fulvo, 1x Tetra soli
2011/05/25 15:07;L15L01;0;0;
2005/11/25 11:09;L15L02 D;0;0;
2011/05/25 15:06;L15L02 D;0;0;
2011/05/25 19:06;L15L02 D;0;0;
2005/11/25 07:23;L15L02 D;0.0167;1;1x C. mac
2006/11/25 07:17;L15L03;30.2543;3;1x Spirostr, 1x Anth cinc, 1x Zoo kalah
2005/11/25 11:07;L15L03;0.0045;3;2x Ocy barb, 1x Tetra solid
2005/11/25 19:05;L15L03;0.3864;8;1x Tivia termes, 1x Zoo kala, 6x Zoo subcor
2011/05/25 15:05;L15L03;0;0;
2006/11/25 07:13;L15L04 D;0.0224;3;1x Gonopus tib, 1x Ammoxenus coccin, 1x Ocy barb
2005/11/25 11:06;L15L04 D;0.0105;3;2x Ocy barb, 1x C. fulv
2005/11/25 19:04;L15L04 D;0.0267;8;1x Tetra sol, 2x C. fulv, 5x Ocy barb
2011/05/25 15:04;L15L04 D;0;0;
2005/11/25 11:05;L15L05;1.3961;1;1x Passil fortic
2005/11/25 15:03;L15L05;0.0083;2;1x Ocy barb, 1x Pento *same as above
2006/11/25 07:10;L15L05;1.4146;3;1x Anth cinc, 2X Ocy barb
2011/05/25 19:03;L15L05;0;0;
2006/11/25 07:08;L15L06 D;0;0;
2005/11/25 11:05;L15L06 D;0;0;
2005/11/25 15:03;L15L06 D;0.0009;1;1x Ocym barbiger
2005/11/25 19:02;L15L06 D;0.0273;6;2x C. fulv, 1x Ibala oko,3x  Mono esharre
2011/05/25 15:02;L15L07;0;0;
2025/11/25 07:05;L15L07;0.0543;3;1x C. mac,1x Ancylotrypa cf., 1x Strang. *velvet
2005/11/25 11:04;L15L07;0.0078;3;1x Tetra solid, 2x Tened *as above small brown
