Timestamp,Ref.,Weight,Number,,,,,
7/1/25 11:23,D15L05,0.0071,6,,,,,
7/1/25 11:18,D15L10,0.056,3,,,,,
7/1/25 12:13,K18L01,0.0951,4,,,,,
7/1/25 11:25,D15L03,0.0334,1,,,,,
7/1/25 12:09,K18L06,0.0322,4,,,,,
7/1/25 12:12,K18L02,0.0231,4,,,,,
7/1/25 13:34,P15L09,0.0033,1,,,,,
7/1/25 11:01,H15L09,0.0075,2,,,,,
7/1/25 11:24,D15L04,0.0549,1,,,,,
7/1/25 12:07,K18L08,0.0048,1,,,,,
7/1/25 11:28,D15L01,0.0164,3,,,,,
7/1/25 12:06,K18L09,0.0024,1,,,,,
7/1/25 11:09,H15L02,0.0022,1,,,,,
7/1/25 11:21,D15L07,0.0566,4,,,,,
7/1/25 11:11,H15L01,0.1621,2,,,,,
7/1/25 13:39,P15L04,0.0041,1,,,,,
7/1/25 12:08,K18L07,0.0088,2,,,,,
7/1/25 13:40,P15L03,0.0016,1,,,,,
7/1/25 12:11,K18L03,0.0118,3,,,,,
7/1/25 12:05,K18L10,0.013,4,,,,,
7/1/25 11:05,H15L06,0.0103,1,,,,,
7/1/25 11:08,H15L03,0.0028,1,,,,,
7/1/25 12:56,Q17L10,0.0442,1,,,,,
7/1/25 11:00,H15L10,0.1606,2,,,,,
7/1/25 11:04,H15L07,0.0331,1,,,,,
7/1/25 12:59,Q17L07,0.1441,1,,,,,
7/1/25 13:03,Q17L03 ,0.0085,2,,,,,
7/1/25 12:11,K18L04,0.0067,2,,,,,
7/1/25 13:38,P15L05,0.0029,2,,,,,
7/1/25 13:02,Q17L04,0.0027,2,,,,,
7/1/25 12:10,K18L05,0.0042,2,,,,,
7/1/25 13:33,P15L10,0.0027,1,,,,,
7/1/25 13:41,P15L02,0.0027,1,,,,,
7/1/25 13:36,P15L07,0.0018,1,,,,,
7/1/25 13:01,Q17L05,0.0258,3,,,,,
7/1/25 13:00,Q17L06,0.0018,1,,,,,
7/1/25 13:05,Q17L01,0.0333,1,,,,,
7/1/25 13:04,Q17L02,0.0012,1,,,,,
7/1/25 21:41,P15L08,0.0052,1,,,,,
7/1/25 15:18,D15L08,0.0087,3,,,,,
7/1/25 16:58,Q17L04,0.0556,6,,,,,
7/1/25 21:38,P15L10,0.0112,2,,,,,
7/1/25 17:36,P15L01,0.0878,3,,,,,
7/1/25 15:25,D15L01,0.0232,10,,,,,
7/1/25 17:01,Q17L01,0.0092,3,,,,,
7/1/25 16:53,Q17L10,0.0066,1,,,,,
7/1/25 16:54,Q17L09,0.2282,3,,,,,
7/1/25 16:55,Q17L08,0.0016,1,,,,,
7/1/25 15:16,D15L10,0.0136,3,,,,,
7/1/25 17:35,P15L02,0.0062,2,,,,,
7/1/25 16:56,Q17L07,0.0114,1,,,,,
7/1/25 17:33,P15L04,0.0261,4,,,,,
7/1/25 15:01,H15L09,0.0071,2,,,,,
7/1/25 15:19,D15L07,0.0135,3,,,,,
7/1/25 15:20,D15L06,0.0122,2,,,,,
7/1/25 15:17,D15L09,0.0052,1,,,,,
7/1/25 16:16,K18L01,0.0643,7,,,,,
7/1/25 15:07,H15L04,0.0106,3,,,,,
7/1/25 15:03,H15L07,0.0092,4,,,,,
7/1/25 15:09,H15L02,0.0201,7,,,,,
7/1/25 15:08,H15L03,0.0061,2,,,,,
7/1/25 15:10,H15L01,0.0024,1,,,,,
7/1/25 16:15,K18L02,0.0171,4,,,,,
7/1/25 15:21,D15L05,0.0024,1,,,,,
7/1/25 15:04,H15L06,0.0303,3,,,,,
7/1/25 17:32,P15L05,0.0136,2,,,,,
7/1/25 16:12,K18L06,0.0135,3,,,,,
7/1/25 16:08,K18L10,0.0221,6,,,,,
7/1/25 16:14,K18L03,0.0101,3,,,,,
7/1/25 16:10,K18L08,0.0088,2,,,,,
7/1/25 17:30,P15L08,0.0165,3,,,,,
7/1/25 17:31,P15L07,0.0267,8,,,,,
7/1/25 17:32,P15L06,0.0089,1,,,,,
7/1/25 17:29,P15L09,0.0019,1,,,,,
7/1/25 17:28,P15L10,0.0217,3,,,,,
7/1/25 16:11,K18L07,0.0131,4,,,,,
7/1/25 16:13,K18L04,0.0118,3,,,,,
7/1/25 20:09,K18L10,0.0818,15,,,,,
7/1/25 20:13,K18L06,0.0161,3,,,,,
7/1/25 19:17,D15L10,0.0132,3,,,,,
7/1/25 19:17,D15L09,0.0168,4,,,,,
7/1/25 20:18,K18L02,0.0445,2,,,,,
7/1/25 20:14,K18L05,0.0352,4,,,,,
7/1/25 20:20,K18L01,0.2654,14,,,,,
7/1/25 20:15,K18L04,0.0126,1,,,,,
7/1/25 21:46,P15L04,0.023,7,,,,,
7/1/25 21:47,P15L02,0.113,6,,,,,
7/1/25 20:12,K18L07,0.0478,4,,,,,
7/1/25 21:49,P15L01,0.0891,4,,,,,
7/1/25 19:08,H15L03,0.0989,2,,,,,
7/1/25 20:11,K18L08,0.0045,1,,,,,
7/1/25 19:02,H15L09,0.0042,2,,,,,
7/1/25 19:05,H15L06,0.0266,13,,,,,
7/1/25 19:06,H15L05,0.0029,1,,,,,
7/1/25 19:03,H15L08,0.0136,4,,,,,
7/1/25 19:23,D15L05,0.0326,1,,,,,
7/1/25 20:10,K18L09,0.0021,2,,,,,
7/1/25 19:09,H15L02,0.0019,1,,,,,
7/1/25 21:04,Q17L05,0.0331,1,,,,,
7/1/25 21:45,P15L05,0.1091,7,,,,,
7/1/25 20:58,Q17L10,0.0112,3,,,,, 
7/1/25 19:04,H15L07,0.0112,4,,,,,
7/1/25 21:00,Q17L08,0.3991,5,,,,,
7/1/25 21:03,Q17L06,0.0021,2,,,,,
7/1/25 20:17,K18L03,0.0216,2,,,,,
7/1/25 21:01,Q17L07,0.0612,3,,,,,
7/1/25 19:07,H15L04,0.0043,2,,,,,
7/1/25 21:07,Q17L03 ,0.1097,4,,,,,
7/1/25 19:00,H15L10,0.0022,1,,,,,
7/1/25 19:10,H15L01,0.0111,1,,,,,
7/1/25 20:59,Q17L09,0.0421,2,,,,,
7/1/25 21:40,P15L09,0.0042,1,,,,,
8/1/25 08:13,K18L08,22.9767,21,,,,,
7/1/25 19:21,D15L07,0,0,,,,,
8/1/25 07:11,H15L02,5.0561,1,,,,,
8/1/25 09:06,Q17L08,2.6781,4,,,,,
8/1/25 09:09,Q17L06,2.7581,2,,,,,
8/1/25 09:07,Q17L07,0.2349,1,,,,,
8/1/25 07:10,H15L03,0.0223,2,,,,,
8/1/25 09:11,Q17L05,0.0361,3,,,,,
8/1/25 07:13,H15L01,0.0055,4,,,,,
8/1/25 07:08,H15L05,0.1349,2,,,,,
8/1/25 07:03,H15L08,0.0058,1,,,,,
8/1/25 07:06,H15L06,0.2511,3,,,,,
8/1/25 08:10,K18L10,0.5272,16,,,,,
