Time Stamp,Location,Weight,Biomass,COMMENTS,
13/1/26 12:02,H15L10D,0,0,,
13/1/26 12:03,H15L09,0.0161,1,1X C FULV,
13/1/26 12:04,H15L08D,0.051,1,1X ACROTY PART,
13/1/26 12:06,H15L07,0.0257,6,"2X OCY BARB, 1X ZO SUB, 3X DIPT",
13/1/26 12:07,H15L06D,0.0305,2,2X C FULV,
13/1/26 12:08,H15L05,0,0,,
13/1/26 12:09,H15L04D,0,0,,
13/1/26 12:10,H15L03,0,0,,
13/1/26 12:12,H15L02D,0.0047,3,3X OCY BARB,
13/1/26 12:13,H15L01,0,0,,
13/1/26 12:29,D15L10D,0.0292,7,"3X C FULV, 3X OCY BRB, 1X IBALA BILEAN",
13/1/26 12:30,D15L09,0,0,,
13/1/26 12:31,D15L08D,0.027,7,"1X Z KAL, 1X OCY BARB, 5X TETRA SOLI",
13/1/26 12:32,D15L07,0,0,,
13/1/26 12:33,D15L06D,0,0,,
13/1/26 12:34,D15L05,0,0,,
13/1/26 12:35,D15L04D,0,0,,
13/1/26 12:38,D15L03,0.0054,2,2X Z ARC,
13/1/26 12:39,D15L02D,0,0,,
13/1/26 12:41,D15L01,0.003,1,1X PLATY FIG,
13/1/26 13:19,P15L10D,0.0087,2,"1X C FULV, 1X OCY BARB",
13/1/26 13:20,P15L09,0,0,,
13/1/26 13:21,P15L08D,0.0043,2,2X OCY BRB,
13/1/26 13:22,P15L07,0,0,,
13/1/26 13:23,P15L06D,0,0,,
13/1/26 13:26,P15L05,0.0128,2,"1X OCY BARB, 1X C FULV",
13/1/26 13:27,P15L04D,0.1249,3,"1X OCY BARB, 2X Z SUB",
13/1/26 13:28,P15L03,0,0,,
13/1/26 13:30,P15L02D,0,0,,
13/1/26 13:31,P15L01,0.0635,3,"1X C MAC, 2X GRAPH MARG",
13/1/26 13:59,Q17L10D,0.0803,2,"1X IBALA OKO, 1X GRAPH AMA",
13/1/26 14:00,Q17L09,0.0078,1,1X IBALA OKO,
13/1/26 14:01,Q17L08D,0,0,,
13/1/26 14:03,Q17L07,0.025,1,1X Z SUB,
13/1/26 14:04,Q17L06D,0,0,,
13/1/26 14:05,Q17L05,0,0,,
13/1/26 14:07,Q17L04D,0.0026,2,2X TETRA GRAND,
13/1/26 14:08,Q17L03,0,0,,
13/1/26 14:09,Q17L02D,0,0,,
13/1/26 14:10,Q17L01,0,0,,
13/1/26 14:50,K18L10D,0,0,,
13/1/26 14:51,K18L09,0,0,,
13/1/26 14:52,K18L08D,0,0,,
13/1/26 14:53,K18L07,0,0,,
13/1/26 14:54,K18L06D,0,0,,
13/1/26 14:55,K18L05,0,0,,
13/1/26 14:56,K18L04D,0,0,,
13/1/26 14:57,K18L03,0,0,,
13/1/26 14:58,K18L02D,0.0027,2,"1X OCY BRB, 1X TETR SOLI",
13/1/26 14:59,K18L01,0,0,,
13/1/26 16:01,H15L10D,0,0,,
13/1/26 16:02,H15L09,0,0,,
13/1/26 16:03,H15L08D,0,0,,
13/1/26 16:04,H15L07,0,0,,
13/1/26 16:05,H15L06D,0.0093,1,1X C FULV,
13/1/26 16:06,H15L05,0,0,,
13/1/26 16:07,H15L04D,0,0,,
13/1/26 16:08,H15L03,0,0,,
13/1/26 16:09,H15L02D,0,0,,
13/1/26 16:10,H15L01,0,0,,
13/1/26 16:26,D15L10D,0.0052,1,1X CAMP FULV,
13/1/26 16:27,D15L09,0.0063,2,"1X ZO ARC, 1X OCY BARB",
13/1/26 16:28,D15L08D,0,0,,
13/1/26 16:29,D15L07,0,0,,
13/1/26 16:30,D15L06D,0,0,,
13/1/26 16:32,D15L05,0,0,,
13/1/26 16:33,D15L04D,0.0025,1,1X ZO ARC,
13/1/26 16:34,D15L03,0,0,,
13/1/26 16:35,D15L02D,0,0,,
13/1/26 16:36,D15L01,0,0,,
13/1/26 17:14,P15L10D,0,0,,
13/1/26 17:15,P15L09,0,0,,
13/1/26 17:16,P15L08D,0,0,,
13/1/26 17:17,P15L07,0,0,,
13/1/26 17:18,P15L06D,0,0,,
13/1/26 17:19,P15L05,0.0934,4,"1X Z SUB, 1X Z KAL, 1X MINIMI WEEVIL, 1X OCY BARB",
13/1/26 17:19,P15L04D,0.0934,4,"2X Z SUB, 1X OCY BARB, 1X GY VELVET ANT",
13/1/26 17:21,P15L03,0,0,,
13/1/26 17:22,P15L02D,0,0,,
13/1/26 17:23,P15L01,0.0145,6,"5X OCY BARB, 1X Z ARC",
