Timestamp,Ref.,Weight,Number
10/10/23 11:00,O18L04,0,0
10/10/23 11:01,O18L05,0.0124,1
10/10/23 11:02,O18L06,0.0191,2
10/10/23 11:03,O18L07,0.0333,2
10/10/23 11:05,O18L08,0.0048,2
10/10/23 11:06,O18L09,0.0472,2
10/10/23 11:08,O18L10,0.0183,2
10/10/23 11:10,O18L03,0.0655,2
10/10/23 11:11,O18L02,0.0244,8
10/10/23 11:13,O18L01,0,0
10/10/23 11:38,L17L04,0.0212,2
10/10/23 11:39,L17L05,0,0
10/10/23 11:40,L17L06,0.0411,1
10/10/23 11:41,L17L07,0,0
10/10/23 11:43,L17L08,0.0063,1
10/10/23 11:45,L17L09,0.0137,1
10/10/23 11:46,L17L10,0,0
10/10/23 11:47,L17L03,0,0
10/10/23 11:48,L17L02,0.0099,2
10/10/23 11:49,L17L01,0.0402,5
10/10/23 12:02,L15L03,0.0288,2
10/10/23 12:10,L15L04,0.0192,4
10/10/23 12:11,L15L05,0.0019,1
10/10/23 12:12,L15L06,0.0559,7
10/10/23 12:14,L15L07,0.0429,3
10/10/23 12:15,L15L08,0.0026,2
10/10/23 12:17,L15L09,0,0
10/10/23 12:18,L15L10,0.0185,1
10/10/23 12:21,L15L02,0.0018,1
10/10/23 12:23,L15L01,0.0154,7
10/10/23 12:46,J13L04,0.0399,4
10/10/23 12:47,J13L05,0.0996,5
10/10/23 12:48,J13L06,0.1085,1
10/10/23 12:49,J13L07,0,0
10/10/23 12:51,J13L08,0.0529,5
10/10/23 12:52,J13L09,0.012,1
10/10/23 12:55,J13L10,0.0066,2
10/10/23 12:57,J13L03,0,0
10/10/23 12:58,J13L02,0.0466,3
10/10/23 13:00,J13L01,0,0
10/10/23 13:18,J15L04,0,0
10/10/23 13:19,J15L05,0.0423,9
10/10/23 13:20,J15L06,0.0153,3
10/10/23 13:21,J15L07,0.0251,2
10/10/23 13:23,J15L08,0.0144,1
10/10/23 13:23,J15L03,0.0031,6
10/10/23 13:24,J15L09,0.0118,1
10/10/23 13:26,J15L10,0,0
10/10/23 13:29,J15L02,0.0761,8
10/10/23 13:31,J15L01,0.0152,5
10/10/23 15:52,L17L01,0.0015,2
10/10/23 15:00,O18L10,0.0011,1
10/10/23 15:00,O18L04,0.0012,1
10/10/23 15:01,O18L05,0,0
10/10/23 15:02,O18L06,0.0116,3
10/10/23 15:03,O18L07,0,0
10/10/23 15:05,O18L08,0,0
10/10/23 15:07,O18L09,0.0072,2
10/10/23 15:10,O18L03,0.0323,4
10/10/23 15:11,O18L02,0.0001,1
10/10/23 15:13,O18L01,0,0
10/10/23 15:39,L17L04,0.0006,1
10/10/23 15:40,L17L05,0.0111,5
10/10/23 15:41,L17L06,0.0066,1
10/10/23 15:43,L17L07,0,0
10/10/23 15:46,L17L09,0.0054,2
10/10/23 15:47,L17L10,0.0055,3
10/10/23 15:49,L17L08,0.0055,2
10/10/23 15:49,L17L03,0.0012,1
10/10/23 15:50,L17L02,0.0043,2
10/10/23 16:14,L15L04,0.0038,3
10/10/23 16:15,L15L05,0.0118,1
10/10/23 16:16,L15L06,0.0145,5
10/10/23 16:17,L15L07,0.0339,2
10/10/23 16:19,L15L08,0,0
10/10/23 16:21,L15L09,0,0
10/10/23 16:22,L15L10,0,0
10/10/23 16:25,L15L03,0,0
10/10/23 16:26,L15L02,0,0
10/10/23 16:27,L15L01,0.0107,1
10/10/23 16:50,J13L04,0,0
10/10/23 16:51,J13L05,0.0551,3
10/10/23 16:52,J13L06,0.0066,2
10/10/23 16:54,J13L07,0,0
10/10/23 16:55,J13L08,0.2053,3
10/10/23 16:57,J13L09,0.0006,1
10/10/23 16:58,J13L10,0,0
10/10/23 17:00,J13L03,0,0
10/10/23 17:01,J13L02,0,0
10/10/23 17:03,J13L01,0,0
10/10/23 17:18,J15L04,0,0
10/10/23 17:19,J15L05,0.0407,4
10/10/23 17:20,J15L06,0.0536,6
10/10/23 17:21,J15L07,0,0
10/10/23 17:23,J15L08,0.0071,2
10/10/23 17:24,J15L09,0,0
10/10/23 17:26,J15L10,0,0
10/10/23 17:28,J15L03,0.0038,1
10/10/23 17:29,J15L02,0.0191,3
10/10/23 17:31,J15L01,0.0251,3
10/10/23 19:00,O18L04,0,0
10/10/23 19:01,O18L05,0,0
10/10/23 19:02,O18L06,0.0169,2
10/10/23 19:03,O18L07,0.0148,3
10/10/23 19:05,O18L08,0,0
10/10/23 19:06,O18L09,0,0
10/10/23 19:08,O18L10,0,0
10/10/23 19:10,O18L03,0.1509,3
10/10/23 19:11,O18L02,0,0
10/10/23 19:13,O18L01,0,0
10/10/23 19:38,L17L04,0,0
10/10/23 19:39,L17L05,0.0079,1
10/10/23 19:40,L17L06,0,0
10/10/23 19:41,L17L07,0,0
10/10/23 19:43,L17L08,0.0076,1
10/10/23 19:44,L17L09,0,0
10/10/23 19:46,L17L10,0.0023,1
10/10/23 19:49,L17L03,0.3698,3
10/10/23 19:50,L17L02,0,0
10/10/23 19:52,L17L01,0.0015,1
10/10/23 21:01,J13L10,0,0
10/10/23 20:17,L15L04,0,0
10/10/23 20:18,L15L05,0.2184,1
10/10/23 20:19,L15L06,0.0275,3
10/10/23 20:20,L15L07,0.0437,2
10/10/23 20:22,L15L08,0,0
10/10/23 20:23,L15L09,0,0
10/10/23 20:25,L15L10,0,0
10/10/23 20:28,L15L03,0,0
10/10/23 20:29,L15L02,0.0296,2
10/10/23 20:31,L15L01,0.0211,2
10/10/23 20:54,J13L04,0.0456,4
10/10/23 20:55,J13L05,0,0
10/10/23 20:56,J13L06,0,0
10/10/23 20:58,J13L07,0.0017,1
10/10/23 20:59,J13L08,0,0
10/10/23 21:00,J13L09,0,0
10/10/23 21:04,J13L03,0,0
10/10/23 21:05,J13L02,0,0
10/10/23 21:07,J13L01,0,0
10/10/23 21:24,J15L04,0.0137,1
10/10/23 21:25,J15L05,0,0
10/10/23 21:26,J15L06,0,0
10/10/23 21:28,J15L07,0,0
10/10/23 21:30,J15L08,0.1936,1
10/10/23 21:31,J15L09,0,0
10/10/23 21:32,J15L10,0,0
10/10/23 21:35,J15L03,0.0078,2
10/10/23 21:37,J15L02,0.0174,2
10/10/23 21:38,J15L01,0.0036,2
11/10/23 07:00,O18L04,0.0251,2
11/10/23 07:01,O18L05,0.0456,2
11/10/23 07:03,O18L06,0.1166,5
