Time Stamp,Location,Weight,Biomass,COMMENTS,,,
8/12/25 11:31,J13L01,0.04,2,"1X CAMP FULV, 1X GRAPH AMA",,,
8/12/25 20:13,J13L01,0.0002,2,1X PHEDIO TENUI,,,
9/12/25 07:18,J13L01,0.0032,4,"1X AGELEN* BELE, 2X MONO ESHAR, 1X TETRA SOLI",,,
8/12/25 15:54,J13L01,0,0,,,,
9/12/25 07:16,J13L02 D,0.0491,4,"1X BOEO EP, 1X CAMP FULV, 1X SOLPUGE* JUV, 1X GNAPHOS*POOR CONDITION",,,
8/12/25 15:52,J13L02 D,0.0023,1,1X OCY BARB,,,
8/12/25 11:29,J13L02 D,0.0101,4,"1X CAMP FULV, 2X OCY BARB, 1X ZO ARC, 1X GNAPH* POOR CONDITION NO ID",,,
8/12/25 20:11,J13L02 D,0,0,,,,
8/12/25 20:09,J13L03,0.0798,1,1X ZO SUB,,,
8/12/25 11:27,J13L03,1.946,2,"1X ANTH CINC, 1X COLEO",,,
9/12/25 07:14,J13L03,1.711,2,"1X PAS FORT, 1X STIPS DIO",,,
8/12/25 15:49,J13L03,0,0,,,,
8/12/25 11:25,J13L04 D,0.094,4,"1X GRAPH AMA, 1X ZO SUB, 2X CAMP FULV",,,
8/12/25 20:07,J13L04 D,0.0276,2,"1X CAMP MAC, 1X CAMP FULV",,,
9/12/25 19:10,J13L04 D,5.7872,4,"2X CAMP MAC, 1X GONO IMME, 1X OPIST WAHL",,,
8/12/25 15:47,J13L04 D,0,0,,,,
8/12/25 20:05,J13L05,0.3066,7,"1X PUECETIA, 3X BOEO EP, 1X MOTH, 1X CAMP MAC, 1X IBALA",,,
9/12/25 07:10,J13L05,0.0604,4,"2X BOEO ATR, 2X GNAPHOS",,,
8/12/25 11:23,J13L05,0,0,,,,
8/12/25 15:45,J13L05,0,0,,,,
9/12/25 07:08,J13L06 D,0.0171,2,"1X CAMP FULV, 1X HISTER",,,
8/12/25 20:04,J13L06 D,1.6564,1,1X ANTH CINC,,,
8/12/25 11:21,J13L06 D,0.0224,2,"1X CAM FULV, 1X SALTICID BLACK AND WHITE",,,
8/12/25 15:43,J13L06 D,0,0,,,,
8/12/25 15:41,J13L07,0.0011,1,1X OCY BARB,,,
