Time Stamp,Location,Weight,Biomass,COMMENTS,,
12/11/25 09:54,D15L01,0.0191,3,"1X IBALA BILEAN, 1X GNAPHOSID, 1X WASP",,
11/11/25 17:12,D15L01,0.0113,2,"1X PENT, 1X OCY BARB",,
11/11/25 21:18,D15L01,0.0017,1,1x HISTER,,
11/11/25 13:12,D15L01,0.0074,1,1X IBALA OKO,,
11/11/25 21:17,D15L02 D,0,0,,,
12/11/25 09:53,D15L02 D,0.0015,2,"1X LEPISIO, 1X SALTICID",,
11/11/25 17:10,D15L02 D,0.0052,3,"2X OCY BARB, 1X ELATERIDAE *SMALL",,
11/11/25 13:10,D15L02 D,0.0659,4,"2X IBALA OKO, 1X HEMIP, 1X ACRIDIDAE NYMPH",,
12/11/25 09:50,D15L03,0.9567,1,1X ESCARAB,,
11/11/25 13:09,D15L03,0,0,,,
11/11/25 21:16,D15L03,0.0004,1,1X CAMP NIVEO,,
11/11/25 17:09,D15L03,0.0463,3,"2X OCY BARB, 1X ANTLION",,
11/11/25 13:08,D15L04 D,0,0,,,
11/11/25 21:15,D15L04 D,0.0198,2,"1X CAMP MAC, 1X FLYANT",,
11/11/25 17:07,D15L04 D,0.004,2,2X OCY BARB,,
12/11/25 09:34,D15L04 D,0.0284,2,"1X CAMP MAC, 1X PROEVIPPA",,
11/11/25 17:06,D15L05,0,0,,,
12/11/25 09:45,D15L05,0,0,,,
11/11/25 13:07,D15L05,0.5141,1,1X GOL ONE* ANTLION,,
11/11/25 21:14,D15L05,0.0368,2,"1x CIMIC, 1x CORDIUS",,
11/11/25 21:13,D15L06 D,0.0797,1,"1X PENT, 1X IBALA OKO, 1X ACROTO *ANGULATUS",,
11/11/25 17:05,D15L06 D,0.0059,1,1X IBALA OKO,,
11/11/25 13:06,D15L06 D,0,0,,,
12/11/25 09:42,D15L06 D,0.0461,2,"1X CAIDUIS, 1X BOEO *ATRA",,
