Timestamp,Ref.,Weight,Number,,,,,,
13/8/24 12:15,K18L09,0.0066,1,,,,,,
13/8/24 12:16,K18L08,0.0093,2,,,,,,
13/8/24 12:23,K18L03,0.0142,10,,,,,,
13/8/24 12:18,K18L07,0.0079,7,,,,,,
13/8/24 13:11,P15L10,0.0273,2,,,,,,
13/8/24 13:48,Q17L07,0.0029,1,,,,,,
13/8/24 13:21,P15L01,0.0085,1,,,,,,
13/8/24 11:03,H15L08,0.0034,1,,,,,,
13/8/24 11:01,H15L09,0.0039,1,,,,,,
13/8/24 21:04,P15L06,0.0249,1,,,,,,
13/8/24 19:21,D15L08,0.0264,6,,,,,,
13/8/24 19:29,D15L02,0.0079,2,,,,,,
13/8/24 21:45,Q17L08,0.0357,1,,,,,,
13/8/24 21:05,P15L05,0.0237,2,,,,,,
13/8/24 19:18,D15L10,0.0025,1,,,,,,
13/8/24 19:03,H15L08,0.0173,3,,,,,,
13/8/24 19:28,D15L03,0.0006,1,,,,,,
13/8/24 20:16,K18L02,0.0023,2,,,,,,
13/8/24 21:47,Q17L06,0.0034,1,,,,,,
13/8/24 19:22,D15L07,0.0011,1,,,,,,
13/8/24 20:14,K18L03,0.0651,3,,,,,,
13/8/24 20:58,P15L10,0.0008,1,,,,,,
13/8/24 20:11,K18L05,0.0439,1,,,,,,
13/8/24 19:10,H15L02,0.0119,1,,,,,,
13/8/24 19:09,H15L03,0.0052,2,,,,,,
13/8/24 19:05,H15L06,0.0066,1,,,,,,
13/8/24 19:11,H15L01,0.0033,2,,,,,,
13/8/24 20:07,K18L08,0.0314,2,,,,,,
13/8/24 20:17,K18L01,0.0023,1,,,,,,
13/8/24 21:49,Q17L05,0.0161,2,,,,,,
13/8/24 21:43,Q17L09,0.0917,4,,,,,,
13/8/24 21:50,Q17L04,0.0046,2,,,,,,
13/8/24 20:09,K18L07,0.0273,1,,,,,,
13/8/24 20:13,K18L04,0.0634,3,,,,,,
13/8/24 20:10,K18L06,0.0597,4,,,,,,
13/8/24 19:04,H15L07,0.0156,2,,,,,,
13/8/24 21:52,Q17L02,0.0462,1,,,,,,
14/8/24 08:33,K18L06,0.0623,4,,,,,,
14/8/24 08:29,K18L09,0.0587,3,,,,,,
14/8/24 07:19,D15L10,0.0265,1,,,,,,
14/8/24 07:26,D15L05,0.0491,1,,,,,,
14/8/24 07:30,D15L01,0.0391,2,,,,,,
14/8/24 08:28,K18L10,0.0907,3,,,,,,
14/8/24 08:36,K18L04,0.0219,4,,,,,,
14/8/24 08:37,K18L03,0.1707,7,,,,,,
14/8/24 09:55,Q17L09,0.0741,8,,,,,,
14/8/24 10:01,Q17L05,0.0929,5,,,,,,
14/8/24 08:39,K18L01,0.0462,2,,,,,,
13/8/24 13:46,Q17L09,0.0393,4,,,,,,
14/8/24 07:01,H15L09,0.3225,1,,,,,,
14/8/24 08:34,K18L05,0.1002,4,,,,,,
14/8/24 07:20,D15L09,0.0394,1,,,,,,
14/8/24 08:32,K18L07,0.0261,2,,,,,,
14/8/24 07:22,D15L08,0.0006,2,,,,,,
14/8/24 07:28,D15L03,0.0294,2,,,,,,
14/8/24 08:38,K18L02,0.0667,2,,,,,,
14/8/24 09:59,Q17L06,0.0221,2,,,,,,
14/8/24 10:04,Q17L02,0.0179,2,,,,,,
14/8/24 07:08,H15L04,0.0091,1,,,,,,
14/8/24 07:10,H15L03,0.1019,6,,,,,,
14/8/24 08:31,K18L08,0.0024,1,,,,,,
14/8/24 07:13,H15L01,0.0123,3,,,,,,
14/8/24 07:07,H15L05,0.0621,1,,,,,,
14/8/24 07:03,H15L08,0.0569,3,,,,,,
14/8/24 09:54,Q17L10,0.0006,1,,,,,,
14/8/24 07:04,H15L07,0.0165,1,,,,,,
14/8/24 09:16,P15L10,0.1186,4,,,,,,
14/8/24 09:17,P15L09,0.0575,3,,,,,,
14/8/24 09:21,P15L06,0.1089,6,,,,,,
14/8/24 09:20,P15L07,0.0021,1,,,,,,
14/8/24 09:27,P15L01,0.2819,5,,,,,,
14/8/24 09:57,Q17L08,0.1168,2,,,,,,
14/8/24 09:22,P15L05,0.0242,2,,,,,,
14/8/24 09:24,P15L04,0.0335,2,,,,,,
14/8/24 10:05,Q17L01,0.0137,1,,,,,,
14/8/24 07:11,H15L02,0.0093,2,,,,,,
14/8/24 10:03,Q17L03,0.1066,4,,,,,,
14/8/24 10:02,Q17L04,0.0086,2,,,,,,
13/8/24 15:02,H15L08,0.0055,2,,,,,,
13/8/24 15:09,H15L02,0.0059,2,,,,,,
13/8/24 15:01,H15L09,0.0168,2,,,,,,
14/8/24 09:58,Q17L07,0.0174,3,,,,,,
13/8/24 16:09,K18L07,0.0027,1,,,,,,
13/8/24 17:36,Q17L07,0.2122,5,,,,,,
13/8/24 16:15,K18L02,0.0152,2,,,,,,
13/8/24 15:10,H15L01,0.0493,3,,,,,,
13/8/24 16:16,K18L01,0.0323,6,,,,,,
13/8/24 16:05,K18L09,0.0658,2,,,,,,
13/8/24 15:08,H15L03,0.1065,1,,,,,,
13/8/24 15:03,H15L07,0.0048,1,,,,,,
13/8/24 15:18,D15L09,0.0097,2,,,,,,
13/8/24 16:07,K18L08,0.0052,1,,,,,,
13/8/24 15:23,D15L05,0.0149,4,,,,,,
13/8/24 17:40,Q17L03,0.0241,3,,,,,,
13/8/24 16:10,K18L06,0.0234,2,,,,,,
13/8/24 17:39,Q17L04,0.0464,1,,,,,,
13/8/24 17:04,P15L03,0.0214,3,,,,,,
13/8/24 15:22,D15L06,0.0521,1,,,,,,
13/8/24 15:17,D15L10,0.0163,3,,,,,,
13/8/24 17:37,Q17L06,0.0089,1,,,,,,
13/8/24 15:29,D15L01,0.0674,5,,,,,,
13/8/24 15:28,D15L02,0.0094,1,,,,,,
13/8/24 17:00,P15L06,0.0194,2,,,,,,
13/8/24 16:58,P15L08,0.0135,1,,,,,,
13/8/24 15:21,D15L07,0.0462,5,,,,,,
13/8/24 17:03,P15L04,0.0052,1,,,, ,,
13/8/24 17:33,Q17L09,0.0194,2,,,,,,
13/8/24 15:25,D15L04,0.0143,1,,,,,,
13/8/24 17:01,P15L05,0.0079,1,,,,,,
13/8/24 17:05,P15L02,0.0092,1,,,,,,
14/8/24 09:18,P15L08,2.2543,4,,,,,,
14/8/24 07:27,D15L04,0,0,,,,,,
14/8/24 07:29,D15L02,0,0,,,,,,
14/8/24 07:06,H15L06,0,0,,,,,,
14/8/24 07:00,H15L10,0,0,,,,,,
14/8/24 09:25,P15L03,0,0,,,,,,
14/8/24 09:26,P15L02,0,0,,,,,,
14/8/24 07:24,D15L06,0,0,,,,,,
14/8/24 07:23,D15L07,0,0,,,,,,
13/8/24 15:26,D15L03,0,0,,,,,,
13/8/24 17:34,Q17L08,0,0,,,,,,
13/8/24 16:11,K18L05,0,0,,,,,,
13/8/24 15:07,H15L04,0,0,,,,,,
13/8/24 16:13,K18L03,0,0,,,,,,
13/8/24 15:06,H15L05,0,0,,,,,,
13/8/24 15:05,H15L06,0,0,,,,,,
13/8/24 15:00,H15L10,0,0,,,,,,
13/8/24 16:12,K18L04,0,0,,,,,,
13/8/24 16:00,K18L10,0,0,,,,,,
13/8/24 17:32,Q17L10,0,0,,,,,,
13/8/24 15:19,D15L08,0,0,,,,,,
13/8/24 17:06,P15L01,0,0,,,,,,
13/8/24 16:56,P15L10,0,0,,,,,,
13/8/24 16:57,P15L09,0,0,,,,,,
13/8/24 16:59,P15L07,0,0,,,,,,
13/8/24 17:42,Q17L01,0,0,,,,,,
13/8/24 17:41,Q17L02,0,0,,,,,,
13/8/24 17:38,Q17L05,0,0,,,,,,
13/8/24 13:50,Q17L06,0,0,,,,,,
13/8/24 19:26,D15L04,0,0,,,,,,
13/8/24 19:30,D15L01,0,0,,,,,,
13/8/24 19:19,D15L09,0,0,,,,,,
13/8/24 19:25,D15L05,0,0,,,,,,
13/8/24 11:24,D15L06,0,0,,,,,,
13/8/24 21:42,Q17L10,0,0,,,,,,
13/8/24 21:53,Q17L01,0,0,,,,,,
13/8/24 21:11,P15L01,0,0,,,,,,
13/8/24 20:06,K18L09,0,0,,,,,,
13/8/24 21:09,P15L03,0,0,,,,,,
13/8/24 13:52,Q17L04,0,0,,,,,,
13/8/24 13:55,Q17L02,0,0,,,,,,
13/8/24 11:08,H15L04,0,0,,,,,,
13/8/24 11:30,D15L01,0,0,,,,,,
13/8/24 11:05,H15L06,0,0,,,,,,
