Time Stamp,Location,Weight,Biomass,COMMENTS,Number Release
16/9/25 11:00,L15L10D,0.0012,1,OCYMYRMEX,1
16/9/25 11:01,L15L09,0.0007,11,TETRAMORIUMS,
16/9/25 11:03,L15L08D,0.0065,8,SAME AS L15L09,
16/9/25 11:04,L15L07,0,0,,
16/9/25 11:05,L15L06D,0,0,,
16/9/25 11:07,L15L05,0,0,,
16/9/25 11:09,L15L04D,0,0,,
16/9/25 11:11,L15L03,0.0027,2,SAME AS L1509,
16/9/25 11:13,L15L02D,0,0,,
16/9/25 11:14,L15L01,0.0075,2,SAME AS L15L03,
16/9/25 11:32,L17L10D,0,0,,
16/9/25 11:33,L17L09,0.046,1,SAME AS J15L10,1
16/9/25 11:34,L17L08D,0.0204,1,TENEBRIONIDAE LARVAE,ETH
16/9/25 11:36,L17L07,0.1063,3,3X TIGER BEETLE,1X MATA-B
16/9/25 11:37,L17L06D,402,1,SAME AS J15L10,1
16/9/25 11:38,L17L05,0.0068,1,SAME AS ABOVE,ETH
16/9/25 11:39,L17L04D,0,0,,
16/9/25 11:40,L17L03,0,0,,
16/9/25 11:42,L17L02D,0,0,,
16/9/25 11:44,L17L01,0.0137,7,6X MEDITERRANEAN SEED BUG,1X OCYMYRMEX
16/9/25 12:07,O18L10D,0,0,,
16/9/25 12:08,O18L09,0.0087,1,SAME AS O18L04,1
16/9/25 12:10,O18L08D,0.0269,2,"1X Z-CAP, SAME AS L17L08 PODODUS",2
16/9/25 12:11,O18L07,0,0,,
16/9/25 12:13,O18L06D,0.0028,5,SAME AS L15L01,
16/9/25 12:14,O18L05,0.0162,5,"2X TETRO, 1X TEN LARV",1X MATA-B
16/9/25 12:16,O18L04D,0.009,1,META-B,1
16/9/25 12:18,O18L03,0.0091,2,"1X TETRO, 1X MATA-B",1
16/9/25 12:19,O18L02D,0.0039,1,SPIDER,ETH
16/9/25 12:20,O18L01,0,0,,
16/9/25 12:57,J15L10D,0,0,,
16/9/25 12:58,J15L09,0,0,,
