Timestamp,Ref.,Weight,Number,,
19/3/24 21:35,P15L02,0.0004,1,,
19/3/24 21:34,P15L03,0.0023,3,,
19/3/24 21:31,P15L04,0.0180,14,,
19/3/24 21:30,P15L05,0.0381,27,,
19/3/24 21:28,P15L07,0.0111,4,,
19/3/24 21:26,P15L08,0.0000,0,,
19/3/24 21:25,P15L09,0.0091,29,,
19/3/24 21:24,P15L10,0.0143,2,,
19/3/24 20:59,Q17L01,0.0202,2,,
19/3/24 20:57,Q17L02,0.0029,2,,
19/3/24 20:56,Q17L03,0.0354,4,,
19/3/24 20:55,Q17L04,0.0110,13,,
19/3/24 20:53,Q17L06,0.0095,3,,
19/3/24 20:50,Q17L07,0.0111,2,,
19/3/24 20:49,Q17L08,0.0207,1,,
19/3/24 20:48,Q17L09,0.3741,2,,
19/3/24 20:11,K18L02,0.0102,9,,
19/3/24 20:10,K18L03,0.0565,43,,
19/3/24 20:09,K18L01,0.0056,1,,
19/3/24 20:08,K18L04,0.0035,13,,
19/3/24 20:05,K18L05,0.0095,1,,
19/3/24 20:05,K18L06,0.0294,15,,
19/3/24 20:04,K18L07,0.0520,18,,
19/3/24 21:37,P15L01,0.0000,0,,
19/3/24 20:03,K18L08,0.0676,56,,
19/3/24 20:02,K18L09,0.2352,1,,
19/3/24 20:01,K18L10,0.0008,1,,
19/3/24 19:28,H15L01,0.0057,4,,
19/3/24 19:27,H15L02,0.0012,1,,
19/3/24 19:26,H15L03,0.0023,3,,
19/3/24 19:25,H15L04,0.0343,1,,
19/3/24 19:25,H15L05,0.0353,18,,
19/3/24 19:23,H15L06,0.0297,3,,
19/3/24 19:22,H15L07,0.0036,4,,
19/3/24 19:21,H15L08,0.0000,0,,
19/3/24 19:20,H15L09,0.1780,23,,
19/3/24 19:18,H15L10,0.0282,2,,
19/3/24 19:00,D15L01,0.0000,0,,
19/3/24 15:00,D15L01,0.0123,11,,
19/3/24 11:00,D15L01,0.0198,3,,
20/3/24 07:00,D15L01,0.0012,2,,
19/3/24 19:00,D15L02,0.0024,3,,
19/3/24 15:02,D15L02,0.0247,8,,
19/3/24 11:03,D15L02,0.0089,4,,
20/3/24 07:02,D15L02,0.0102,5,,
19/3/24 19:01,D15L03,0.0055,5,,
19/3/24 17:36,P15L01,0.0065,3,,
19/3/24 17:34,P15L02,0.0049,3,,
19/3/24 17:33,P15L03,0.0211,2,,
19/3/24 17:32,P15L04,0.0116,10,,
19/3/24 17:30,P15L05,0.0065,20,,
19/3/24 17:29,P15L06,0.0080,4,,
19/3/24 17:27,P15L07,0.0037,3,,
19/3/24 17:26,P15L08,0.0014,2,,
19/3/24 17:24,P15L09,0.0046,6,,
19/3/24 17:22,P15L10,0.0088,3,,
19/3/24 16:58,Q17L01,0.0034,1,,
19/3/24 16:56,Q17L02,0.0023,5,,
19/3/24 16:55,Q17L03,0.0045,3,,
19/3/24 16:54,Q17L04,0.0097,4,,
19/3/24 16:53,Q17L05,0.0000,0,,
19/3/24 16:51,Q17L06,0.0046,2,,
19/3/24 16:50,Q17L07,0.0074,2,,
19/3/24 16:49,Q17L08,0.0058,2,,
19/3/24 16:47,Q17L09,0.0084,2,,
19/3/24 16:46,Q17L10,0.0088,3,,
19/3/24 16:16,K18L01,0.0058,7,,
19/3/24 16:15,K18L02,0.0275,9,,
19/3/24 16:13,K18L03,0.0401,2,,
19/3/24 16:12,K18L04,0.0006,1,,
19/3/24 16:10,K18L05,0.0110,5,,
19/3/24 16:09,K18L06,0.0025,5,,
19/3/24 16:07,K18L07,0.0145,3,,
19/3/24 16:06,K18L08,0.0191,8,,
19/3/24 16:04,K18L09,0.0021,1,,
19/3/24 16:03,K18L10,0.0119,5,,
19/3/24 15:32,H15L01,0.0233,6,,
19/3/24 15:31,H15L02,0.0071,2,,
19/3/24 15:30,H15L03,0.0051,2,,
19/3/24 15:28,H15L04,0.0088,1,,
19/3/24 15:27,H15L05,0.0228,11,,
19/3/24 15:26,H15L06,0.0083,8,,
19/3/24 15:24,H15L07,0.0201,5,,
19/3/24 15:22,H15L08,0.0045,4,,
19/3/24 15:21,H15L09,0.0272,9,,
19/3/24 15:18,H15L10,0.0215,4,,
19/3/24 15:03,D15L03,0.0658,3,,
19/3/24 11:04,D15L03,0.0445,2,,
20/3/24 07:04,D15L03,0.0191,1,,
19/3/24 19:02,D15L04,0.0007,1,,
19/3/24 15:04,D15L04,0.0110,4,,
19/3/24 11:06,D15L04,0.0000,0,,
20/3/24 07:06,D15L04,1.9033,8,,
19/3/24 15:06,D15L05,0.0009,1,,
