Timestamp,Ref.,Weight,Number,
21/11/23 11:00,O18L05,0.0128,8,
21/11/23 11:01,O18L04,0.0823,9,
21/11/23 11:03,O18L03,0.0090,10,
21/11/23 11:04,O18L02,0.0000,0,
21/11/23 11:06,O18L01,0.0296,11,
21/11/23 11:09,O18L06,0.0485,7,
21/11/23 11:10,O18L07,0.0091,6,
21/11/23 11:12,O18L08,0.0346,30,
21/11/23 11:13,O18L09,0.0175,5,
21/11/23 11:15,O18L10,0.0152,8,
21/11/23 11:36,L17L05,0.0431,5,
21/11/23 11:37,L17L04,0.0209,10,
21/11/23 11:39,L17L03,0.0093,2,
21/11/23 11:42,L17L01,0.0760,6,
21/11/23 11:43,L17L02,0.0247,4,
21/11/23 11:45,L17L06,0.0133,4,
21/11/23 11:46,L17L07,0.0000,0,
21/11/23 11:48,L17L08,0.0093,9,
21/11/23 11:54,L17L09,0.0323,4,
21/11/23 11:57,L17L10,0.0260,7,
21/11/23 12:01,L15L09,0.0000,0,
21/11/23 12:21,L15L05,0.0087,4,
21/11/23 12:23,L15L04,0.0772,8,
21/11/23 12:25,L15L03,0.0889,7,
21/11/23 12:27,L15L02,0.0366,2,
21/11/23 12:29,L15L01,0.0946,3,
21/11/23 12:36,L15L06,0.1149,5,
21/11/23 12:38,L15L07,0.0643,5,
21/11/23 12:40,L15L08,0.0109,14,
21/11/23 12:43,L15L10,0.0622,4,
21/11/23 13:07,J13L05,0.1268,1,
21/11/23 13:09,J13L04,0.1003,2,
21/11/23 13:10,J13L03,0.0999,2,
21/11/23 13:12,J13L02,0.0761,2,
21/11/23 13:14,J13L01,0.0000,0,
21/11/23 13:17,J13L06,0.0000,0,
21/11/23 13:19,J13L07,0.0000,0,
21/11/23 13:21,J13L08,0.0811,1,
21/11/23 13:22,J13L09,0.0000,0,
21/11/23 13:23,J13L10,0.1025,4,
21/11/23 13:41,J15L05,0.0995,1,
21/11/23 13:43,J15L04,0.0000,0,
21/11/23 13:45,J15L03,0.0000,0,
21/11/23 13:46,J15L02,0.0000,0,
21/11/23 13:48,J15L01,0.0000,0,
21/11/23 13:50,J15L06,0.1323,8,
21/11/23 13:52,J15L07,0.0000,0,
21/11/23 13:54,J15L08,0.1093,3,
21/11/23 13:55,J15L09,0.1145,9,
21/11/23 13:57,J15L10,0.1715,11,
21/11/23 15:00,O18L05,0.0000,0,
21/11/23 15:01,O18L06,0.0088,2,
21/11/23 15:02,O18L07,0.0117,3,
21/11/23 15:03,O18L08,0.0000,0,
21/11/23 15:04,O18L09,0.0027,2,
21/11/23 15:05,O18L10,0.0375,5,
21/11/23 15:07,O18L04,0.0671,20,
21/11/23 15:08,O18L03,0.0098,1,
21/11/23 15:10,O18L02,0.0266,1,
21/11/23 15:12,O18L01,0.0020,1,
21/11/23 15:31,L17L05,0.0144,6,
21/11/23 15:33,L17L04,0.0087,2,
21/11/23 15:35,L17L03,0.0147,4,
21/11/23 15:36,L17L02,0.0245,4,
21/11/23 15:37,L17L01,0.0126,3,
21/11/23 15:40,L17L06,0.0159,4,
21/11/23 15:42,L17L07,0.0114,2,
21/11/23 15:43,L17L08,0.0000,0,
21/11/23 15:44,L17L09,0.0022,1,
21/11/23 15:46,L17L10,0.0183,5,
21/11/23 16:00,L15L05,0.0086,4,
21/11/23 16:01,L15L04,0.0019,1,
21/11/23 16:03,L15L03,0.0000,0,
21/11/23 16:04,L15L02,0.0030,1,
21/11/23 16:05,L15L01,0.0013,1,
21/11/23 16:07,L15L06,0.1540,2,
21/11/23 16:08,L15L07,0.0768,4,
21/11/23 16:09,L15L08,0.0321,5,
21/11/23 16:10,L15L09,0.0027,1,
21/11/23 16:11,L15L10,0.0133,3,
21/11/23 16:31,J13L05,0.0107,8,
21/11/23 16:32,J13L04,0.0008,1,
21/11/23 16:34,J13L03,0.0123,3,
21/11/23 16:35,J13L02,0.0047,1,
21/11/23 16:37,J13L01,0.0031,2,
21/11/23 16:39,J13L06,0.0000,0,
21/11/23 16:40,J13L07,0.0695,5,
21/11/23 16:42,J13L08,0.0079,2,
21/11/23 16:44,J13L09,0.0076,2,
21/11/23 16:45,J13L10,0.0591,3,
21/11/23 17:02,J15L05,0.0029,1,
21/11/23 17:03,J15L04,0.0063,2,
21/11/23 17:04,J15L03,0.0112,3,
21/11/23 17:05,J15L02,0.0318,1,
21/11/23 17:07,J15L01,0.0071,2,
21/11/23 17:09,J15L06 ,0.1029,17,(Says 18 on paper)
21/11/23 17:11,J15L07,0.0450,7,
21/11/23 17:13,J15L08,0.0107,1,
21/11/23 17:14,J15L09,0.0219,1,
21/11/23 17:15,J15L10,0.0232,6,
21/11/23 19:00,O18L05,0.0484,6,
21/11/23 19:01,O18L04,0.1946,9,
21/11/23 19:03,O18L03,0.0105,2,
21/11/23 19:04,O18L02,0.0053,3,
21/11/23 19:06,O18L01,0.0566,12,
21/11/23 19:09,O18L06,0.0028,3,
21/11/23 19:11,O18L07,0.0302,3,
21/11/23 19:12,O18L08,0.0532,4,
21/11/23 19:13,O18L09,0.0070,2,
21/11/23 19:15,O18L10,0.0058,3,
21/11/23 19:38,L17L05,0.0147,8,
21/11/23 19:39,L17L04,0.0199,9,
21/11/23 19:42,L17L03,0.0081,2,
21/11/23 19:44,L17L02,0.0264,7,
21/11/23 19:46,L17L01,0.0185,7,
21/11/23 19:48,L17L06,0.0027,2,
21/11/23 19:49,L17L07,0.1048,11,
21/11/23 19:51,L17L08,0.0004,2,
21/11/23 19:52,L17L09,0.0133,5,
21/11/23 19:53,L17L10,0.0165,8,
21/11/23 20:15,L15L05,0.0107,3,
21/11/23 20:17,L15L04,0.0116,4,
21/11/23 20:18,L15L09,0.0150,5,
21/11/23 20:18,L15L03,0.0122,6,
21/11/23 20:20,L15L02,0.0285,2,
