Timestamp,Ref.,Weight,Number,,,,,,,,,
24/1/24 08:30,O18L09,0.4469,10,,,,,,,,,
24/1/24 07:55,L17L10,1.2536,6,,,,,,,,,
24/1/24 08:26,O18L06,0.0580,2,,,,,,,,,
24/1/24 07:51,L17L07,0.4401,4,,,,,,,,,
24/1/24 08:31,O18L10,0.4217,5,,,,,,,,,
24/1/24 09:18,L17L07,0.5288,55,,,,,,,,,
24/1/24 08:28,O18L07,1.3953,2,,,,,,,,,
24/1/24 09:23,L17L08,0.4217,8,,,,,,,,,
24/1/24 07:57,L17L08,0.6513,3,,,,,,,,,
24/1/24 09:25,L17L05,1.9437,1,,,,,,,,,
24/1/24 09:56,J13L07,0.3383,4,,,,,,,,,
24/1/24 07:11,J15L08,0.5486,3,,,,,,,,,
24/1/24 07:54,L17L09,0.0405,1,,,,,,,,,
24/1/24 07:17,J15L01,0.0000,0,,,,,,,,,
24/1/24 07:59,L17L05,0.0976,4,,,,,,,,,
24/1/24 08:02,L17L02,0.3863,14,,,,,,,,,
24/1/24 07:09,J15L10,0.0163,1,,,,,,,,,
24/1/24 07:05,J15L07,0.1360,11,,,,,,,,,
24/1/24 07:46,L17L03,0.0098,12,,,,,,,,,
24/1/24 07:00,J15L03,0.0021,3,,,,,,,,,
24/1/24 07:50,L17L06,0.0000,0,,,,,,,,,
24/1/24 07:48,L17L04,0.0928,13,,,,,,,,,
24/1/24 07:16,J15L02,0.0484,36,,,,,,,,,
24/1/24 08:03,L17L01,0.0692,2,,,,,,,,,
24/1/24 07:07,J15L09,0.1036,4,,,,,,,,,
24/1/24 07:13,J15L05,0.1957,17,,,,,,,,,
24/1/24 07:01,J15L04,0.0200,2,,,,,,,,,
24/1/24 07:03,J15L06,0.0000,0,,,,,,,,,
24/1/24 10:06,J13L02,0.0054,2,,,,,,,,,
24/1/24 09:59,J13L10,0.1437,4,,,,,,,,,
24/1/24 09:58,J13L09,0.2062,6,,,,,,,,,
23/1/24 11:03,J15L06,0.0132,2,,,,,,,,,
23/1/24 13:35,J13L09,0.0050,2,,,,,,,,,
23/1/24 12:58,L17L07,0.0059,8,,,,,,,,,
23/1/24 13:38,J13L10,0.0033,9,,,,,,,,,
23/1/24 11:07,J15L09,0.0043,2,,,,,,,,,
23/1/24 11:13,J15L05,0.2520,1,,,,,,,,,
