Timestamp,Ref,Weight,Number
23/8/23 07:10,P15L06,0.0028,1
23/8/23 08:39,K18L10,0.0476,2
23/8/23 11:05,P15L06,0.0011,3
23/8/23 11:12,P15L10,0.0006,1
23/8/23 11:34,Q17L01,0,0
23/8/23 11:35,Q17L02,0,0
23/8/23 11:36,Q17L03,0.0009,1
23/8/23 11:37,Q17L04,0,0
23/8/23 11:38,Q17L05,0,0
23/8/23 11:39,Q17L06,0,0
23/8/23 11:40,Q17L07,0.0229,2
23/8/23 11:41,Q17L08,0,0
23/8/23 11:42,Q17L09,0,0
23/8/23 11:43,Q17L10,0.0848,1
23/8/23 12:16,K18L01,0.126,3
23/8/23 12:17,K18L02,0.0033,4
23/8/23 12:18,K18L03,0.0001,1
23/8/23 12:19,K18L04,0.0121,5
23/8/23 12:20,K18L05,0,0
23/8/23 12:21,K18L06,0,0
23/8/23 12:22,K18L07,0,0
23/8/23 12:24,K18L09,0.0412,3
23/8/23 12:25,K18L10,0,0
23/8/23 12:25,K18L08,0,0
23/8/23 12:56,D15L02,0.0129,3
23/8/23 12:57,D15L03,0.0063,1
23/8/23 12:58,D15L04,0,0
23/8/23 12:59,D15L05,0,1
23/8/23 13:00,D15L06,0,0
23/8/23 13:01,D15L07,0,0
23/8/23 13:02,D15L07,0.01,2
23/8/23 13:03,D15L08,0.0027,1
23/8/23 13:04,D15L09,0,4
23/8/23 13:05,D15L10,0,1
23/8/23 13:14,H15L01,0,3
23/8/23 13:15,H15L02,0.0109,1
23/8/23 13:12,H15L03,0.0221,2
23/8/23 13:13,H15L04,0.0114,4
23/8/23 13:14,H15L05,0.0207,2
23/8/23 13:15,H15L05,0,1
23/8/23 13:16,H15L06,0,0
23/8/23 13:17,H15L07,0.0014,2
23/8/23 13:18,H15L09,0.0032,2
23/8/23 13:19,H15L10,1.5798,3
23/8/23 13:43,Q17L10,0.011,1
23/8/23 15:00,P15L01,0,0
23/8/23 15:01,P15L02,0.0155,3
23/8/23 15:02,P15L03,0.0197,3
23/8/23 15:03,P15L04,0.0063,2
23/8/23 15:04,P15L05,0.0494,10
23/8/23 15:04,Q17L10,0.0327,8
23/8/23 15:05,P15L06,0.0215,6
23/8/23 15:07,P15L07,0,0
23/8/23 15:08,P15L08,0.0625,6
23/8/23 15:10,P15L10,0.0594,1
23/8/23 15:34,Q17L01,0,0
23/8/23 15:35,Q17L02,0.0041,2
23/8/23 15:36,Q17L03,0.0059,1
23/8/23 15:37,Q17L04,0.0025,1
23/8/23 15:38,Q17L05,0,0
23/8/23 15:39,Q17L06,0.0106,3
23/8/23 15:40,Q17L07,0.0082,4
23/8/23 15:41,Q17L08,0,0
23/8/23 15:42,Q17L09,0.0406,7
23/8/23 16:16,K18L01,0.0066,2
23/8/23 16:16,H15L10,0,0
23/8/23 16:17,K18L02,0,0
23/8/23 16:18,K18L03,0.0054,2
23/8/23 16:19,K18L04,0.0307,8
23/8/23 16:20,K18L05,0.0083,3
23/8/23 16:21,K18L06,0,0
23/8/23 16:22,K18L07,0.0045,2
23/8/23 16:23,K18L08,0.0458,1
23/8/23 16:24,K18L09,0.0021,1
23/8/23 16:25,K18L10,0.0046,2
23/8/23 16:54,D15L01,0.0502,7
23/8/23 16:55,D15L02,0.0165,4
23/8/23 16:56,D15L03,0.0092,1
23/8/23 16:57,D15L04,0,0
23/8/23 16:58,D15L05,0,0
23/8/23 16:59,D15L06,0.0044,1
23/8/23 17:00,D15L07,0.0087,1
23/8/23 17:01,D15L08,0.0082,2
23/8/23 17:02,D15L09,0.036,7
23/8/23 17:03,D15L10,0.0172,3
23/8/23 17:07,H15L01,0.0048,1
23/8/23 17:08,H15L02,0.0217,3
23/8/23 17:09,H15L03,0.0333,8
23/8/23 17:10,H15L04,0.0121,4
23/8/23 17:11,H15L05,0.0028,2
23/8/23 17:12,H15L06,0.0133,2
23/8/23 17:13,H15L07,0,0
23/8/23 17:14,H15L08,0,0
23/8/23 17:15,H15L09,0.0827,4
23/8/23 19:00,P15L01,0.0172,1
23/8/23 19:01,P15L02,0,0
23/8/23 19:02,P15L03,0,0
23/8/23 19:03,P15L04,0,0
23/8/23 19:04,P15L05,0,0
23/8/23 19:05,P15L06,0.0116,1
23/8/23 19:06,P15L07,0,0
23/8/23 19:07,P15L08,0,0
23/8/23 19:08,P15L09,0.0073,1
23/8/23 19:09,P15L10,0.0315,2
23/8/23 19:34,Q17L01,0,0
23/8/23 19:35,Q17L02,0,0
23/8/23 19:36,Q17L03,0.0566,3
23/8/23 19:37,Q17L04,0.0044,3
23/8/23 19:38,Q17L05,0.0322,1
23/8/23 19:39,Q17L06,0,0
23/8/23 19:40,Q17L07,0,0
23/8/23 19:41,Q17L08,0.0067,1
23/8/23 19:42,K18L09,0,0
23/8/23 19:43,Q17L10,0.039,1
23/8/23 20:30,K18L01,0,0
23/8/23 20:31,K18L02,0.0014,2
23/8/23 20:32,K18L03,0.0004,1
23/8/23 20:33,K18L04,0.0043,3
23/8/23 20:34,K18L05,0.004,2
23/8/23 20:35,K18L06,0.0048,1
23/8/23 20:36,K18L07,0.0015,2
23/8/23 20:37,K18L08,0,0
23/8/23 20:38,K18L09,0.0005,1
23/8/23 20:39,K18L10,0.0266,7
