Time Stam+A1:E1p,Location,Weight,Biomass,COMMENTS,,
25/7/25 19:06,L15L04 D,0,0,,,
25/7/25 19:05,L15L05,0.0014,3,"2 MESS CAPE, 1 TETR SERI",,
25/7/25 19:03,L15L08 D,0.0038,5,5 TETR SOLI,,
25/7/25 19:04,L15L06 D,0,0,,,
25/7/25 19:03,L15L07,0.0866,6,"5 HODO MOSS, 1 TETR SOLI",,
25/7/25 19:09,L15L01,0.0015,1,1 MITE,,
25/7/25 19:08,L15L02 D,0,0,,,
25/7/25 19:02,L15L09,0,0,,,
25/7/25 19:07,L15L03,0.0221,2,2 CAMP MACU,,
25/7/25 19:01,L15L10 D,0.0019,1,MONO MACR,,
25/7/25 15:01,L15L08 D,0.0292,4,"3 TETR SOLI, 1 ZOPH SUBC",,
25/7/25 15:05,L15L02 D,0.0149,1,SCIO CURS,,
25/7/25 15:04,L15L04 D,0.0932,5,"1 ZOPH SUBC, 4 TETR SOLI",,
25/7/25 15:00,L15L09,0.0112,1,SCIO CURS,,
25/7/25 15:02,L15L07,0.0728,5,"2 HODO MOSS, 1 CHINAVIA PALLIDOCONSPERSA (NYMPH), 1 LYGAEDAE, 1 SILVER FISH",,
25/7/25 15:02,L15L06 D,0,0,,,
25/7/25 15:06,L15L01,0.0547,3,"1 ZOPH SUBC, 1 TETR SOLI, 1 OCYM BARB",,
25/7/25 15:03,L15L05,0.0323,8,"3 OCYM BARB, 2 SCIO CURS, 1 HODO MOSS, 2 MESS CAPE",,
25/7/25 15:04,L15L03,0,0,,,
25/7/25 15:00,L15L10 D,0.0075,4,"1 OCYM BARB, 2 LEPI CAPE, 1 CAMP MYST",,
25/7/25 16:20,J15L02 D,0.0382,10,"3 SCIO CURS, 7 TETR SOLI",,
25/7/25 16:22,J15L07,0.0224,12,12 TETR SOLI,,
25/7/25 16:33,J15L06 D,0,0,,,
25/7/25 16:20,J15L10 D,0,0,,,
25/7/25 16:20,J15L09,0,0,,,
25/7/25 16:25,J15L03,0.00102,7,"1 MONO MACR, 3 TETR SOLI, 2 LEPI CAPE",,
25/7/25 16:23,J15L05,0,0,,,
25/7/25 16:27,J15L01,0.0891,1,1 ZOPH SUBC,,
25/7/25 16:21,J15L08 D,0,0,,,
25/7/25 16:24,J15L04 D,0,0,,,
26/7/25 07:33,L17L10 D,0,0,,,
26/7/25 07:39,L17L06 D,0,0,,,
26/7/25 07:35,L17L09,0.0237,2,"1 WEEVIL, 1 LARVAE",,
26/7/25 07:40,L17L05,0,0,,,
26/7/25 07:36,L17L08 D,0,0,,,
26/7/25 07:44,L17L02 D,0.0003,1,1 TETR SERI,,
26/7/25 07:32,L17L07,0.0044,1,1 ZOPH SUBC,,
26/7/25 07:43,L17L03,0.0007,1,1 MITE,,
26/7/25 07:41,L17L04 D,0,0,,,
26/7/25 07:46,L17L01,0,0,,,
25/7/25 19:56,O18L02 D,0.0005,2,2 TETR SOLI,,
25/7/25 19:56,O18L03,0.0009,1,1 TETR GRAN,,
25/7/25 19:57,O18L01,0,0,,,
25/7/25 19:55,O18L04 D,0.0018,2,2 TETR GRN,,
25/7/25 19:50,O18L09,0.0008,1,1 LEAF HOPPER,,
25/7/25 19:53,O18L06 D,0.0036,4,"3 TETR SOLI, 1 FALSE CHINCH BUG",,
25/7/25 19:52,O18L08 D,0,0,,,
25/7/25 19:48,O18L10 D,0,0,,,
25/7/25 19:54,O18L05,0,0,,,
25/7/25 19:52,O18L07,0.0221,8,"7 TETR GRAN, 1 SCIO CURS",,
25/7/25 20:23,J13L10 D,0,0,,,
25/7/25 21:00,J13L03,0,0,,,
25/7/25 20:58,J13L05,0,0,,,
25/7/25 20:57,J15L06 D,0.0038,6,6 PHEI TENU,,
25/7/25 21:01,J15L02 D,0.0002,1,1 MITE,,
25/7/25 20:56,J13L07,0,0,,,
25/7/25 21:02,J13L01,0,0,,,
25/7/25 20:59,J13L04 D,0,0,,,
25/7/25 20:54,J13L09,0.0058,4,4 TETR GRAN,,
25/7/25 20:55,J13L08 D,0,0,,,
26/7/25 09:10,J15L01,0.0492,1,UKWN SPIDER,,
26/7/25 08:58,J15L09,0,0,,,
26/7/25 09:02,J15L06 D,0,0,,,
26/7/25 09:03,J15L05,0,0,,,
26/7/25 09:06,J15L03,0.0139,1,1 CAMP MACU,,
26/7/25 09:01,J15L07,0,0,,,
26/7/25 08:56,J15L10 D,0.0188,1,"1 UKWN BEETLE, TENEBRIONIDAE (I ASKED <WALT)",,
26/7/25 09:04,J15L04 D,0,0,,,
26/7/25 08:59,J15L08 D,0,0,,,
26/7/25 09:03,J15L02 D,0,0,,,
25/7/25 20:09,J15L07,0.0001,1,1 ANOP STEI,,
25/7/25 20:30,J15L06 D,0,0,,,
25/7/25 20:32,J15L04 D,0,0,,,
25/7/25 20:33,J15L03,0.0697,1,1 STIPS,,
25/7/25 20:35,J15L01,0,0,,,
25/7/25 20:31,J13L05,0,0,,,
25/7/25 20:28,J15L08 D,0,0,,,
25/7/25 20:27,J15L10 D,0,0,,,
25/7/25 20:28,J15L09,0,0,,,
25/7/25 20:34,J15L02 D,0,0,,,
25/7/25 19:30,L17L01,0.0077,4,"2 TETR SERI, 1 PHEI TENU, 1 LYGAEFAE",,
25/7/25 19:29,L17L02 D,0.0005,3,"1 WEEVIL, 1 TETR GRAN, 1 TETR SERI",,
25/7/25 19:26,L17L06 D,0.0148,4,"1 UNKN SPIDER, 1 TETR GRAN, 2 TETR SERI",,
25/7/25 19:22,L17L05,0.0033,2,"1 TETR SERI, 1 SCIO CURS",,
25/7/25 19:28,L17L04 D,0.005,1,1 TETR GRAN,,
25/7/25 19:24,L17L08 D,0,0,,,
25/7/25 19:25,L17L07,0.4621,3,"2  ANOP STEI, GRYLLUS SPP.",,
25/7/25 19:29,L17L03,0,0,,,
25/7/25 19:23,L17L10 D,0.0491,24,24 ANOP STEI,,
25/7/25 19:24,L17L09,0.0242,13,13 ANOP STEI,,
26/7/25 08:10,O18L08 D,0,0,,,
26/7/25 08:11,O18L07,0,0,,,
26/7/25 08:15,O18L04 D,0.0708,1,1 UNKN SPIDE,,
26/7/25 08:07,O18L10 D,0,0,,,
26/7/25 08:12,O18L06 D,0,0,,,
26/7/25 08:08,O18L09,0,0,,,
26/7/25 08:16,O18L03,0,0,,,
26/7/25 08:19,O18L01,0,0,,,
26/7/25 08:14,O18L05,0.0003,1,1 CREM MELA,,
26/7/25 08:18,O18L02 D,0,0,,,
25/7/25 11:54,O18L10 D,0.0269,2,"1 SCIO CURS, 1 MEG ANAL",,
25/7/25 11:57,O18L07,0.0292,2,"1 MEGA ANAL, 1 TETR GRAN",,
25/7/25 11:56,O18L08,0,0,,,
25/7/25 11:58,O18L06 D,0.0068,2,2 TETR SERI,,
25/7/25 11:59,O18L05,0.0285,1,1 MEGA ANAL,,
25/7/25 12:00,O18L04 D,0.0045,1,1 TETR GRAN,,
25/7/25 12:03,O18L02 D,0.0057,6,"5 TETR GRAN, 1 UNKN HOPPER",,
25/7/25 12:04,O18L01,0,0,,,
25/7/25 12:02,O18L03,0.0038,2,2 TETR GRAN,,
25/7/25 11:55,O18L09,0.0065,2,"1 TETR SERI, 1 ANOP STEI",,
25/7/25 13:01,J13L09,0.0106,4,4 TETR GRAN,,
25/7/25 13:05,J13L05,0.0128,25,"22 PHEI TENU, 3 TETR GRAN",,
25/7/25 13:01,J13L08 D,0.0017,2,"1 TETR GRAN, 1 PHEI TENU",,
25/7/25 13:02,J13L07,0.00012,1,1 PHEI TENU,,
25/7/25 13:08,J13L02,0,0,,,
25/7/25 13:07,J13L03,0.0254,1,1 CAMP FULV,,
25/7/25 13:04,J13L06 D,0.0059,2,"1 UNKN SPIDER, 1 TETR GRAN",,
25/7/25 12:59,J13L10 D,0.0034,1,1 UNKN SPIDER,,
25/7/25 13:09,J13L01,0.0014,2,2 PHEI TENU,,
25/7/25 13:06,J13L04 D,0.0010,4,"2 PHEI TENU, 2 TETR GRAN",,
25/7/25 11:08,L15L02 D,0.0005,2,"1 TETR GRAN, 1 PHEI TENU",,
25/7/25 11:00,L15L10 D,0,0,,,
25/7/25 11:01,L15L09,0.0118,3,"1 UNKN SPIDER, 1 TETR SOLI, 1 UNKN T BUG",,
25/7/25 11:05,L15L05,0,0,,,
25/7/25 11:03,L15L06 D,0,0,,,
25/7/25 11:07,L15L03,0.0045,4,"1 LEPI CAPE, 3 ANOP STEI",,
25/7/25 11:09,L15L01,0.0009,2,2 TETR GRAN,,
25/7/25 11:03,L15L07,0,0,,,
25/7/25 11:02,L15L08 D,0.0082,6,6 TETR GRAN,,
25/7/25 11:06,L15L04 D,0.0006,1,1 TETR GRAN,,
25/7/25 11:26,L17L09,0,0,,,
25/7/25 11:28,L17L07,0.004,1,1 TETR GRAN,,
25/7/25 11:31,L17L05,0,0,,,
25/7/25 11:30,L17L06 D,0.0004,1,1 MONO MEDI,,
25/7/25 11:35,L17L01,0.0026,7,"6 PHEI TENU, 1 UNKN T BUG",,
25/7/25 11:34,L17L02 D,0.002,1,1 TETR GRAN,,
25/7/25 11:27,L17L08 D,0.0007,1,1 TETR GRAN,,
25/7/25 11:24,L17L10 D,0,0,,,
25/7/25 11:32,L17L04 D,0.0004,1,1 PHEI TENU,,
25/7/25 11:35,L17L03,0.0055,1,1 UNKN SPIDER,,
25/7/25 16:49,J13L01,0,0,,,
25/7/25 16:43,J13L07,0.0454,2,2 CAMP FULV,,
25/7/25 16:47,J13L09,0.0159,8,"7 TETR GRAN, 1 SCIO CURS",,
25/7/25 16:47,J13L03,0,0,,,
25/7/25 16:41,J13L10 D,0.0012,1,1 MITE,,
25/7/25 16:43,J13L08 D,0.0013,2,"1 TETR GRAN, 1 PHEI TENU",,
25/7/25 16:44,J13L06 D,0.0019,4,4 PHEI TENU,,
25/7/25 16:46,J13L04 D,0.0008,1,1 PHEI TENU,,
25/7/25 16:45,J13L05,0.0043,7,"5 PHEI TENU, 1 TETR GRAN",,
25/7/25 16:48,J13L02 D,0,0,,,
26/7/25 07:04,L15L08 D,0,0,,,
26/7/25 07:05,L15L07,0,0,,,
26/7/25 07:14,L15L01,0,0,,,
26/7/25 07:09,L15L04 D,0.0233,2,"1 WEEVIL,  CAMP MACU",,
26/7/25 07:06,L15L06 D,0.0506,1,1 UNKWN SPIDER,,
26/7/25 07:12,L15L02 D,0,0,,,
26/7/25 07:11,L15L03,0,0,,,
26/7/25 07:03,L15L09,0,0,,,
26/7/25 07:01,L15L10 D,0,0,,,
26/7/25 07:08,L15L05,0.0083,1,1 CAMP MACU,,
25/7/25 15:23,L17L06 D,0.0026,5,"3 TETR SOLI, 1 HIST, 1 TETR INEZ",,
25/7/25 15:26,L17L02 D,0.0367,3,"1 ZOPH SUBC, 1 TETR SOLI, 1 LYGAEDAE",,
25/7/25 15:21,L17L08 D,0.0351,2,"1 ZOPH SUBC, 1 SCIO CURS",,
25/7/25 15:21,L17L09,0.0313,1,1 ZOPH SUBC,,
25/7/25 15:24,L17L05,0.0028,2,"1 TETR SOLI, 1 TETR SERI",,
25/7/25 15:20,L17L10 D,0.0032,6,6 LEPI CAPE,,
25/7/25 15:24,L17L04 D,0.0021,3,"1 HIST, 1 TETR SOLI, 1 TETR SERI",,
25/7/25 15:27,L17L07,0.0015,4,"1 SCIO CURS, 1 TETR SOLI, 2 TETR SERI",,
25/7/25 15:15,L17L03,0.0013,2,2 LYGAEDAE,,
25/7/25 15:27,L17L01,0.0018,1,1 HIST,,
26/7/25 09:41,J13L02 D,0.0079,1,1 UNKWN SPIDER,,
26/7/25 09:32,J13L08 D,0.0390,1,1 RAPHIDOSOMA,,
26/7/25 09:34,J13L06 D,0,0,,,
26/7/25 09:36,J13L05,0.0290,2,"1 TENEBRIONIDAE, 1 MITE",,
26/7/25 09:33,J13L07,0,0,,,
26/7/25 09:31,J13L09,0.0000,0,,,
26/7/25 09:42,J13L01,0,0,,,
26/7/25 09:39,J13L03,0.0469,1,1 UNKWN SPIDER,,
26/7/25 09:37,J13L04 D,0.0018,1,1 MITE,,
26/7/25 09:30,J13L10 D,0.0000,0,,,
25/7/25 15:45,O18L10 D,0.0252,1,1 ZOPH SUBC,,
25/7/25 15:51,O18L02 D,0.0025,3,3 TETR SOLI,,
25/7/25 15:49,O18L04 D,0.0079,4,"3 TETR SOLI, 1 SCIO CURS",,
25/7/25 15:52,O18L01,0.1296,2,"1 ZOPH SUBC, 1 MEGA ANALI",,
25/7/25 15:50,O18L03,0.0282,3,"1 ZOPH SUBC, 1 TETR SOLI, 1 LARVAE",,
25/7/25 15:45,O18L09,0.0087,1,1 LARVAE,,
25/7/25 15:47,O18L07,0,0,,,
25/7/25 15:46,O18L08 D,0.0389,1,1 ZOPH SUBC,,
25/7/25 15:49,O18L05,0.0003,1,1 PHEI TENU,,
25/7/25 15:47,O18L06 D,0.0225,5,"1 MEGA ANALI, 3 TETR SOLI, 1 LARVAE",,
25/7/25 12:38,J15L08 D,0,0,,,
25/7/25 12:39,J15L07,0.0159,6,"5 ANOP STEI, 1 SCIO CURS",,
25/7/25 12:44,J15L02 D,0.0136,17,17 ANOP STEI,,
25/7/25 12:46,J15L01,0.0006,1,1 ANOP STEI,,
25/7/25 12:41,J15L05,0.0007,2,2 ANOP STEI,,
25/7/25 12:42,J15L04 D,0,0,,,
25/7/25 12:35,J15L10 D,0.0007,1,1 UNKWN FROGHOPPER,,
25/7/25 12:36,J15L09,0,0,,,  
25/7/25 12:40,J15L06 D,0,0,,,
25/7/25 12:43,J15L03,0.0114,14,"1 UNKWN FROGHOPPER, 1 SCARABAEIDAE, 12 ANOP STEI",,
