Timestamp,Ref.,Weight,Number,,,,,,,,
27/11/24 07:58,Q17L07,4.0784,2,,,,,,,,
27/11/24 07:59,Q17L06,0.1214,3,,,,,,,,
27/11/24 08:42,P15L06,0.2491,7,,,,,,,,
27/11/24 07:11,K18L02,4.9686,12,,,,,,,,
27/11/24 07:12,K18L01,0.7554,7,,,,,,,,
27/11/24 07:06,K18L05,2.5574,2,,,,,,,,
27/11/24 07:54,Q17L10,2.5368,4,,,,,,,,
27/11/24 08:05,Q17L02,0.5719,3,,,,,,,,
27/11/24 08:40,P15L08,0.1134,3,,,,,,,,
26/11/24 21:52,D15L02,0.3321,2,,,,,,,,
26/11/24 11:10,K18L03,0.0279,8,,,,,,,,
26/11/24 11:00,K18L10,0.0305,1,,,,,,,,
26/11/24 11:02,K18L09,0.0002,2,,,,,,,,
26/11/24 11:07,K18L05,0.0109,16,,,,,,,,
26/11/24 11:06,K18L06,0.0397,10,,,,,,,,
26/11/24 11:13,K18L01,0.0124,12,,,,,,,,
26/11/24 11:11,K18L02,0.0119,11,,,,,,,,
27/11/24 07:04,K18L07,0.2086,28,,,,,,,,
26/11/24 11:04,K18L07,0.0728,6,,,,,,,,
26/11/24 11:09,K18L04,0.0006,2,,,,,,,,
27/11/24 07:01,K18L09,0.0259,5,,,,,,,,
27/11/24 07:08,K18L04,0.0573,9,,,,,,,,
27/11/24 07:03,K18L08,0.2573,11,,,,,,,,
26/11/24 20:05,Q17L05,0.1441,5,,,,,,,,
26/11/24 19:10,K18L02,0.1172,10,,,,,,,,
27/11/24 07:09,K18L03,0.0935,8,,,,,,,,
26/11/24 20:04,Q17L06,0.0541,1,,,,,,,,
26/11/24 19:04,K18L07,0.0427,11,,,,,,,,
27/11/24 07:00,K18L10,0.4205,17,,,,,,,,
26/11/24 19:06,K18L05,0.0659,4,,,,,,,,
26/11/24 19:07,K18L04,0.0036,4,,,,,,,,
26/11/24 19:11,K18L01,0.0051,5,,,,,,,,
26/11/24 19:09,K18L03,0.0185,8,,,,,,,,
27/11/24 07:05,K18L06,0.0954,28,,,,,,,,
26/11/24 19:02,K18L08,0.0317,11,,,,,,,,
26/11/24 19:00,K18L10,0.0466,5,,,,,,,,
26/11/24 19:01,K18L09,0.0083,4,,,,,,,,
